region,time,sector,polymer,element,value
EU27+3,2018.0,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2018.25,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2018.5,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2018.75,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2019.0,single-use beverage bottles,PET,All,757.1500212977517
EU27+3,2019.25,single-use beverage bottles,PET,All,757.1500212977517
EU27+3,2019.5,single-use beverage bottles,PET,All,757.1500212977517
EU27+3,2019.75,single-use beverage bottles,PET,All,757.1500212977517
EU27+3,2020.0,single-use beverage bottles,PET,All,720.9560518474498
EU27+3,2020.25,single-use beverage bottles,PET,All,720.9560518474498
EU27+3,2020.5,single-use beverage bottles,PET,All,720.9560518474498
EU27+3,2020.75,single-use beverage bottles,PET,All,720.9560518474498
EU27+3,2021.0,single-use beverage bottles,PET,All,746.1671361559437
EU27+3,2021.25,single-use beverage bottles,PET,All,746.1671361559437
EU27+3,2021.5,single-use beverage bottles,PET,All,746.1671361559437
EU27+3,2021.75,single-use beverage bottles,PET,All,746.1671361559437
EU27+3,2022.0,single-use beverage bottles,PET,All,755.1071276515817
EU27+3,2022.25,single-use beverage bottles,PET,All,755.1071276515817
EU27+3,2022.5,single-use beverage bottles,PET,All,755.1071276515817
EU27+3,2022.75,single-use beverage bottles,PET,All,755.1071276515817
EU27+3,2023.0,single-use beverage bottles,PET,All,725.8858001918248
EU27+3,2023.25,single-use beverage bottles,PET,All,725.8858001918248
EU27+3,2023.5,single-use beverage bottles,PET,All,725.8858001918248
EU27+3,2023.75,single-use beverage bottles,PET,All,725.8858001918248
EU27+3,2024.0,single-use beverage bottles,PET,All,696.6477388549832
EU27+3,2024.25,single-use beverage bottles,PET,All,696.6477388549832
EU27+3,2024.5,single-use beverage bottles,PET,All,696.6477388549832
EU27+3,2024.75,single-use beverage bottles,PET,All,696.6477388549832
EU27+3,2025.0,single-use beverage bottles,PET,All,667.4019631301096
EU27+3,2025.25,single-use beverage bottles,PET,All,667.4019631301096
EU27+3,2025.5,single-use beverage bottles,PET,All,667.4019631301096
EU27+3,2025.75,single-use beverage bottles,PET,All,667.4019631301096
EU27+3,2026.0,single-use beverage bottles,PET,All,638.1577388897645
EU27+3,2026.25,single-use beverage bottles,PET,All,638.1577388897645
EU27+3,2026.5,single-use beverage bottles,PET,All,638.1577388897645
EU27+3,2026.75,single-use beverage bottles,PET,All,638.1577388897645
EU27+3,2027.0,single-use beverage bottles,PET,All,608.9245830589398
EU27+3,2027.25,single-use beverage bottles,PET,All,608.9245830589398
EU27+3,2027.5,single-use beverage bottles,PET,All,608.9245830589398
EU27+3,2027.75,single-use beverage bottles,PET,All,608.9245830589398
EU27+3,2028.0,single-use beverage bottles,PET,All,579.7122683591565
EU27+3,2028.25,single-use beverage bottles,PET,All,579.7122683591565
EU27+3,2028.5,single-use beverage bottles,PET,All,579.7122683591565
EU27+3,2028.75,single-use beverage bottles,PET,All,579.7122683591565
EU27+3,2029.0,single-use beverage bottles,PET,All,550.530828128834
EU27+3,2029.25,single-use beverage bottles,PET,All,550.530828128834
