region,time,sector,polymer,element,value
EU27+3,2018.0,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2018.25,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2018.5,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2018.75,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2019.0,single-use beverage bottles,PET,All,762.7127127127127
EU27+3,2019.25,single-use beverage bottles,PET,All,762.7127127127127
EU27+3,2019.5,single-use beverage bottles,PET,All,762.7127127127127
EU27+3,2019.75,single-use beverage bottles,PET,All,762.7127127127127
EU27+3,2020.0,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2020.25,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2020.5,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2020.75,single-use beverage bottles,PET,All,731.5815815815815
EU27+3,2021.0,single-use beverage bottles,PET,All,762.7127127127127
EU27+3,2021.25,single-use beverage bottles,PET,All,762.7127127127127
EU27+3,2021.5,single-use beverage bottles,PET,All,762.7127127127127
EU27+3,2021.75,single-use beverage bottles,PET,All,762.7127127127127
EU27+3,2022.0,single-use beverage bottles,PET,All,777.5
EU27+3,2022.25,single-use beverage bottles,PET,All,777.5
EU27+3,2022.5,single-use beverage bottles,PET,All,777.5
EU27+3,2022.75,single-use beverage bottles,PET,All,777.5
EU27+3,2023.0,single-use beverage bottles,PET,All,785.275
EU27+3,2023.25,single-use beverage bottles,PET,All,785.275
EU27+3,2023.5,single-use beverage bottles,PET,All,785.275
EU27+3,2023.75,single-use beverage bottles,PET,All,785.275
EU27+3,2024.0,single-use beverage bottles,PET,All,793.12775
EU27+3,2024.25,single-use beverage bottles,PET,All,793.12775
EU27+3,2024.5,single-use beverage bottles,PET,All,793.12775
EU27+3,2024.75,single-use beverage bottles,PET,All,793.12775
EU27+3,2025.0,single-use beverage bottles,PET,All,801.0590275
EU27+3,2025.25,single-use beverage bottles,PET,All,801.0590275
EU27+3,2025.5,single-use beverage bottles,PET,All,801.0590275
EU27+3,2025.75,single-use beverage bottles,PET,All,801.0590275
EU27+3,2026.0,single-use beverage bottles,PET,All,809.069617775
EU27+3,2026.25,single-use beverage bottles,PET,All,809.069617775
EU27+3,2026.5,single-use beverage bottles,PET,All,809.069617775
EU27+3,2026.75,single-use beverage bottles,PET,All,809.069617775
EU27+3,2027.0,single-use beverage bottles,PET,All,817.16031395275
EU27+3,2027.25,single-use beverage bottles,PET,All,817.16031395275
EU27+3,2027.5,single-use beverage bottles,PET,All,817.16031395275
EU27+3,2027.75,single-use beverage bottles,PET,All,817.16031395275
EU27+3,2028.0,single-use beverage bottles,PET,All,825.3319170922775
EU27+3,2028.25,single-use beverage bottles,PET,All,825.3319170922775
EU27+3,2028.5,single-use beverage bottles,PET,All,825.3319170922775
EU27+3,2028.75,single-use beverage bottles,PET,All,825.3319170922775
EU27+3,2029.0,single-use beverage bottles,PET,All,833.5852362632003
EU27+3,2029.25,single-use beverage bottles,PET,All,833.5852362632003
EU27+3,2029.5,single-use beverage bottles,PET,All,833.5852362632003
EU27+3,2029.75,single-use beverage bottles,PET,All,833.5852362632003
