"code","region","time","sector","polymer","element","value"
"2018single-use beverage bottles","EU27+3",2018,"single-use beverage bottles","PET","All",2926.326326326326
"2019single-use beverage bottles","EU27+3",2019,"single-use beverage bottles","PET","All",3050.8508508508507
"2020single-use beverage bottles","EU27+3",2020,"single-use beverage bottles","PET","All",2926.326326326326
"2021single-use beverage bottles","EU27+3",2021,"single-use beverage bottles","PET","All",3050.8508508508507
"2022single-use beverage bottles","EU27+3",2022,"single-use beverage bottles","PET","All",3110
"2023single-use beverage bottles","EU27+3",2023,"single-use beverage bottles","PET","All",3141.1
"2024single-use beverage bottles","EU27+3",2024,"single-use beverage bottles","PET","All",3172.511
"2025single-use beverage bottles","EU27+3",2025,"single-use beverage bottles","PET","All",3204.23611
"2026single-use beverage bottles","EU27+3",2026,"single-use beverage bottles","PET","All",3236.2784711
"2027single-use beverage bottles","EU27+3",2027,"single-use beverage bottles","PET","All",3268.641255811
"2028single-use beverage bottles","EU27+3",2028,"single-use beverage bottles","PET","All",3301.32766836911
"2029single-use beverage bottles","EU27+3",2029,"single-use beverage bottles","PET","All",3334.340945052801
"2030single-use beverage bottles","EU27+3",2030,"single-use beverage bottles","PET","All",3367.684354503329
"2031single-use beverage bottles","EU27+3",2031,"single-use beverage bottles","PET","All",3401.3611980483624
"2032single-use beverage bottles","EU27+3",2032,"single-use beverage bottles","PET","All",3435.3748100288462
"2033single-use beverage bottles","EU27+3",2033,"single-use beverage bottles","PET","All",3469.728558129135
"2034single-use beverage bottles","EU27+3",2034,"single-use beverage bottles","PET","All",3504.4258437104263
"2035single-use beverage bottles","EU27+3",2035,"single-use beverage bottles","PET","All",3539.4701021475307
"2036single-use beverage bottles","EU27+3",2036,"single-use beverage bottles","PET","All",3574.864803169006
"2037single-use beverage bottles","EU27+3",2037,"single-use beverage bottles","PET","All",3610.613451200696
"2038single-use beverage bottles","EU27+3",2038,"single-use beverage bottles","PET","All",3646.719585712703
"2039single-use beverage bottles","EU27+3",2039,"single-use beverage bottles","PET","All",3683.18678156983
"2040single-use beverage bottles","EU27+3",2040,"single-use beverage bottles","PET","All",3720.0186493855285
"2041single-use beverage bottles","EU27+3",2041,"single-use beverage bottles","PET","All",3757.2188358793837
"2042single-use beverage bottles","EU27+3",2042,"single-use beverage bottles","PET","All",3794.7910242381777
"2043single-use beverage bottles","EU27+3",2043,"single-use beverage bottles","PET","All",3832.7389344805597
"2044single-use beverage bottles","EU27+3",2044,"single-use beverage bottles","PET","All",3871.0663238253655
"2045single-use beverage bottles","EU27+3",2045,"single-use beverage bottles","PET","All",3909.7769870636193
"2046single-use beverage bottles","EU27+3",2046,"single-use beverage bottles","PET","All",3948.8747569342554
"2047single-use beverage bottles","EU27+3",2047,"single-use beverage bottles","PET","All",3988.363504503598
"2048single-use beverage bottles","EU27+3",2048,"single-use beverage bottles","PET","All",4028.247139548634
"2049single-use beverage bottles","EU27+3",2049,"single-use beverage bottles","PET","All",4068.5296109441206
"2050single-use beverage bottles","EU27+3",2050,"single-use beverage bottles","PET","All",4109.214907053562
"2018reusable beverage bottles","EU27+3",2018,"reusable beverage bottles","PET","All",0
"2019reusable beverage bottles","EU27+3",2019,"reusable beverage bottles","PET","All",0
"2020reusable beverage bottles","EU27+3",2020,"reusable beverage bottles","PET","All",0
"2021reusable beverage bottles","EU27+3",2021,"reusable beverage bottles","PET","All",0
"2022reusable beverage bottles","EU27+3",2022,"reusable beverage bottles","PET","All",0
"2023reusable beverage bottles","EU27+3",2023,"reusable beverage bottles","PET","All",0
"2024reusable beverage bottles","EU27+3",2024,"reusable beverage bottles","PET","All",0
"2025reusable beverage bottles","EU27+3",2025,"reusable beverage bottles","PET","All",0
"2026reusable beverage bottles","EU27+3",2026,"reusable beverage bottles","PET","All",0
"2027reusable beverage bottles","EU27+3",2027,"reusable beverage bottles","PET","All",0
"2028reusable beverage bottles","EU27+3",2028,"reusable beverage bottles","PET","All",0
"2029reusable beverage bottles","EU27+3",2029,"reusable beverage bottles","PET","All",0
"2030reusable beverage bottles","EU27+3",2030,"reusable beverage bottles","PET","All",0
"2031reusable beverage bottles","EU27+3",2031,"reusable beverage bottles","PET","All",0
"2032reusable beverage bottles","EU27+3",2032,"reusable beverage bottles","PET","All",0
"2033reusable beverage bottles","EU27+3",2033,"reusable beverage bottles","PET","All",0
"2034reusable beverage bottles","EU27+3",2034,"reusable beverage bottles","PET","All",0
"2035reusable beverage bottles","EU27+3",2035,"reusable beverage bottles","PET","All",0
"2036reusable beverage bottles","EU27+3",2036,"reusable beverage bottles","PET","All",0
"2037reusable beverage bottles","EU27+3",2037,"reusable beverage bottles","PET","All",0
"2038reusable beverage bottles","EU27+3",2038,"reusable beverage bottles","PET","All",0
"2039reusable beverage bottles","EU27+3",2039,"reusable beverage bottles","PET","All",0
"2040reusable beverage bottles","EU27+3",2040,"reusable beverage bottles","PET","All",0
"2041reusable beverage bottles","EU27+3",2041,"reusable beverage bottles","PET","All",0
"2042reusable beverage bottles","EU27+3",2042,"reusable beverage bottles","PET","All",0
"2043reusable beverage bottles","EU27+3",2043,"reusable beverage bottles","PET","All",0
"2044reusable beverage bottles","EU27+3",2044,"reusable beverage bottles","PET","All",0
"2045reusable beverage bottles","EU27+3",2045,"reusable beverage bottles","PET","All",0
"2046reusable beverage bottles","EU27+3",2046,"reusable beverage bottles","PET","All",0
"2047reusable beverage bottles","EU27+3",2047,"reusable beverage bottles","PET","All",0
"2048reusable beverage bottles","EU27+3",2048,"reusable beverage bottles","PET","All",0
"2049reusable beverage bottles","EU27+3",2049,"reusable beverage bottles","PET","All",0
"2050reusable beverage bottles","EU27+3",2050,"reusable beverage bottles","PET","All",0
"2018single-use sheet (tray)","EU27+3",2018,"single-use sheet (tray)","PET","All",1006.8068068068068
"2019single-use sheet (tray)","EU27+3",2019,"single-use sheet (tray)","PET","All",1049.6496496496497
"2020single-use sheet (tray)","EU27+3",2020,"single-use sheet (tray)","PET","All",1006.8068068068068
"2021single-use sheet (tray)","EU27+3",2021,"single-use sheet (tray)","PET","All",1049.6496496496497
"2022single-use sheet (tray)","EU27+3",2022,"single-use sheet (tray)","PET","All",1070
"2023single-use sheet (tray)","EU27+3",2023,"single-use sheet (tray)","PET","All",1080.7
"2024single-use sheet (tray)","EU27+3",2024,"single-use sheet (tray)","PET","All",1091.507
"2025single-use sheet (tray)","EU27+3",2025,"single-use sheet (tray)","PET","All",1102.42207
"2026single-use sheet (tray)","EU27+3",2026,"single-use sheet (tray)","PET","All",1113.4462907000002
"2027single-use sheet (tray)","EU27+3",2027,"single-use sheet (tray)","PET","All",1124.5807536070001
"2028single-use sheet (tray)","EU27+3",2028,"single-use sheet (tray)","PET","All",1135.8265611430702
"2029single-use sheet (tray)","EU27+3",2029,"single-use sheet (tray)","PET","All",1147.1848267545008
"2030single-use sheet (tray)","EU27+3",2030,"single-use sheet (tray)","PET","All",1158.6566750220459
"2031single-use sheet (tray)","EU27+3",2031,"single-use sheet (tray)","PET","All",1170.2432417722664
"2032single-use sheet (tray)","EU27+3",2032,"single-use sheet (tray)","PET","All",1181.9456741899892
"2033single-use sheet (tray)","EU27+3",2033,"single-use sheet (tray)","PET","All",1193.7651309318892
"2034single-use sheet (tray)","EU27+3",2034,"single-use sheet (tray)","PET","All",1205.702782241208
"2035single-use sheet (tray)","EU27+3",2035,"single-use sheet (tray)","PET","All",1217.75981006362
"2036single-use sheet (tray)","EU27+3",2036,"single-use sheet (tray)","PET","All",1229.9374081642563
"2037single-use sheet (tray)","EU27+3",2037,"single-use sheet (tray)","PET","All",1242.236782245899
"2038single-use sheet (tray)","EU27+3",2038,"single-use sheet (tray)","PET","All",1254.6591500683578
"2039single-use sheet (tray)","EU27+3",2039,"single-use sheet (tray)","PET","All",1267.2057415690415
"2040single-use sheet (tray)","EU27+3",2040,"single-use sheet (tray)","PET","All",1279.877798984732
"2041single-use sheet (tray)","EU27+3",2041,"single-use sheet (tray)","PET","All",1292.6765769745793
"2042single-use sheet (tray)","EU27+3",2042,"single-use sheet (tray)","PET","All",1305.6033427443251
"2043single-use sheet (tray)","EU27+3",2043,"single-use sheet (tray)","PET","All",1318.6593761717684
"2044single-use sheet (tray)","EU27+3",2044,"single-use sheet (tray)","PET","All",1331.845969933486
"2045single-use sheet (tray)","EU27+3",2045,"single-use sheet (tray)","PET","All",1345.1644296328209
"2046single-use sheet (tray)","EU27+3",2046,"single-use sheet (tray)","PET","All",1358.616073929149
"2047single-use sheet (tray)","EU27+3",2047,"single-use sheet (tray)","PET","All",1372.2022346684405
"2048single-use sheet (tray)","EU27+3",2048,"single-use sheet (tray)","PET","All",1385.924257015125
"2049single-use sheet (tray)","EU27+3",2049,"single-use sheet (tray)","PET","All",1399.7834995852763
"2050single-use sheet (tray)","EU27+3",2050,"single-use sheet (tray)","PET","All",1413.7813345811292
"2018reusable sheet (tray)","EU27+3",2018,"reusable sheet (tray)","PET","All",0
