"code","region","time","sector","polymer","element","value","","nb of product","","reusable share","","SU + RU"
"2018single-use beverage bottles","EU27+3",2018,"single-use beverage bottles","PET","All",2926.326326326326,"",69686430563.23091,"",0,"",69686430563.23091
"2019single-use beverage bottles","EU27+3",2019,"single-use beverage bottles","PET","All",3028.6000851910067,"",72121939252.55452,"",0.003,"",72338956120.91727
"2020single-use beverage bottles","EU27+3",2020,"single-use beverage bottles","PET","All",2883.824207389799,"",68674301145.73744,"",0.006,"",69088834150.6413
"2021single-use beverage bottles","EU27+3",2021,"single-use beverage bottles","PET","All",2984.668544623775,"",71075770127.89731,"",0.009000000000000001,"",71721261481.22836
"2022single-use beverage bottles","EU27+3",2022,"single-use beverage bottles","PET","All",3020.4285106063267,"",71927344459.83963,"",0.012,"",72800955931.01176
"2023single-use beverage bottles","EU27+3",2023,"single-use beverage bottles","PET","All",3016.668260537454,"",71837799284.04448,"",0.023,"",73528965490.32188
"2024single-use beverage bottles","EU27+3",2024,"single-use beverage bottles","PET","All",3012.5307626161434,"",71739270470.28745,"",0.034,"",74264255145.2251
"2025single-use beverage bottles","EU27+3",2025,"single-use beverage bottles","PET","All",3008.0088479103533,"",71631587300.32687,"",0.045,"",75006897696.67735
"2026single-use beverage bottles","EU27+3",2026,"single-use beverage bottles","PET","All",3003.095241834186,"",71514576539.92006,"",0.05600000000000001,"",75756966673.64413
"2027single-use beverage bottles","EU27+3",2027,"single-use beverage bottles","PET","All",2997.7825627517036,"",71388062405.57507,"",0.067,"",76514536340.38057
"2028single-use beverage bottles","EU27+3",2028,"single-use beverage bottles","PET","All",2992.063320563389,"",71251866530.8892,"",0.078,"",77279681703.78438
"2029single-use beverage bottles","EU27+3",2029,"single-use beverage bottles","PET","All",2985.929915275032,"",71105807932.46904,"",0.08900000000000001,"",78052478520.82222
"2030single-use beverage bottles","EU27+3",2030,"single-use beverage bottles","PET","All",2979.374635548852,"",70949702975.4274,"",0.1,"",78833003306.03044
"2031single-use beverage bottles","EU27+3",2031,"single-use beverage bottles","PET","All",2959.015575539268,"",70464880005.0953,"",0.115,"",79621333339.09074
"2032single-use beverage bottles","EU27+3",2032,"single-use beverage bottles","PET","All",2937.9513968659376,"",69963265605.05904,"",0.13,"",80417546672.48166
"2033single-use beverage bottles","EU27+3",2033,"single-use beverage bottles","PET","All",2916.170033061587,"",69444572429.02155,"",0.14500000000000002,"",81221722139.20648
"2034single-use beverage bottles","EU27+3",2034,"single-use beverage bottles","PET","All",2893.6592468414624,"",68908509062.90277,"",0.16,"",82033939360.59854
"2035single-use beverage bottles","EU27+3",2035,"single-use beverage bottles","PET","All",2870.4066278936293,"",68354779972.218735,"",0.175,"",82854278754.20453
"2036single-use beverage bottles","EU27+3",2036,"single-use beverage bottles","PET","All",2846.3995906421555,"",67783085448.814735,"",0.19,"",83682821541.74658
"2037single-use beverage bottles","EU27+3",2037,"single-use beverage bottles","PET","All",2821.6253719828624,"",67193121556.94541,"",0.20500000000000002,"",84519649757.16405
"2038single-use beverage bottles","EU27+3",2038,"single-use beverage bottles","PET","All",2796.07102899132,"",66584580078.69384,"",0.22,"",85364846254.73569
"2039single-use beverage bottles","EU27+3",2039,"single-use beverage bottles","PET","All",2769.723436602748,"",65957148458.721535,"",0.23500000000000001,"",86218494717.28305
"2040single-use beverage bottles","EU27+3",2040,"single-use beverage bottles","PET","All",2742.5692852635057,"",65310509748.34192,"",0.25,"",87080679664.45589
"2041single-use beverage bottles","EU27+3",2041,"single-use beverage bottles","PET","All",2677.6618121789356,"",63764827684.29782,"",0.275,"",87951486461.10045
"2042single-use beverage bottles","EU27+3",2042,"single-use beverage bottles","PET","All",2611.1819327041485,"",62181700927.99802,"",0.3,"",88831001325.71146
"2043single-use beverage bottles","EU27+3",2043,"single-use beverage bottles","PET","All",2543.1046894586475,"",60560535153.80379,"",0.325,"",89719311338.96857
"2044single-use beverage bottles","EU27+3",2044,"single-use beverage bottles","PET","All",2473.404783154966,"",58900727894.03286,"",0.35,"",90616504452.35825
"2045single-use beverage bottles","EU27+3",2045,"single-use beverage bottles","PET","All",2402.056568256265,"",57201668435.55115,"",0.375,"",91522669496.88184
"2046single-use beverage bottles","EU27+3",2046,"single-use beverage bottles","PET","All",2329.034048581275,"",55462737715.1104,"",0.4,"",92437896191.85066
"2047single-use beverage bottles","EU27+3",2047,"single-use beverage bottles","PET","All",2254.3108728559587,"",53683308213.41727,"",0.42500000000000004,"",93362275153.76917
"2048single-use beverage bottles","EU27+3",2048,"single-use beverage bottles","PET","All",2177.860330211279,"",51862743847.91878,"",0.45,"",94295897905.30685
"2049single-use beverage bottles","EU27+3",2049,"single-use beverage bottles","PET","All",2099.655345626419,"",50000399864.28896,"",0.475,"",95238856884.35992
"2050single-use beverage bottles","EU27+3",2050,"single-use beverage bottles","PET","All",2019.668475316841,"",48095622726.60176,"",0.5,"",96191245453.20352
"2018reusable beverage bottles","EU27+3",2018,"reusable beverage bottles","PET","All",0,"",0,"","","",""
"2019reusable beverage bottles","EU27+3",2019,"reusable beverage bottles","PET","All",22.250765659843598,"",217016868.36275184,"","","",""
"2020reusable beverage bottles","EU27+3",2020,"reusable beverage bottles","PET","All",42.502118936527054,"",414533004.90384775,"","","",""
"2021reusable beverage bottles","EU27+3",2021,"reusable beverage bottles","PET","All",66.18230622707569,"",645491353.3310553,"","","",""
"2022reusable beverage bottles","EU27+3",2022,"reusable beverage bottles","PET","All",89.57148939367379,"",873611471.1721413,"","","",""
"2023reusable beverage bottles","EU27+3",2023,"reusable beverage bottles","PET","All",173.39547488458697,"",1691166206.2774048,"","","",""
"2024reusable beverage bottles","EU27+3",2024,"reusable beverage bottles","PET","All",258.8869829363787,"",2524984674.9376526,"","","",""
"2025reusable beverage bottles","EU27+3",2025,"reusable beverage bottles","PET","All",346.0709816017179,"",3375310396.350479,"","","",""
"2026reusable beverage bottles","EU27+3",2026,"reusable beverage bottles","PET","All",434.972771542071,"",4242390133.7240753,"","","",""
"2027reusable beverage bottles","EU27+3",2027,"reusable beverage bottles","PET","All",525.6179901830697,"",5126473934.805496,"","","",""
"2028reusable beverage bottles","EU27+3",2028,"reusable beverage bottles","PET","All",618.0326159197341,"",6027815172.895172,"","","",""
"2029reusable beverage bottles","EU27+3",2029,"reusable beverage bottles","PET","All",712.2429723721153,"",6946670588.35318,"","","",""
"2030reusable beverage bottles","EU27+3",2030,"reusable beverage bottles","PET","All",808.2757326919507,"",7883300330.603043,"","","",""
"2031reusable beverage bottles","EU27+3",2031,"reusable beverage bottles","PET","All",938.8122635217011,"",9156453333.995438,"","","",""
"2032reusable beverage bottles","EU27+3",2032,"reusable beverage bottles","PET","All",1071.8786973947776,"",10454281067.422623,"","","",""
"2033reusable beverage bottles","EU27+3",2033,"reusable beverage bottles","PET","All",1207.5125787189618,"",11777149710.184937,"","","",""
"2034reusable beverage bottles","EU27+3",2034,"reusable beverage bottles","PET","All",1345.751949799892,"",13125430297.69577,"","","",""
"2035reusable beverage bottles","EU27+3",2035,"reusable beverage bottles","PET","All",1486.6353570445679,"",14499498781.985794,"","","",""
"2036reusable beverage bottles","EU27+3",2036,"reusable beverage bottles","PET","All",1630.2018572391573,"",15899736092.931847,"","","",""
"2037reusable beverage bottles","EU27+3",2037,"reusable beverage bottles","PET","All",1776.4910239019353,"",17326528200.218636,"","","",""
"2038reusable beverage bottles","EU27+3",2038,"reusable beverage bottles","PET","All",1925.542953712243,"",18780266176.041847,"","","",""
"2039reusable beverage bottles","EU27+3",2039,"reusable beverage bottles","PET","All",2077.398273016368,"",20261346258.561516,"","","",""
"2040reusable beverage bottles","EU27+3",2040,"reusable beverage bottles","PET","All",2232.098144411204,"",21770169916.113968,"","","",""
"2041reusable beverage bottles","EU27+3",2041,"reusable beverage bottles","PET","All",2479.8610384408485,"",24186658776.802628,"","","",""
"2042reusable beverage bottles","EU27+3",2042,"reusable beverage bottles","PET","All",2732.355980536644,"",26649300397.71344,"","","",""
"2043reusable beverage bottles","EU27+3",2043,"reusable beverage bottles","PET","All",2989.6528353705103,"",29158776185.16478,"","","",""
"2044reusable beverage bottles","EU27+3",2044,"reusable beverage bottles","PET","All",3251.8223917030014,"",31715776558.325386,"","","",""
"2045reusable beverage bottles","EU27+3",2045,"reusable beverage bottles","PET","All",3518.936373878605,"",34321001061.33069,"","","",""
"2046reusable beverage bottles","EU27+3",2046,"reusable beverage bottles","PET","All",3791.067453458551,"",36975158476.740265,"","","",""
"2047reusable beverage bottles","EU27+3",2047,"reusable beverage bottles","PET","All",4068.2892609927076,"",39678966940.3519,"","","",""
"2048reusable beverage bottles","EU27+3",2048,"reusable beverage bottles","PET","All",4350.6763979322,"",42433154057.38808,"","","",""
"2049reusable beverage bottles","EU27+3",2049,"reusable beverage bottles","PET","All",4638.3044486843855,"",45238457020.07096,"","","",""
"2050reusable beverage bottles","EU27+3",2050,"reusable beverage bottles","PET","All",4931.24999281182,"",48095622726.60176,"","","",""
"2018single-use sheet (tray)","EU27+3",2018,"single-use sheet (tray)","PET","All",1006.8068068068068,"",48943017199.30031,"",0,"",48943017199.30031
"2019single-use sheet (tray)","EU27+3",2019,"single-use sheet (tray)","PET","All",1049.6496496496497,"",51025698782.24927,"",0,"",51025698782.24927
"2020single-use sheet (tray)","EU27+3",2020,"single-use sheet (tray)","PET","All",1006.8068068068068,"",48943017199.30031,"",0,"",48943017199.30031
"2021single-use sheet (tray)","EU27+3",2021,"single-use sheet (tray)","PET","All",1049.6496496496497,"",51025698782.24927,"",0,"",51025698782.24927
"2022single-use sheet (tray)","EU27+3",2022,"single-use sheet (tray)","PET","All",1070,"",52014972534.15001,"",0,"",52014972534.15001
"2023single-use sheet (tray)","EU27+3",2023,"single-use sheet (tray)","PET","All",1073.945625,"",52206777745.36969,"",0.00625,"",52535122259.49151
"2024single-use sheet (tray)","EU27+3",2024,"single-use sheet (tray)","PET","All",1077.8631625,"",52397217563.56035,"",0.0125,"",53060473482.086426
"2025single-use sheet (tray)","EU27+3",2025,"single-use sheet (tray)","PET","All",1081.7516561874997,"",52586245500.34027,"",0.018750000000000003,"",53591078216.90729
"2026single-use sheet (tray)","EU27+3",2026,"single-use sheet (tray)","PET","All",1085.6101334324999,"",52773814274.09945,"",0.025,"",54126988999.07636
"2027single-use sheet (tray)","EU27+3",2027,"single-use sheet (tray)","PET","All",1089.4376050567812,"",52959875798.783775,"",0.03125,"",54668258889.06712
