"code","region","time","sector","polymer","element","value","","value","","WEIGHTLIGHTING","","nb of product","","reusable share","","SU + RU"
"2018single-use beverage bottles","EU27+3",2018,"single-use beverage bottles","PET","All",2926.326326326326,"",2926.326326326326,"",1,"",69686430563.23091,"",0,"",69686430563.23091
"2019single-use beverage bottles","EU27+3",2019,"single-use beverage bottles","PET","All",3028.6000851910067,"",3028.6000851910067,"",1,"",72121939252.55452,"",0.003,"",72338956120.91727
"2020single-use beverage bottles","EU27+3",2020,"single-use beverage bottles","PET","All",2883.824207389799,"",2883.824207389799,"",1,"",68674301145.73744,"",0.006,"",69088834150.6413
"2021single-use beverage bottles","EU27+3",2021,"single-use beverage bottles","PET","All",2984.668544623775,"",2984.668544623775,"",1,"",71075770127.89731,"",0.009000000000000001,"",71721261481.22836
"2022single-use beverage bottles","EU27+3",2022,"single-use beverage bottles","PET","All",3020.4285106063267,"",3020.4285106063267,"",1,"",71927344459.83963,"",0.012,"",72800955931.01176
"2023single-use beverage bottles","EU27+3",2023,"single-use beverage bottles","PET","All",2903.5432007672994,"",3016.668260537454,"",0.9625,"",71837799284.04448,"",0.023,"",73528965490.32188
"2024single-use beverage bottles","EU27+3",2024,"single-use beverage bottles","PET","All",2786.590955419933,"",3012.5307626161434,"",0.925,"",71739270470.28745,"",0.034,"",74264255145.2251
"2025single-use beverage bottles","EU27+3",2025,"single-use beverage bottles","PET","All",2669.6078525204384,"",3008.0088479103533,"",0.8875,"",71631587300.32687,"",0.045,"",75006897696.67735
"2026single-use beverage bottles","EU27+3",2026,"single-use beverage bottles","PET","All",2552.630955559058,"",3003.095241834186,"",0.85,"",71514576539.92006,"",0.05600000000000001,"",75756966673.64413
"2027single-use beverage bottles","EU27+3",2027,"single-use beverage bottles","PET","All",2435.698332235759,"",2997.7825627517036,"",0.8125,"",71388062405.57507,"",0.067,"",76514536340.38057
"2028single-use beverage bottles","EU27+3",2028,"single-use beverage bottles","PET","All",2318.849073436626,"",2992.063320563389,"",0.7749999999999999,"",71251866530.8892,"",0.078,"",77279681703.78438
"2029single-use beverage bottles","EU27+3",2029,"single-use beverage bottles","PET","All",2202.123312515336,"",2985.929915275032,"",0.7374999999999999,"",71105807932.46904,"",0.08900000000000001,"",78052478520.82222
"2030single-use beverage bottles","EU27+3",2030,"single-use beverage bottles","PET","All",2085.5622448841964,"",2979.374635548852,"",0.7,"",70949702975.4274,"",0.1,"",78833003306.03044
"2031single-use beverage bottles","EU27+3",2031,"single-use beverage bottles","PET","All",2071.3109028774875,"",2959.015575539268,"",0.7,"",70464880005.0953,"",0.115,"",79621333339.09074
"2032single-use beverage bottles","EU27+3",2032,"single-use beverage bottles","PET","All",2056.5659778061563,"",2937.9513968659376,"",0.7,"",69963265605.05904,"",0.13,"",80417546672.48166
"2033single-use beverage bottles","EU27+3",2033,"single-use beverage bottles","PET","All",2041.3190231431108,"",2916.170033061587,"",0.7,"",69444572429.02155,"",0.14500000000000002,"",81221722139.20648
"2034single-use beverage bottles","EU27+3",2034,"single-use beverage bottles","PET","All",2025.5614727890236,"",2893.6592468414624,"",0.7,"",68908509062.90277,"",0.16,"",82033939360.59854
