"region","other_region","time","sector","polymer","value"
"EU27+3","EU27+3",2018,"single-use beverage bottles","PET",1
"EU27+3","EU27+3",2018,"reusable beverage bottles","PET",1
"EU27+3","EU27+3",2018,"single-use non-beverage bottles","PET",1
"EU27+3","EU27+3",2018,"reusable non-beverage bottles","PET",1
"EU27+3","EU27+3",2018,"single-use sheet (tray)","PET",1
"EU27+3","EU27+3",2018,"reusable sheet (tray)","PET",1
"EU27+3","EU27+3",2018,"flexible packaging","PET",1
"EU27+3","EU27+3",2018,"other","PET",1
"EU27+3","EU27+3",2050.75,"single-use beverage bottles","PET",1
"EU27+3","EU27+3",2050.75,"reusable beverage bottles","PET",1
"EU27+3","EU27+3",2050.75,"single-use non-beverage bottles","PET",1
"EU27+3","EU27+3",2050.75,"reusable non-beverage bottles","PET",1
"EU27+3","EU27+3",2050.75,"single-use sheet (tray)","PET",1
"EU27+3","EU27+3",2050.75,"reusable sheet (tray)","PET",1
"EU27+3","EU27+3",2050.75,"flexible packaging","PET",1
"EU27+3","EU27+3",2050.75,"other","PET",1
