"region","time","sector","polymer","value"
"EU27+3",2018,"single-use beverage bottles","PET",7
"EU27+3",2018,"reusable beverage bottles","PET",7
"EU27+3",2018,"single-use non-beverage bottles","PET",7
"EU27+3",2018,"reusable non-beverage bottles","PET",7
"EU27+3",2018,"single-use sheet (tray)","PET",7
"EU27+3",2018,"reusable sheet (tray)","PET",7
"EU27+3",2018,"flexible packaging","PET",7
"EU27+3",2018,"other","PET",7
"EU27+3",2022,"single-use beverage bottles","PET",7
"EU27+3",2022,"reusable beverage bottles","PET",7
"EU27+3",2022,"single-use non-beverage bottles","PET",7
"EU27+3",2022,"reusable non-beverage bottles","PET",7
"EU27+3",2022,"single-use sheet (tray)","PET",7
"EU27+3",2022,"reusable sheet (tray)","PET",7
"EU27+3",2022,"flexible packaging","PET",7
"EU27+3",2022,"other","PET",7
"EU27+3",2030,"single-use beverage bottles","PET",7
"EU27+3",2030,"reusable beverage bottles","PET",7
"EU27+3",2030,"single-use non-beverage bottles","PET",7
"EU27+3",2030,"reusable non-beverage bottles","PET",7
"EU27+3",2030,"single-use sheet (tray)","PET",7
"EU27+3",2030,"reusable sheet (tray)","PET",7
"EU27+3",2030,"flexible packaging","PET",7
"EU27+3",2030,"other","PET",7
"EU27+3",2040,"single-use beverage bottles","PET",7
"EU27+3",2040,"reusable beverage bottles","PET",7
"EU27+3",2040,"single-use non-beverage bottles","PET",7
"EU27+3",2040,"reusable non-beverage bottles","PET",7
"EU27+3",2040,"single-use sheet (tray)","PET",7
"EU27+3",2040,"reusable sheet (tray)","PET",7
"EU27+3",2040,"flexible packaging","PET",7
"EU27+3",2040,"other","PET",7
"EU27+3",2050.75,"single-use beverage bottles","PET",7
"EU27+3",2050.75,"reusable beverage bottles","PET",7
"EU27+3",2050.75,"single-use non-beverage bottles","PET",7
"EU27+3",2050.75,"reusable non-beverage bottles","PET",7
"EU27+3",2050.75,"single-use sheet (tray)","PET",7
"EU27+3",2050.75,"reusable sheet (tray)","PET",7
"EU27+3",2050.75,"flexible packaging","PET",7
"EU27+3",2050.75,"other","PET",7
