"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"PET bottles (beverage) placed on the market in EU27+3","","","","","","","","","","","","","","","","","","",""
"growth rate applied to total weight; reusable share applied to weight ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"kt",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
"total",3110,3141.1,3172.511,3204.23611,3236.2784711,3268.641255811,3301.32766836911,3334.340945052801,3367.684354503329,3401.3611980483624,3435.3748100288462,3469.728558129135,3504.4258437104263,3539.4701021475307,3574.864803169006,3610.613451200696,3646.719585712703,3683.18678156983,3720.0186493855285
"single-use",3072.68,3066.348945568708,3060.3288911374166,3054.622946706125,3049.2342533748333,3044.165983654542,3039.4213417813603,3035.0035640337596,3030.915919052996,3005.2691399084247,2979.9591291993033,2954.9892546099873,2930.362917501674,2906.0835532491733,2882.1546315810438,2858.579656923129,2835.3621687455307,2812.505741913053,2790.0139870391463
"reusable",37.32,74.7510544312916,112.18210886258322,149.61316329387483,187.04421772516645,224.47527215645806,261.9063265877497,299.3373810190413,336.7684354503329,396.0920581399378,455.41568082954274,514.7393035191476,574.0629262087525,633.3865488983574,692.7101715879623,752.0337942775673,811.3574169671722,870.6810396567771,930.0046623463821
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Average collection rates for PET bottles in EU27+3","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Weighted collection rate EU27+3","","","","","","","","","","","","","","","","","","",""
"",2022,"","","","","","","","","","","","","","","","","",""
"AU",0.01606339235677307,"","","","","","","","","","","","","","","","","",""
"FR",0.09724527644178871,"","","","","","","","","","","","","","","","","",""
"DE",0.1889789025545902,"","","","","","","","","","","","","","","","","",""
"IT",0.0893574414500369,"","","","","","","","","","","","","","","","","",""
"NL",0.02934382213958221,"","","","","","","","","","","","","","","","","",""
"PL",0.03700956395937396,"","","","","","","","","","","","","","","","","",""
"RO",0.015030177538449641,"","","","","","","","","","","","","","","","","",""
"ES",0.08527572908678513,"","","","","","","","","","","","","","","","","",""
"UK",0.09240925485151963,"","","","","","","","","","","","","","","","","",""
"BE",0.02325499523209909,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"SUM",0.6739685556109984,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"PET bottles (beverage) placed on the market in EU27+3","","","","","","","","","","","","","","","","","","",""
"growth rate applied to number of bottles weight; reusable share applied to number of bottles ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"# 1L mineral water",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
