"EU27+3 divided into five regions:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West (BENELUX + British Isles): BE, IE, LU, NL, UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South: CH, CY, ES, FR (metropolitan), EL, IT, MT, PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North: DK, FI, NO, SE, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East: AT, BG, CZ, EE, HR, HU, LT, LV, PL, RO, SI, SK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany (DE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"data in red is gap-filled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","historic","future","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","data <--","data -->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIME","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","","Comment"
"GEO (Labels)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West",0.18102933548289585,0.18118549244376966,0.18105336186687668,0.1806857822535582,0.18023255289646914,0.17979172996993728,0.17938882441353202,0.1789163878617306,0.17844053387185793,0.17811393769690653,0.17788846762381522,0.17761240254607058,0.1772199607370805,0.17688611121775089,0.1768010186991069,0.176833100230776,0.1768415387826473,0.1768080402780875,0.17678106346980021,0.17669763929762183,0.17668080327487315,0.17677796054757924,0.1770807330940555,0.17711151933310917,0.17719619462535807,0.17739003070388618,0.17759762751139543,0.17788037740306656,0.17822586406974242,0.17868220765626508,0.17919694839898467,0.17967827147525836,0.1803558169023189,0.18063723128658865,0.18088344680820057,0.18126878863403906,0.18184743690109778,0.18251014501252544,0.18322954845637834,0.18391803506044993,0.18480775183420117,0.18636230010604773,0.18718277620641408,0.18779808156934705,0.18837963138770927,0.18917337044211488,0.18990184950295994,0.19067576918262222,0.19141934714996975,0.19228860695155223,0.19296308933008585,0.18982290068996127,0.19108662540147117,0.19234548846887023,0.19359951789296417,0.194848741459942,0.19609318674342827,0.1973328811065118,0.19856785170375113,0.1997981254831576,0.2010237291881549,0.20200962164834407,0.20299419335454483,0.20397744695900924,0.20495938510689235,0.20594001043627647,0.20691932557819454,0.20789733315665354,0.20887403578865843,0.20984943608423465,0.21082353664645223,0.21166331389518311,0.21250336503839778,0.2133436902101145,0.21418428954443927,0.21502516317556541,0.215866311237774,0.2167077338654337,0.21754943119300083,0.2183914033550197,0.21923365048612242,"",""
"South",0.36088173108358995,0.3620906682745619,0.3622235928801505,0.36290834273716094,0.36346235907693536,0.3643690017604488,0.3656377471606467,0.3664722245562019,0.3671289603466849,0.3678747405903555,0.3683045629037333,0.36872797795328865,0.369137363177944,0.36970946912305747,0.370031089103709,0.37039503657860845,0.3704974300627492,0.3703856251121177,0.3703413643132401,0.37008408342881216,0.36996992048937827,0.36981826638156196,0.3702417691591887,0.3703107528118621,0.3703979436343128,0.3706319462832872,0.37096167257021073,0.3713355883547964,0.3718155010623176,0.37229025092203205,0.3731186297590176,0.3740252855440635,0.3754425853751381,0.3770909286002359,0.3788444195136429,0.38063767973015583,0.3820731271248587,0.3834621739885875,0.385406842838663,0.38671815732759524,0.38751819292257683,0.3890715218658934,0.38916011337100237,0.389133304178612,0.3892978281637622,0.38863388737434146,0.3874885663115931,0.3871033246005045,0.3868417340542579,0.38614315342893624,0.3862157951319109,0.38789493352072485,0.38779795627144603,0.3877013521009466,0.3876051188604666,0.38750925441771533,0.3874137566567147,0.38731862347764223,0.3872238527966785,0.3871294425458541,0.38703539067289955,0.3869542211061634,0.38687316027849694,0.3867922079715375,0.3867113639675069,0.3866306280492086,0.3865500000000273,0.3864694796039255,0.3863890666454424,0.386308760909692,0.38622856218236074,0.3860283160448707,0.38582800459683253,0.3856276278062893,0.3854271856412633,0.3852266780697558,0.3850261050597475,0.38482546657919775,0.38462476259604544,0.38442399307820824,0.3842231579935827,"",""
"North",0.04754068206012336,0.04762719578792295,0.04757442195445331,0.04750427086072395,0.04744027526322935,0.047426066247367324,0.04737735105014117,0.047336639889176746,0.047312734107443535,0.04725426852931455,0.047180121607913114,0.04707905864652344,0.047007498061178245,0.04698291584503653,0.04696684793163132,0.04695983734003589,0.04695360244052581,0.04694917329574444,0.046972154682439794,0.04697885108025714,0.0470483386922585,0.04711579828943594,0.04725341405154931,0.0473273170680081,0.047430157698713116,0.04759907291205703,0.04770700004032631,0.04776824551806338,0.04782079762270005,0.04788237064208801,0.04794955010194509,0.048002532538467896,0.04808866291746174,0.04808918026960613,0.04808034646050011,0.048069099858348535,0.04809693980321632,0.048203818859438335,0.04835264473410697,0.04855282344144176,0.04881109334387545,0.0491815345177358,0.049410089380407494,0.049649317646298374,0.04988369848234172,0.05015759951357125,0.05037918432656645,0.05071590996086421,0.05098282369620001,0.05122922370150237,0.05138890885668567,0.05180923117445156,0.051963954705519656,0.05211808300351461,0.052271619496701706,0.052424567587069704,0.052576930650582145,0.05272871203742574,0.052879915072255874,0.053030543054439445,0.053180599258294776,0.05331813554011532,0.05345548757101592,0.053592655720997244,0.05372964035906993,0.053866441853257896,0.0540030605706017,0.054139496877161714,0.05427575113802149,0.05441182371729091,0.05454771497810957,0.05469138575366833,0.054835103387644565,0.05497886790296638,0.055122679322576924,0.055266537669434235,0.055410442966511396,0.055554395236796464,0.05569839450329249,0.055842440789017594,0.05598653411700491,"",""
"East",0.23658015732183107,0.2363041226003805,0.23640517076232181,0.2366565770118805,0.23708110347080402,0.23782756944135547,0.23870772185328887,0.23962044677209982,0.24036321565111743,0.24072280557467335,0.24103906608612585,0.24123391656603574,0.24178645547965816,0.2423591547427952,0.24298054333625047,0.2435767608470812,0.24396154277399018,0.24432996364239606,0.24457077444269693,0.24446177549365702,0.24354904013894396,0.2428087309175402,0.2412773625124338,0.24025497262852308,0.23971698298978558,0.23907725773741592,0.23816777135555345,0.23733025617692,0.23661804796192965,0.2359095090303854,0.23448755931729898,0.23319211189934314,0.23090331440197964,0.22937149331368906,0.22801845609842672,0.2265949842243772,0.22528857076466438,0.22399079133288832,0.2220379391761697,0.22087093297252103,0.219690138290943,0.21926408472886397,0.21829694260993276,0.2174715766886148,0.21646629360252312,0.2156663912854861,0.21455607390965484,0.21360738862529824,0.21272692133894114,0.21213103192388566,0.2113945950604059,0.211759460173604,0.2106806523508297,0.20960599478297293,0.20853546356649835,0.20746903498108318,0.20640668548786528,0.20534839172771097,0.20429413051950346,0.20324387885844986,0.20219761391440785,0.20131190225971643,0.2004273771514768,0.1995440362069439,0.1986618770497481,0.19778089730987417,0.19690109462363986,0.19602246663367479,0.19514501098889953,0.19426872534450426,0.19339360736192843,0.19267994605937394,0.19196605199522201,0.19125192505558058,0.19053756512648373,0.18982297209389076,0.18910814584368674,0.1883930862616823,0.18767779323361328,0.18696226664514115,0.18624650638185256,"",""
"DE",0.17396809405155977,0.172792520893365,0.1727434525361977,0.17224502713667642,0.17178370929256212,0.17058563258089116,0.16888835552239126,0.16765430092079092,0.16675455602289618,0.16603424760875007,0.16558778177841255,0.1653466442880816,0.1648487225441391,0.1640623490713599,0.16322050092930232,0.16223526500349847,0.1617458859400875,0.16152719767165433,0.16133464309182294,0.1617776506996518,0.16275189740454615,0.16347924386388268,0.16414672118277268,0.16499543815849754,0.16525872105183048,0.16530169236335365,0.1655659285225141,0.16568553254715368,0.16551978928331032,0.16523566174922943,0.16524731242275364,0.16510179854286713,0.16520962040310164,0.1648111665298803,0.1641733311192297,0.16342944755307937,0.16269392540616281,0.16183307080656037,0.16097302479468198,0.15994005119799204,0.15917282360840354,0.15612055878145914,0.1559500784322433,0.15594771991712775,0.15597254836366364,0.1563687513844863,0.1576743259492257,0.1578976076307108,0.15802917376063116,0.1582079839941235,0.15803761162091168,0.15871347444125833,0.15847081127073345,0.15822908164369565,0.15798828018336925,0.15774840155418976,0.15750944046140974,0.15727139165070927,0.15703424990781095,0.15679801005809896,0.15656266696624294,0.1564061194456608,0.1562497816444654,0.1560936531415121,0.1559377335167828,0.15578202235138278,0.15562651922753662,0.15547122372858438,0.1553161354389782,0.1551612539442782,0.15500657883114907,0.15493703824690386,0.15486747498190323,0.15479788902504923,0.15472828036523686,0.15465864899135376,0.15458899489228034,0.15451931805688976,0.15444961847404787,0.15437989613261333,0.15431015102143747,"",""
"TOTAL (EU27+3 with FR metropolitan)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
