,time,region,sector,polymer,element,mechanical_recycling_cycle,reuse_cycle,value
0,2018.0,EU27+3,single-use beverage bottles,PET,All,0,0,731.5815815815815
1,2018.0,EU27+3,single-use non-beverage bottles,PET,All,0,0,72.92292292292292
2,2018.0,EU27+3,single-use sheet (tray),PET,All,0,0,251.7017017017017
3,2018.0,EU27+3,flexible packaging,PET,All,0,0,87.03703703703704
4,2018.0,EU27+3,other,PET,All,0,0,31.75675675675676
5,2018.25,EU27+3,single-use beverage bottles,PET,All,0,0,556.002002002002
6,2018.25,EU27+3,single-use beverage bottles,PET,All,1,0,175.57957957957956
7,2018.25,EU27+3,single-use non-beverage bottles,PET,All,0,0,55.42142142142142
8,2018.25,EU27+3,single-use non-beverage bottles,PET,All,1,0,17.5015015015015
9,2018.25,EU27+3,single-use sheet (tray),PET,All,0,0,140.95295295295296
10,2018.25,EU27+3,single-use sheet (tray),PET,All,1,0,110.74874874874875
11,2018.25,EU27+3,flexible packaging,PET,All,0,0,87.03703703703704
12,2018.25,EU27+3,other,PET,All,0,0,6.351351351351351
13,2018.25,EU27+3,other,PET,All,1,0,25.40540540540541
14,2018.5,EU27+3,single-use beverage bottles,PET,All,0,0,556.002002002002
15,2018.5,EU27+3,single-use beverage bottles,PET,All,1,0,133.44048048048046
16,2018.5,EU27+3,single-use beverage bottles,PET,All,2,0,42.13909909909909
17,2018.5,EU27+3,single-use non-beverage bottles,PET,All,0,0,55.42142142142142
18,2018.5,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.301141141141143
19,2018.5,EU27+3,single-use non-beverage bottles,PET,All,2,0,4.20036036036036
20,2018.5,EU27+3,single-use sheet (tray),PET,All,0,0,140.95295295295296
21,2018.5,EU27+3,single-use sheet (tray),PET,All,1,0,62.0192992992993
22,2018.5,EU27+3,single-use sheet (tray),PET,All,2,0,48.729449449449454
23,2018.5,EU27+3,flexible packaging,PET,All,0,0,87.03703703703704
24,2018.5,EU27+3,other,PET,All,0,0,6.351351351351351
25,2018.5,EU27+3,other,PET,All,1,0,5.081081081081081
26,2018.5,EU27+3,other,PET,All,2,0,20.32432432432433
27,2018.75,EU27+3,single-use beverage bottles,PET,All,0,0,556.002002002002
28,2018.75,EU27+3,single-use beverage bottles,PET,All,1,0,133.44048048048046
29,2018.75,EU27+3,single-use beverage bottles,PET,All,2,0,32.02571531531531
30,2018.75,EU27+3,single-use beverage bottles,PET,All,3,0,10.113383783783782
31,2018.75,EU27+3,single-use non-beverage bottles,PET,All,0,0,55.42142142142142
32,2018.75,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.30114114114114
33,2018.75,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.1922738738738734
34,2018.75,EU27+3,single-use non-beverage bottles,PET,All,3,0,1.0080864864864862
35,2018.75,EU27+3,single-use sheet (tray),PET,All,0,0,140.95295295295296
36,2018.75,EU27+3,single-use sheet (tray),PET,All,1,0,62.0192992992993
37,2018.75,EU27+3,single-use sheet (tray),PET,All,2,0,27.28849169169169
38,2018.75,EU27+3,single-use sheet (tray),PET,All,3,0,21.440957757757758
39,2018.75,EU27+3,flexible packaging,PET,All,0,0,87.03703703703704
40,2018.75,EU27+3,other,PET,All,0,0,6.351351351351351
41,2018.75,EU27+3,other,PET,All,1,0,5.081081081081081
42,2018.75,EU27+3,other,PET,All,2,0,4.064864864864865
43,2018.75,EU27+3,other,PET,All,3,0,16.259459459459467
44,2019.0,EU27+3,single-use beverage bottles,PET,All,0,0,579.6616616616617
45,2019.0,EU27+3,single-use beverage bottles,PET,All,1,0,139.11879879879882
46,2019.0,EU27+3,single-use beverage bottles,PET,All,2,0,33.388511711711715
47,2019.0,EU27+3,single-use beverage bottles,PET,All,3,0,8.01324281081081
48,2019.0,EU27+3,single-use beverage bottles,PET,All,4,0,2.53049772972973
49,2019.0,EU27+3,single-use non-beverage bottles,PET,All,0,0,57.77977977977979
50,2019.0,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.86714714714715
51,2019.0,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.3281153153153156
52,2019.0,EU27+3,single-use non-beverage bottles,PET,All,3,0,0.7987476756756756
53,2019.0,EU27+3,single-use non-beverage bottles,PET,All,4,0,0.2522361081081081
54,2019.0,EU27+3,single-use sheet (tray),PET,All,0,0,146.95095095095098
55,2019.0,EU27+3,single-use sheet (tray),PET,All,1,0,64.65841841841844
56,2019.0,EU27+3,single-use sheet (tray),PET,All,2,0,28.44970410410411
57,2019.0,EU27+3,single-use sheet (tray),PET,All,3,0,12.517869805805807
58,2019.0,EU27+3,single-use sheet (tray),PET,All,4,0,9.835469133133133
59,2019.0,EU27+3,flexible packaging,PET,All,0,0,90.74074074074072
60,2019.0,EU27+3,other,PET,All,0,0,6.621621621621621
61,2019.0,EU27+3,other,PET,All,1,0,5.2972972972972965
62,2019.0,EU27+3,other,PET,All,2,0,4.237837837837837
63,2019.0,EU27+3,other,PET,All,3,0,3.3902702702702703
64,2019.0,EU27+3,other,PET,All,4,0,13.561081081081086
65,2019.25,EU27+3,single-use beverage bottles,PET,All,0,0,579.6616616616617
66,2019.25,EU27+3,single-use beverage bottles,PET,All,1,0,139.11879879879876
67,2019.25,EU27+3,single-use beverage bottles,PET,All,2,0,33.38851171171171
68,2019.25,EU27+3,single-use beverage bottles,PET,All,3,0,8.01324281081081
69,2019.25,EU27+3,single-use beverage bottles,PET,All,4,0,1.9231782745945942
70,2019.25,EU27+3,single-use beverage bottles,PET,All,5,0,0.6073194551351351
71,2019.25,EU27+3,single-use non-beverage bottles,PET,All,0,0,57.77977977977979
72,2019.25,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.86714714714715
73,2019.25,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.328115315315316
74,2019.25,EU27+3,single-use non-beverage bottles,PET,All,3,0,0.7987476756756757
75,2019.25,EU27+3,single-use non-beverage bottles,PET,All,4,0,0.19169944216216217
76,2019.25,EU27+3,single-use non-beverage bottles,PET,All,5,0,0.06053666594594595
77,2019.25,EU27+3,single-use sheet (tray),PET,All,0,0,146.95095095095098
78,2019.25,EU27+3,single-use sheet (tray),PET,All,1,0,64.65841841841842
79,2019.25,EU27+3,single-use sheet (tray),PET,All,2,0,28.449704104104107
80,2019.25,EU27+3,single-use sheet (tray),PET,All,3,0,12.517869805805807
81,2019.25,EU27+3,single-use sheet (tray),PET,All,4,0,5.5078627145545545
82,2019.25,EU27+3,single-use sheet (tray),PET,All,5,0,4.327606418578578
83,2019.25,EU27+3,flexible packaging,PET,All,0,0,90.74074074074072
84,2019.25,EU27+3,other,PET,All,0,0,6.621621621621621
85,2019.25,EU27+3,other,PET,All,1,0,5.2972972972972965
86,2019.25,EU27+3,other,PET,All,2,0,4.237837837837837
87,2019.25,EU27+3,other,PET,All,3,0,3.3902702702702703
88,2019.25,EU27+3,other,PET,All,4,0,2.7122162162162162
89,2019.25,EU27+3,other,PET,All,5,0,10.848864864864868
90,2019.5,EU27+3,single-use beverage bottles,PET,All,0,0,579.6616616616617
91,2019.5,EU27+3,single-use beverage bottles,PET,All,1,0,139.1187987987988
92,2019.5,EU27+3,single-use beverage bottles,PET,All,2,0,33.3885117117117
93,2019.5,EU27+3,single-use beverage bottles,PET,All,3,0,8.01324281081081
94,2019.5,EU27+3,single-use beverage bottles,PET,All,4,0,1.923178274594595
95,2019.5,EU27+3,single-use beverage bottles,PET,All,5,0,0.4615627859027026
96,2019.5,EU27+3,single-use beverage bottles,PET,All,6,0,0.1457566692324324
97,2019.5,EU27+3,single-use non-beverage bottles,PET,All,0,0,57.77977977977979
98,2019.5,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.867147147147149
99,2019.5,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.3281153153153156
100,2019.5,EU27+3,single-use non-beverage bottles,PET,All,3,0,0.7987476756756757
101,2019.5,EU27+3,single-use non-beverage bottles,PET,All,4,0,0.19169944216216217
102,2019.5,EU27+3,single-use non-beverage bottles,PET,All,5,0,0.04600786611891892
103,2019.5,EU27+3,single-use non-beverage bottles,PET,All,6,0,0.014528799827027027
104,2019.5,EU27+3,single-use sheet (tray),PET,All,0,0,146.95095095095098
105,2019.5,EU27+3,single-use sheet (tray),PET,All,1,0,64.65841841841844
106,2019.5,EU27+3,single-use sheet (tray),PET,All,2,0,28.449704104104107
107,2019.5,EU27+3,single-use sheet (tray),PET,All,3,0,12.517869805805807
108,2019.5,EU27+3,single-use sheet (tray),PET,All,4,0,5.507862714554556
109,2019.5,EU27+3,single-use sheet (tray),PET,All,5,0,2.423459594404004
110,2019.5,EU27+3,single-use sheet (tray),PET,All,6,0,1.9041468241745747
111,2019.5,EU27+3,flexible packaging,PET,All,0,0,90.74074074074072
112,2019.5,EU27+3,other,PET,All,0,0,6.621621621621621
113,2019.5,EU27+3,other,PET,All,1,0,5.297297297297298
114,2019.5,EU27+3,other,PET,All,2,0,4.237837837837838
115,2019.5,EU27+3,other,PET,All,3,0,3.390270270270271
116,2019.5,EU27+3,other,PET,All,4,0,2.7122162162162167
117,2019.5,EU27+3,other,PET,All,5,0,2.1697729729729733
118,2019.5,EU27+3,other,PET,All,6,0,8.679091891891897
119,2019.75,EU27+3,single-use beverage bottles,PET,All,0,0,579.6616616616617
120,2019.75,EU27+3,single-use beverage bottles,PET,All,1,0,139.11879879879882
121,2019.75,EU27+3,single-use beverage bottles,PET,All,2,0,33.38851171171171
122,2019.75,EU27+3,single-use beverage bottles,PET,All,3,0,8.013242810810807
123,2019.75,EU27+3,single-use beverage bottles,PET,All,4,0,1.9231782745945942
124,2019.75,EU27+3,single-use beverage bottles,PET,All,5,0,0.4615627859027028
125,2019.75,EU27+3,single-use beverage bottles,PET,All,6,0,0.11077506861664863
126,2019.75,EU27+3,single-use beverage bottles,PET,All,7,0,0.03498160061578378
127,2019.75,EU27+3,single-use non-beverage bottles,PET,All,0,0,57.77977977977979
128,2019.75,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.86714714714715
129,2019.75,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.3281153153153156
130,2019.75,EU27+3,single-use non-beverage bottles,PET,All,3,0,0.7987476756756756
131,2019.75,EU27+3,single-use non-beverage bottles,PET,All,4,0,0.19169944216216214
132,2019.75,EU27+3,single-use non-beverage bottles,PET,All,5,0,0.04600786611891892
133,2019.75,EU27+3,single-use non-beverage bottles,PET,All,6,0,0.011041887868540542
134,2019.75,EU27+3,single-use non-beverage bottles,PET,All,7,0,0.003486911958486486
135,2019.75,EU27+3,single-use sheet (tray),PET,All,0,0,146.95095095095098
136,2019.75,EU27+3,single-use sheet (tray),PET,All,1,0,64.65841841841844
137,2019.75,EU27+3,single-use sheet (tray),PET,All,2,0,28.44970410410411
138,2019.75,EU27+3,single-use sheet (tray),PET,All,3,0,12.517869805805807
139,2019.75,EU27+3,single-use sheet (tray),PET,All,4,0,5.507862714554556
140,2019.75,EU27+3,single-use sheet (tray),PET,All,5,0,2.4234595944040045
141,2019.75,EU27+3,single-use sheet (tray),PET,All,6,0,1.0663222215377617
142,2019.75,EU27+3,single-use sheet (tray),PET,All,7,0,0.8378246026368129
143,2019.75,EU27+3,flexible packaging,PET,All,0,0,90.74074074074072
144,2019.75,EU27+3,other,PET,All,0,0,6.621621621621621
145,2019.75,EU27+3,other,PET,All,1,0,5.2972972972972965
146,2019.75,EU27+3,other,PET,All,2,0,4.237837837837838
147,2019.75,EU27+3,other,PET,All,3,0,3.390270270270271
