,region,time,sector,polymer,element,mechanical_recycling_cycle,value
0,EU27+3,2018.25,single-use beverage bottles,PET,All,1,107.46933433433435
1,EU27+3,2018.25,single-use non-beverage bottles,PET,All,1,-4.375375375375377
2,EU27+3,2018.25,single-use sheet (tray),PET,All,1,-103.82695195195198
3,EU27+3,2018.25,other,PET,All,1,-25.373648648648654
4,EU27+3,2018.5,single-use beverage bottles,PET,All,1,87.25756418918922
5,EU27+3,2018.5,single-use beverage bottles,PET,All,2,27.555020270270283
6,EU27+3,2018.5,single-use non-beverage bottles,PET,All,1,-3.075888888888891
7,EU27+3,2018.5,single-use non-beverage bottles,PET,All,2,-0.9713333333333338
8,EU27+3,2018.5,single-use sheet (tray),PET,All,1,-58.14309309309308
9,EU27+3,2018.5,single-use sheet (tray),PET,All,2,-45.683858858858855
10,EU27+3,2018.5,other,PET,All,1,-5.07472972972973
11,EU27+3,2018.5,other,PET,All,2,-20.298918918918925
12,EU27+3,2018.75,single-use beverage bottles,PET,All,1,92.83843428428428
13,EU27+3,2018.75,single-use beverage bottles,PET,All,2,22.281224228228226
14,EU27+3,2018.75,single-use beverage bottles,PET,All,3,7.03617607207207
15,EU27+3,2018.75,single-use non-beverage bottles,PET,All,1,-2.826492492492492
16,EU27+3,2018.75,single-use non-beverage bottles,PET,All,2,-0.6783581981981981
17,EU27+3,2018.75,single-use non-beverage bottles,PET,All,3,-0.21421837837837832
18,EU27+3,2018.75,single-use sheet (tray),PET,All,1,-58.14309309309308
19,EU27+3,2018.75,single-use sheet (tray),PET,All,2,-25.582960960960957
20,EU27+3,2018.75,single-use sheet (tray),PET,All,3,-20.100897897897894
21,EU27+3,2018.75,other,PET,All,1,-5.0747297297297305
22,EU27+3,2018.75,other,PET,All,2,-4.059783783783785
23,EU27+3,2018.75,other,PET,All,3,-16.239135135135143
24,EU27+3,2019.0,single-use beverage bottles,PET,All,1,92.740986061061
25,EU27+3,2019.0,single-use beverage bottles,PET,All,2,22.257836654654636
26,EU27+3,2019.0,single-use beverage bottles,PET,All,3,5.3418807971171125
27,EU27+3,2019.0,single-use beverage bottles,PET,All,4,1.6869097254054042
28,EU27+3,2019.0,single-use non-beverage bottles,PET,All,1,-3.1431021021021026
29,EU27+3,2019.0,single-use non-beverage bottles,PET,All,2,-0.7543445045045045
30,EU27+3,2019.0,single-use non-beverage bottles,PET,All,3,-0.18104268108108107
31,EU27+3,2019.0,single-use non-beverage bottles,PET,All,4,-0.057171372972972964
32,EU27+3,2019.0,single-use sheet (tray),PET,All,1,-60.78221221221221
33,EU27+3,2019.0,single-use sheet (tray),PET,All,2,-26.744173373373375
34,EU27+3,2019.0,single-use sheet (tray),PET,All,3,-11.767436284284283
35,EU27+3,2019.0,single-use sheet (tray),PET,All,4,-9.245842794794793
36,EU27+3,2019.0,other,PET,All,1,-5.290945945945945
37,EU27+3,2019.0,other,PET,All,2,-4.232756756756756
38,EU27+3,2019.0,other,PET,All,3,-3.3862054054054056
39,EU27+3,2019.0,other,PET,All,4,-13.544821621621628
40,EU27+3,2019.25,single-use beverage bottles,PET,All,1,108.42571381381386
41,EU27+3,2019.25,single-use beverage bottles,PET,All,2,26.022171315315326
42,EU27+3,2019.25,single-use beverage bottles,PET,All,3,6.2453211156756785
43,EU27+3,2019.25,single-use beverage bottles,PET,All,4,1.4988770677621626
44,EU27+3,2019.25,single-use beverage bottles,PET,All,5,0.4733296003459461
45,EU27+3,2019.25,single-use non-beverage bottles,PET,All,1,-2.426750750750751
46,EU27+3,2019.25,single-use non-beverage bottles,PET,All,2,-0.5824201801801803
47,EU27+3,2019.25,single-use non-beverage bottles,PET,All,3,-0.13978084324324325
48,EU27+3,2019.25,single-use non-beverage bottles,PET,All,4,-0.033547402378378374
49,EU27+3,2019.25,single-use non-beverage bottles,PET,All,5,-0.010593916540540541
50,EU27+3,2019.25,single-use sheet (tray),PET,All,1,-60.61726726726725
51,EU27+3,2019.25,single-use sheet (tray),PET,All,2,-26.671597597597593
52,EU27+3,2019.25,single-use sheet (tray),PET,All,3,-11.735502942942942
53,EU27+3,2019.25,single-use sheet (tray),PET,All,4,-5.163621294894894
54,EU27+3,2019.25,single-use sheet (tray),PET,All,5,-4.057131017417416
55,EU27+3,2019.25,other,PET,All,1,-5.290675675675675
56,EU27+3,2019.25,other,PET,All,2,-4.23254054054054
57,EU27+3,2019.25,other,PET,All,3,-3.3860324324324322
58,EU27+3,2019.25,other,PET,All,4,-2.708825945945946
59,EU27+3,2019.25,other,PET,All,5,-10.835303783783788
60,EU27+3,2019.5,single-use beverage bottles,PET,All,1,114.24406774274277
61,EU27+3,2019.5,single-use beverage bottles,PET,All,2,27.418576258258256
62,EU27+3,2019.5,single-use beverage bottles,PET,All,3,6.580458301981984
63,EU27+3,2019.5,single-use beverage bottles,PET,All,4,1.5793099924756762
64,EU27+3,2019.5,single-use beverage bottles,PET,All,5,0.3790343981941622
65,EU27+3,2019.5,single-use beverage bottles,PET,All,6,0.11969507311394598
66,EU27+3,2019.5,single-use non-beverage bottles,PET,All,1,-2.166741741741741
67,EU27+3,2019.5,single-use non-beverage bottles,PET,All,2,-0.5200180180180178
68,EU27+3,2019.5,single-use non-beverage bottles,PET,All,3,-0.1248043243243243
69,EU27+3,2019.5,single-use non-beverage bottles,PET,All,4,-0.02995303783783783
70,EU27+3,2019.5,single-use non-beverage bottles,PET,All,5,-0.007188729081081078
71,EU27+3,2019.5,single-use non-beverage bottles,PET,All,6,-0.0022701249729729723
