,region,time,sector,polymer,element,mechanical_recycling_cycle,value
0,EU27+3,2018.25,single-use beverage bottles,PET,All,1,175.57957957957956
1,EU27+3,2018.25,single-use non-beverage bottles,PET,All,1,17.5015015015015
2,EU27+3,2018.25,single-use sheet (tray),PET,All,1,110.74874874874878
3,EU27+3,2018.25,other,PET,All,1,25.40540540540541
4,EU27+3,2018.5,single-use beverage bottles,PET,All,1,133.44048048048046
5,EU27+3,2018.5,single-use beverage bottles,PET,All,2,42.13909909909909
6,EU27+3,2018.5,single-use non-beverage bottles,PET,All,1,13.301141141141143
7,EU27+3,2018.5,single-use non-beverage bottles,PET,All,2,4.200360360360361
8,EU27+3,2018.5,single-use sheet (tray),PET,All,1,62.019299299299284
9,EU27+3,2018.5,single-use sheet (tray),PET,All,2,48.72944944944945
10,EU27+3,2018.5,other,PET,All,1,5.081081081081082
11,EU27+3,2018.5,other,PET,All,2,20.32432432432433
12,EU27+3,2018.75,single-use beverage bottles,PET,All,1,133.4404804804805
13,EU27+3,2018.75,single-use beverage bottles,PET,All,2,32.02571531531531
14,EU27+3,2018.75,single-use beverage bottles,PET,All,3,10.113383783783782
15,EU27+3,2018.75,single-use non-beverage bottles,PET,All,1,13.30114114114114
16,EU27+3,2018.75,single-use non-beverage bottles,PET,All,2,3.192273873873874
17,EU27+3,2018.75,single-use non-beverage bottles,PET,All,3,1.0080864864864862
18,EU27+3,2018.75,single-use sheet (tray),PET,All,1,62.019299299299284
19,EU27+3,2018.75,single-use sheet (tray),PET,All,2,27.288491691691686
20,EU27+3,2018.75,single-use sheet (tray),PET,All,3,21.440957757757754
21,EU27+3,2018.75,other,PET,All,1,5.081081081081082
22,EU27+3,2018.75,other,PET,All,2,4.064864864864866
23,EU27+3,2018.75,other,PET,All,3,16.259459459459467
24,EU27+3,2019.0,single-use beverage bottles,PET,All,1,139.11879879879885
25,EU27+3,2019.0,single-use beverage bottles,PET,All,2,33.388511711711715
26,EU27+3,2019.0,single-use beverage bottles,PET,All,3,8.013242810810812
27,EU27+3,2019.0,single-use beverage bottles,PET,All,4,2.5304977297297304
28,EU27+3,2019.0,single-use non-beverage bottles,PET,All,1,13.867147147147149
29,EU27+3,2019.0,single-use non-beverage bottles,PET,All,2,3.328115315315315
30,EU27+3,2019.0,single-use non-beverage bottles,PET,All,3,0.7987476756756756
31,EU27+3,2019.0,single-use non-beverage bottles,PET,All,4,0.25223610810810804
32,EU27+3,2019.0,single-use sheet (tray),PET,All,1,64.65841841841842
33,EU27+3,2019.0,single-use sheet (tray),PET,All,2,28.449704104104104
34,EU27+3,2019.0,single-use sheet (tray),PET,All,3,12.517869805805804
35,EU27+3,2019.0,single-use sheet (tray),PET,All,4,9.835469133133131
36,EU27+3,2019.0,other,PET,All,1,5.2972972972972965
37,EU27+3,2019.0,other,PET,All,2,4.237837837837837
38,EU27+3,2019.0,other,PET,All,3,3.3902702702702703
39,EU27+3,2019.0,other,PET,All,4,13.561081081081086
40,EU27+3,2019.25,single-use beverage bottles,PET,All,1,139.11879879879874
41,EU27+3,2019.25,single-use beverage bottles,PET,All,2,33.3885117117117
42,EU27+3,2019.25,single-use beverage bottles,PET,All,3,8.013242810810809
43,EU27+3,2019.25,single-use beverage bottles,PET,All,4,1.9231782745945936
44,EU27+3,2019.25,single-use beverage bottles,PET,All,5,0.6073194551351349
45,EU27+3,2019.25,single-use non-beverage bottles,PET,All,1,13.867147147147147
46,EU27+3,2019.25,single-use non-beverage bottles,PET,All,2,3.328115315315315
47,EU27+3,2019.25,single-use non-beverage bottles,PET,All,3,0.7987476756756756
48,EU27+3,2019.25,single-use non-beverage bottles,PET,All,4,0.19169944216216214
49,EU27+3,2019.25,single-use non-beverage bottles,PET,All,5,0.060536665945945936
50,EU27+3,2019.25,single-use sheet (tray),PET,All,1,64.6584184184184
51,EU27+3,2019.25,single-use sheet (tray),PET,All,2,28.4497041041041
52,EU27+3,2019.25,single-use sheet (tray),PET,All,3,12.517869805805805
53,EU27+3,2019.25,single-use sheet (tray),PET,All,4,5.507862714554554
54,EU27+3,2019.25,single-use sheet (tray),PET,All,5,4.327606418578577
55,EU27+3,2019.25,other,PET,All,1,5.2972972972972965
56,EU27+3,2019.25,other,PET,All,2,4.237837837837837
57,EU27+3,2019.25,other,PET,All,3,3.3902702702702703
58,EU27+3,2019.25,other,PET,All,4,2.7122162162162162
59,EU27+3,2019.25,other,PET,All,5,10.84886486486487
60,EU27+3,2019.5,single-use beverage bottles,PET,All,1,139.11879879879876
61,EU27+3,2019.5,single-use beverage bottles,PET,All,2,33.38851171171169
62,EU27+3,2019.5,single-use beverage bottles,PET,All,3,8.013242810810809
63,EU27+3,2019.5,single-use beverage bottles,PET,All,4,1.9231782745945942
64,EU27+3,2019.5,single-use beverage bottles,PET,All,5,0.4615627859027025
65,EU27+3,2019.5,single-use beverage bottles,PET,All,6,0.14575666923243238
66,EU27+3,2019.5,single-use non-beverage bottles,PET,All,1,13.867147147147145
67,EU27+3,2019.5,single-use non-beverage bottles,PET,All,2,3.3281153153153156
68,EU27+3,2019.5,single-use non-beverage bottles,PET,All,3,0.7987476756756757
69,EU27+3,2019.5,single-use non-beverage bottles,PET,All,4,0.19169944216216214
70,EU27+3,2019.5,single-use non-beverage bottles,PET,All,5,0.04600786611891891
71,EU27+3,2019.5,single-use non-beverage bottles,PET,All,6,0.014528799827027025
72,EU27+3,2019.5,single-use sheet (tray),PET,All,1,64.65841841841845
73,EU27+3,2019.5,single-use sheet (tray),PET,All,2,28.449704104104118
74,EU27+3,2019.5,single-use sheet (tray),PET,All,3,12.517869805805812
75,EU27+3,2019.5,single-use sheet (tray),PET,All,4,5.507862714554557
76,EU27+3,2019.5,single-use sheet (tray),PET,All,5,2.4234595944040045
77,EU27+3,2019.5,single-use sheet (tray),PET,All,6,1.9041468241745751
78,EU27+3,2019.5,other,PET,All,1,5.297297297297297
79,EU27+3,2019.5,other,PET,All,2,4.237837837837838
80,EU27+3,2019.5,other,PET,All,3,3.3902702702702707
81,EU27+3,2019.5,other,PET,All,4,2.7122162162162167
82,EU27+3,2019.5,other,PET,All,5,2.1697729729729733
83,EU27+3,2019.5,other,PET,All,6,8.679091891891897
84,EU27+3,2019.75,single-use beverage bottles,PET,All,1,139.11879879879876
85,EU27+3,2019.75,single-use beverage bottles,PET,All,2,33.3885117117117
86,EU27+3,2019.75,single-use beverage bottles,PET,All,3,8.013242810810805
87,EU27+3,2019.75,single-use beverage bottles,PET,All,4,1.9231782745945936
88,EU27+3,2019.75,single-use beverage bottles,PET,All,5,0.4615627859027026
89,EU27+3,2019.75,single-use beverage bottles,PET,All,6,0.11077506861664858
90,EU27+3,2019.75,single-use beverage bottles,PET,All,7,0.034981600615783766
91,EU27+3,2019.75,single-use non-beverage bottles,PET,All,1,13.867147147147158
92,EU27+3,2019.75,single-use non-beverage bottles,PET,All,2,3.3281153153153173
93,EU27+3,2019.75,single-use non-beverage bottles,PET,All,3,0.7987476756756762
94,EU27+3,2019.75,single-use non-beverage bottles,PET,All,4,0.19169944216216225
95,EU27+3,2019.75,single-use non-beverage bottles,PET,All,5,0.046007866118918946
96,EU27+3,2019.75,single-use non-beverage bottles,PET,All,6,0.011041887868540547
97,EU27+3,2019.75,single-use non-beverage bottles,PET,All,7,0.003486911958486488
98,EU27+3,2019.75,single-use sheet (tray),PET,All,1,64.65841841841842
99,EU27+3,2019.75,single-use sheet (tray),PET,All,2,28.449704104104107
100,EU27+3,2019.75,single-use sheet (tray),PET,All,3,12.517869805805805
101,EU27+3,2019.75,single-use sheet (tray),PET,All,4,5.507862714554555
102,EU27+3,2019.75,single-use sheet (tray),PET,All,5,2.4234595944040045
103,EU27+3,2019.75,single-use sheet (tray),PET,All,6,1.0663222215377617
104,EU27+3,2019.75,single-use sheet (tray),PET,All,7,0.8378246026368128
105,EU27+3,2019.75,other,PET,All,1,5.2972972972972965
106,EU27+3,2019.75,other,PET,All,2,4.237837837837839
107,EU27+3,2019.75,other,PET,All,3,3.3902702702702707
108,EU27+3,2019.75,other,PET,All,4,2.712216216216217
109,EU27+3,2019.75,other,PET,All,5,2.1697729729729733
110,EU27+3,2019.75,other,PET,All,6,1.7358183783783787
111,EU27+3,2019.75,other,PET,All,7,6.9432735135135175
112,EU27+3,2020.0,single-use beverage bottles,PET,All,1,133.4466009707003
113,EU27+3,2020.0,single-use beverage bottles,PET,All,2,32.02718423296807
114,EU27+3,2020.0,single-use beverage bottles,PET,All,3,7.686524215912335
115,EU27+3,2020.0,single-use beverage bottles,PET,All,4,1.8447658118189598
116,EU27+3,2020.0,single-use beverage bottles,PET,All,5,0.4427437948365505
117,EU27+3,2020.0,single-use beverage bottles,PET,All,6,0.10625851076077215
118,EU27+3,2020.0,single-use beverage bottles,PET,All,7,0.02550204258258531
119,EU27+3,2020.0,single-use non-beverage bottles,PET,All,1,13.301751222159833
120,EU27+3,2020.0,single-use non-beverage bottles,PET,All,2,3.1924202933183605
121,EU27+3,2020.0,single-use non-beverage bottles,PET,All,3,0.7661808703964066
122,EU27+3,2020.0,single-use non-beverage bottles,PET,All,4,0.1838834088951375
123,EU27+3,2020.0,single-use non-beverage bottles,PET,All,5,0.04413201813483301
124,EU27+3,2020.0,single-use non-beverage bottles,PET,All,6,0.010591684352359921
125,EU27+3,2020.0,single-use non-beverage bottles,PET,All,7,0.0025420042445663815
126,EU27+3,2020.0,single-use sheet (tray),PET,All,1,62.217947398972626
127,EU27+3,2020.0,single-use sheet (tray),PET,All,2,27.375896855547957
128,EU27+3,2020.0,single-use sheet (tray),PET,All,3,12.0453946164411
129,EU27+3,2020.0,single-use sheet (tray),PET,All,4,5.299973631234084
130,EU27+3,2020.0,single-use sheet (tray),PET,All,5,2.331988397742997
131,EU27+3,2020.0,single-use sheet (tray),PET,All,6,1.0260748950069187
132,EU27+3,2020.0,single-use sheet (tray),PET,All,7,0.45147295380304414
133,EU27+3,2020.0,other,PET,All,1,6.429430353565046
134,EU27+3,2020.0,other,PET,All,2,5.143544282852036
135,EU27+3,2020.0,other,PET,All,3,4.114835426281631
136,EU27+3,2020.0,other,PET,All,4,3.291868341025305
137,EU27+3,2020.0,other,PET,All,5,2.6334946728202433
138,EU27+3,2020.0,other,PET,All,6,2.106795738256195
139,EU27+3,2020.0,other,PET,All,7,1.685436590604956
140,EU27+3,2020.25,single-use beverage bottles,PET,All,1,133.4451322152013
141,EU27+3,2020.25,single-use beverage bottles,PET,All,2,32.02830070050754
142,EU27+3,2020.25,single-use beverage bottles,PET,All,3,7.686792168121808
143,EU27+3,2020.25,single-use beverage bottles,PET,All,4,1.8448301203492332
144,EU27+3,2020.25,single-use beverage bottles,PET,All,5,0.44275922888381586
145,EU27+3,2020.25,single-use beverage bottles,PET,All,6,0.10626221493211585
146,EU27+3,2020.25,single-use beverage bottles,PET,All,7,0.025502931583707807
147,EU27+3,2020.25,single-use non-beverage bottles,PET,All,1,13.30160481887859
148,EU27+3,2020.25,single-use non-beverage bottles,PET,All,2,3.192531581079529
149,EU27+3,2020.25,single-use non-beverage bottles,PET,All,3,0.7662075794590874
150,EU27+3,2020.25,single-use non-beverage bottles,PET,All,4,0.18388981907018093
151,EU27+3,2020.25,single-use non-beverage bottles,PET,All,5,0.0441335565768434
152,EU27+3,2020.25,single-use non-beverage bottles,PET,All,6,0.01059205357844242
153,EU27+3,2020.25,single-use non-beverage bottles,PET,All,7,0.002542092858826181
154,EU27+3,2020.25,single-use sheet (tray),PET,All,1,62.130742128175484
155,EU27+3,2020.25,single-use sheet (tray),PET,All,2,27.42508875908563
156,EU27+3,2020.25,single-use sheet (tray),PET,All,3,12.067039053997677
157,EU27+3,2020.25,single-use sheet (tray),PET,All,4,5.309497183758978
158,EU27+3,2020.25,single-use sheet (tray),PET,All,5,2.3361787608539504
159,EU27+3,2020.25,single-use sheet (tray),PET,All,6,1.0279186547757384
