,region,time,sector,polymer,element,mechanical_recycling_cycle,value
0,EU27+3,2018.0,single-use beverage bottles,PET,All,0,731.5815815815815
1,EU27+3,2018.0,single-use non-beverage bottles,PET,All,0,72.92292292292292
2,EU27+3,2018.0,single-use sheet (tray),PET,All,0,251.7017017017017
3,EU27+3,2018.0,flexible packaging,PET,All,0,87.03703703703704
4,EU27+3,2018.0,other,PET,All,0,31.75675675675676
5,EU27+3,2018.25,single-use beverage bottles,PET,All,0,556.002002002002
6,EU27+3,2018.25,single-use beverage bottles,PET,All,1,175.57957957957956
7,EU27+3,2018.25,single-use non-beverage bottles,PET,All,0,55.42142142142142
8,EU27+3,2018.25,single-use non-beverage bottles,PET,All,1,17.5015015015015
9,EU27+3,2018.25,single-use sheet (tray),PET,All,0,140.95295295295296
10,EU27+3,2018.25,single-use sheet (tray),PET,All,1,110.74874874874875
11,EU27+3,2018.25,flexible packaging,PET,All,0,87.03703703703704
12,EU27+3,2018.25,other,PET,All,0,6.351351351351351
13,EU27+3,2018.5,single-use beverage bottles,PET,All,0,556.002002002002
14,EU27+3,2018.5,single-use beverage bottles,PET,All,1,133.44048048048046
15,EU27+3,2018.5,single-use beverage bottles,PET,All,2,42.13909909909909
16,EU27+3,2018.5,single-use non-beverage bottles,PET,All,0,55.42142142142142
17,EU27+3,2018.5,single-use non-beverage bottles,PET,All,1,13.301141141141143
18,EU27+3,2018.5,single-use non-beverage bottles,PET,All,2,4.20036036036036
19,EU27+3,2018.5,single-use sheet (tray),PET,All,0,140.95295295295296
20,EU27+3,2018.5,single-use sheet (tray),PET,All,1,62.0192992992993
21,EU27+3,2018.5,single-use sheet (tray),PET,All,2,48.729449449449454
22,EU27+3,2018.5,flexible packaging,PET,All,0,87.03703703703704
23,EU27+3,2018.5,other,PET,All,0,6.351351351351351
24,EU27+3,2018.75,single-use beverage bottles,PET,All,0,556.002002002002
25,EU27+3,2018.75,single-use beverage bottles,PET,All,1,133.44048048048046
26,EU27+3,2018.75,single-use beverage bottles,PET,All,2,32.02571531531531
27,EU27+3,2018.75,single-use beverage bottles,PET,All,3,10.113383783783782
28,EU27+3,2018.75,single-use non-beverage bottles,PET,All,0,55.42142142142142
29,EU27+3,2018.75,single-use non-beverage bottles,PET,All,1,13.30114114114114
30,EU27+3,2018.75,single-use non-beverage bottles,PET,All,2,3.1922738738738734
31,EU27+3,2018.75,single-use non-beverage bottles,PET,All,3,1.0080864864864862
32,EU27+3,2018.75,single-use sheet (tray),PET,All,0,140.95295295295296
33,EU27+3,2018.75,single-use sheet (tray),PET,All,1,62.0192992992993
34,EU27+3,2018.75,single-use sheet (tray),PET,All,2,27.28849169169169
35,EU27+3,2018.75,single-use sheet (tray),PET,All,3,21.440957757757758
36,EU27+3,2018.75,flexible packaging,PET,All,0,87.03703703703704
37,EU27+3,2018.75,other,PET,All,0,6.351351351351351
38,EU27+3,2019.0,single-use beverage bottles,PET,All,0,575.4340161862913
39,EU27+3,2019.0,single-use beverage bottles,PET,All,1,138.10416388470992
40,EU27+3,2019.0,single-use beverage bottles,PET,All,2,33.14499933233038
41,EU27+3,2019.0,single-use beverage bottles,PET,All,3,7.95479983975929
42,EU27+3,2019.0,single-use beverage bottles,PET,All,4,2.512042054660829
43,EU27+3,2019.0,reusable beverage bottles,PET,All,0,4.227645475370284
44,EU27+3,2019.0,single-use non-beverage bottles,PET,All,0,57.34837276300692
45,EU27+3,2019.0,single-use non-beverage bottles,PET,All,1,13.76360946312166
46,EU27+3,2019.0,single-use non-beverage bottles,PET,All,2,3.3032662711491985
47,EU27+3,2019.0,single-use non-beverage bottles,PET,All,3,0.7927839050758075
48,EU27+3,2019.0,single-use non-beverage bottles,PET,All,4,0.25035281212920235
49,EU27+3,2019.0,reusable non-beverage bottles,PET,All,0,0.4213316936635254
50,EU27+3,2019.0,single-use sheet (tray),PET,All,0,146.95095095095098
51,EU27+3,2019.0,single-use sheet (tray),PET,All,1,64.65841841841844
52,EU27+3,2019.0,single-use sheet (tray),PET,All,2,28.44970410410411
53,EU27+3,2019.0,single-use sheet (tray),PET,All,3,12.517869805805807
54,EU27+3,2019.0,single-use sheet (tray),PET,All,4,9.835469133133133
55,EU27+3,2019.0,flexible packaging,PET,All,0,90.74074074074072
56,EU27+3,2019.0,other,PET,All,0,6.621621621621621
57,EU27+3,2019.25,single-use beverage bottles,PET,All,0,575.4340161862913
58,EU27+3,2019.25,single-use beverage bottles,PET,All,1,138.1041638847099
59,EU27+3,2019.25,single-use beverage bottles,PET,All,2,33.14499933233038
60,EU27+3,2019.25,single-use beverage bottles,PET,All,3,7.95479983975929
61,EU27+3,2019.25,single-use beverage bottles,PET,All,4,1.9091519615422297
62,EU27+3,2019.25,single-use beverage bottles,PET,All,5,0.602890093118599
63,EU27+3,2019.25,reusable beverage bottles,PET,All,0,1.7544728722786682
64,EU27+3,2019.25,reusable beverage bottles,PET,All,1,1.335045939590616
65,EU27+3,2019.25,single-use non-beverage bottles,PET,All,0,57.34837276300692
66,EU27+3,2019.25,single-use non-beverage bottles,PET,All,1,13.763609463121659
67,EU27+3,2019.25,single-use non-beverage bottles,PET,All,2,3.3032662711491976
68,EU27+3,2019.25,single-use non-beverage bottles,PET,All,3,0.7927839050758076
69,EU27+3,2019.25,single-use non-beverage bottles,PET,All,4,0.19026813721819374
70,EU27+3,2019.25,single-use non-beverage bottles,PET,All,5,0.06008467491100856
71,EU27+3,2019.25,reusable non-beverage bottles,PET,All,0,0.20961251759760385
72,EU27+3,2019.25,reusable non-beverage bottles,PET,All,1,0.1330521137884817
73,EU27+3,2019.25,single-use sheet (tray),PET,All,0,146.95095095095098
74,EU27+3,2019.25,single-use sheet (tray),PET,All,1,64.65841841841842
75,EU27+3,2019.25,single-use sheet (tray),PET,All,2,28.449704104104107
76,EU27+3,2019.25,single-use sheet (tray),PET,All,3,12.517869805805807
77,EU27+3,2019.25,single-use sheet (tray),PET,All,4,5.5078627145545545
78,EU27+3,2019.25,single-use sheet (tray),PET,All,5,4.327606418578578
79,EU27+3,2019.25,flexible packaging,PET,All,0,90.74074074074072
80,EU27+3,2019.25,other,PET,All,0,6.621621621621621
81,EU27+3,2019.5,single-use beverage bottles,PET,All,0,575.4340161862913
82,EU27+3,2019.5,single-use beverage bottles,PET,All,1,138.1041638847099
83,EU27+3,2019.5,single-use beverage bottles,PET,All,2,33.14499933233037
84,EU27+3,2019.5,single-use beverage bottles,PET,All,3,7.95479983975929
85,EU27+3,2019.5,single-use beverage bottles,PET,All,4,1.9091519615422297
86,EU27+3,2019.5,single-use beverage bottles,PET,All,5,0.4581964707701351
87,EU27+3,2019.5,single-use beverage bottles,PET,All,6,0.14469362234846375
88,EU27+3,2019.5,reusable beverage bottles,PET,All,0,1.6963427469923267
89,EU27+3,2019.5,reusable beverage bottles,PET,All,1,0.21527615775898667
90,EU27+3,2019.5,reusable beverage bottles,PET,All,2,0.3204110255017478
91,EU27+3,2019.5,single-use non-beverage bottles,PET,All,0,57.34837276300692
92,EU27+3,2019.5,single-use non-beverage bottles,PET,All,1,13.763609463121659
93,EU27+3,2019.5,single-use non-beverage bottles,PET,All,2,3.303266271149198
94,EU27+3,2019.5,single-use non-beverage bottles,PET,All,3,0.7927839050758074
95,EU27+3,2019.5,single-use non-beverage bottles,PET,All,4,0.1902681372181938
96,EU27+3,2019.5,single-use non-beverage bottles,PET,All,5,0.045664352932366495
97,EU27+3,2019.5,single-use non-beverage bottles,PET,All,6,0.014420321978642051
98,EU27+3,2019.5,reusable non-beverage bottles,PET,All,0,0.21250917299154062
99,EU27+3,2019.5,reusable non-beverage bottles,PET,All,1,0.035175652582829856
100,EU27+3,2019.5,reusable non-beverage bottles,PET,All,2,0.031932507309235615
101,EU27+3,2019.5,single-use sheet (tray),PET,All,0,146.95095095095098
102,EU27+3,2019.5,single-use sheet (tray),PET,All,1,64.65841841841844
103,EU27+3,2019.5,single-use sheet (tray),PET,All,2,28.449704104104107
104,EU27+3,2019.5,single-use sheet (tray),PET,All,3,12.517869805805807
105,EU27+3,2019.5,single-use sheet (tray),PET,All,4,5.507862714554556
106,EU27+3,2019.5,single-use sheet (tray),PET,All,5,2.423459594404004
107,EU27+3,2019.5,single-use sheet (tray),PET,All,6,1.9041468241745747
108,EU27+3,2019.5,flexible packaging,PET,All,0,90.74074074074072
109,EU27+3,2019.5,other,PET,All,0,6.621621621621621
110,EU27+3,2019.75,single-use beverage bottles,PET,All,0,575.4340161862913
111,EU27+3,2019.75,single-use beverage bottles,PET,All,1,138.1041638847099
112,EU27+3,2019.75,single-use beverage bottles,PET,All,2,33.14499933233037
113,EU27+3,2019.75,single-use beverage bottles,PET,All,3,7.954799839759288
114,EU27+3,2019.75,single-use beverage bottles,PET,All,4,1.9091519615422297
115,EU27+3,2019.75,single-use beverage bottles,PET,All,5,0.4581964707701351
116,EU27+3,2019.75,single-use beverage bottles,PET,All,6,0.1099671529848324
117,EU27+3,2019.75,single-use beverage bottles,PET,All,7,0.0347264693636313
118,EU27+3,2019.75,reusable beverage bottles,PET,All,0,1.6382126217059851
119,EU27+3,2019.75,reusable beverage bottles,PET,All,1,0.3931710292094368
120,EU27+3,2019.75,reusable beverage bottles,PET,All,2,0.04726062626150776
121,EU27+3,2019.75,reusable beverage bottles,PET,All,3,0.07689864612041947
122,EU27+3,2019.75,single-use non-beverage bottles,PET,All,0,57.34837276300692
123,EU27+3,2019.75,single-use non-beverage bottles,PET,All,1,13.763609463121659
124,EU27+3,2019.75,single-use non-beverage bottles,PET,All,2,3.3032662711491976
125,EU27+3,2019.75,single-use non-beverage bottles,PET,All,3,0.7927839050758074
126,EU27+3,2019.75,single-use non-beverage bottles,PET,All,4,0.19026813721819372
127,EU27+3,2019.75,single-use non-beverage bottles,PET,All,5,0.0456643529323665
128,EU27+3,2019.75,single-use non-beverage bottles,PET,All,6,0.010959444703767956
129,EU27+3,2019.75,single-use non-beverage bottles,PET,All,7,0.003460877274874091
130,EU27+3,2019.75,reusable non-beverage bottles,PET,All,0,0.21540582838547734
131,EU27+3,2019.75,reusable non-beverage bottles,PET,All,1,0.05169739881251456
132,EU27+3,2019.75,reusable non-beverage bottles,PET,All,2,0.00866169260763016
133,EU27+3,2019.75,reusable non-beverage bottles,PET,All,3,0.007663801754216548
134,EU27+3,2019.75,single-use sheet (tray),PET,All,0,146.95095095095098
135,EU27+3,2019.75,single-use sheet (tray),PET,All,1,64.65841841841844
136,EU27+3,2019.75,single-use sheet (tray),PET,All,2,28.44970410410411
137,EU27+3,2019.75,single-use sheet (tray),PET,All,3,12.517869805805807
138,EU27+3,2019.75,single-use sheet (tray),PET,All,4,5.507862714554556
139,EU27+3,2019.75,single-use sheet (tray),PET,All,5,2.4234595944040045
140,EU27+3,2019.75,single-use sheet (tray),PET,All,6,1.0663222215377617
141,EU27+3,2019.75,single-use sheet (tray),PET,All,7,0.8378246026368129
142,EU27+3,2019.75,flexible packaging,PET,All,0,90.74074074074072
143,EU27+3,2019.75,other,PET,All,0,6.621621621621621
144,EU27+3,2020.0,single-use beverage bottles,PET,All,0,547.9265994040618
145,EU27+3,2020.0,single-use beverage bottles,PET,All,1,131.50841545286974
146,EU27+3,2020.0,single-use beverage bottles,PET,All,2,31.56201970868873
147,EU27+3,2020.0,single-use beverage bottles,PET,All,3,7.574884730085295
148,EU27+3,2020.0,single-use beverage bottles,PET,All,4,1.8179723352204706
149,EU27+3,2020.0,single-use beverage bottles,PET,All,5,0.4363133604529131
150,EU27+3,2020.0,single-use beverage bottles,PET,All,6,0.10471520650869914
151,EU27+3,2020.0,single-use beverage bottles,PET,All,7,0.025131649562087778
152,EU27+3,2020.0,reusable beverage bottles,PET,All,0,5.4278396189895
153,EU27+3,2020.0,reusable beverage bottles,PET,All,1,1.3026815085574794
154,EU27+3,2020.0,reusable beverage bottles,PET,All,2,0.3126435620537953
155,EU27+3,2020.0,reusable beverage bottles,PET,All,3,0.06347658838101178
156,EU27+3,2020.0,reusable beverage bottles,PET,All,4,0.03525295753071298
157,EU27+3,2020.0,single-use non-beverage bottles,PET,All,0,54.59751525559256
158,EU27+3,2020.0,single-use non-beverage bottles,PET,All,1,13.104004672771934
159,EU27+3,2020.0,single-use non-beverage bottles,PET,All,2,3.1449611214652635
160,EU27+3,2020.0,single-use non-beverage bottles,PET,All,3,0.754790669151663
161,EU27+3,2020.0,single-use non-beverage bottles,PET,All,4,0.18114976059639915
162,EU27+3,2020.0,single-use non-beverage bottles,PET,All,5,0.04347594254313578
163,EU27+3,2020.0,single-use non-beverage bottles,PET,All,6,0.010434226210352587
164,EU27+3,2020.0,single-use non-beverage bottles,PET,All,7,0.00250421429048462
165,EU27+3,2020.0,reusable non-beverage bottles,PET,All,0,0.6016349860421654
166,EU27+3,2020.0,reusable non-beverage bottles,PET,All,1,0.14439239665011966
167,EU27+3,2020.0,reusable non-beverage bottles,PET,All,2,0.034654175196028716
168,EU27+3,2020.0,reusable non-beverage bottles,PET,All,3,0.007430683374171751
169,EU27+3,2020.0,reusable non-beverage bottles,PET,All,4,0.0035127403719425842
170,EU27+3,2020.0,single-use sheet (tray),PET,All,0,140.95295295295296
171,EU27+3,2020.0,single-use sheet (tray),PET,All,1,62.21794739897263
172,EU27+3,2020.0,single-use sheet (tray),PET,All,2,27.37589685554796
173,EU27+3,2020.0,single-use sheet (tray),PET,All,3,12.045394616441103
174,EU27+3,2020.0,single-use sheet (tray),PET,All,4,5.299973631234085
175,EU27+3,2020.0,single-use sheet (tray),PET,All,5,2.3319883977429976
176,EU27+3,2020.0,single-use sheet (tray),PET,All,6,1.026074895006919
177,EU27+3,2020.0,single-use sheet (tray),PET,All,7,0.4514729538030442
178,EU27+3,2020.0,flexible packaging,PET,All,0,87.03703703703704
179,EU27+3,2020.0,other,PET,All,0,6.351351351351351
180,EU27+3,2020.25,single-use beverage bottles,PET,All,0,547.9265994040618
181,EU27+3,2020.25,single-use beverage bottles,PET,All,1,131.50696802965362
182,EU27+3,2020.25,single-use beverage bottles,PET,All,2,31.563119960594392
183,EU27+3,2020.25,single-use beverage bottles,PET,All,3,7.575148790542651
184,EU27+3,2020.25,single-use beverage bottles,PET,All,4,1.818035709730236
185,EU27+3,2020.25,single-use beverage bottles,PET,All,5,0.4363285703352566
186,EU27+3,2020.25,single-use beverage bottles,PET,All,6,0.10471885688046162
187,EU27+3,2020.25,single-use beverage bottles,PET,All,7,0.025132525651310796
188,EU27+3,2020.25,reusable beverage bottles,PET,All,0,2.90714493525845
189,EU27+3,2020.25,reusable beverage bottles,PET,All,1,0.6977147844620282
190,EU27+3,2020.25,reusable beverage bottles,PET,All,2,0.16745154827088649
191,EU27+3,2020.25,reusable beverage bottles,PET,All,3,0.04018837158501283
192,EU27+3,2020.25,reusable beverage bottles,PET,All,4,0.004230354903685556
193,EU27+3,2020.25,reusable beverage bottles,PET,All,5,0.008460709807371113
194,EU27+3,2020.25,single-use non-beverage bottles,PET,All,0,54.59751525559256
195,EU27+3,2020.25,single-use non-beverage bottles,PET,All,1,13.103860445951755
196,EU27+3,2020.25,single-use non-beverage bottles,PET,All,2,3.1450707547998547
197,EU27+3,2020.25,single-use non-beverage bottles,PET,All,3,0.754816981151965
198,EU27+3,2020.25,single-use non-beverage bottles,PET,All,4,0.18115607547647156
199,EU27+3,2020.25,single-use non-beverage bottles,PET,All,5,0.043477458114353176
200,EU27+3,2020.25,single-use non-beverage bottles,PET,All,6,0.01043458994744476
201,EU27+3,2020.25,single-use non-beverage bottles,PET,All,7,0.002504301587386742
202,EU27+3,2020.25,reusable non-beverage bottles,PET,All,0,0.4224487028612953
203,EU27+3,2020.25,reusable non-beverage bottles,PET,All,1,0.1013876886867109
204,EU27+3,2020.25,reusable non-beverage bottles,PET,All,2,0.024333045284810607
205,EU27+3,2020.25,reusable non-beverage bottles,PET,All,3,0.005839930868354546
206,EU27+3,2020.25,reusable non-beverage bottles,PET,All,4,0.0010011310060036372
207,EU27+3,2020.25,reusable non-beverage bottles,PET,All,5,0.0008430576892662202
208,EU27+3,2020.25,single-use sheet (tray),PET,All,0,140.95295295295296
209,EU27+3,2020.25,single-use sheet (tray),PET,All,1,62.13074212817547
210,EU27+3,2020.25,single-use sheet (tray),PET,All,2,27.42508875908562
211,EU27+3,2020.25,single-use sheet (tray),PET,All,3,12.067039053997675
212,EU27+3,2020.25,single-use sheet (tray),PET,All,4,5.309497183758977
213,EU27+3,2020.25,single-use sheet (tray),PET,All,5,2.33617876085395
214,EU27+3,2020.25,single-use sheet (tray),PET,All,6,1.0279186547757382
215,EU27+3,2020.25,single-use sheet (tray),PET,All,7,0.4522842081013247
216,EU27+3,2020.25,flexible packaging,PET,All,0,87.03703703703704
217,EU27+3,2020.25,other,PET,All,0,6.351351351351351
218,EU27+3,2020.5,single-use beverage bottles,PET,All,0,547.9265994040618
219,EU27+3,2020.5,single-use beverage bottles,PET,All,1,131.5069681894634
220,EU27+3,2020.5,single-use beverage bottles,PET,All,2,31.56277260526849
221,EU27+3,2020.5,single-use beverage bottles,PET,All,3,7.575412869410943
222,EU27+3,2020.5,single-use beverage bottles,PET,All,4,1.818099088658626
223,EU27+3,2020.5,single-use beverage bottles,PET,All,5,0.43634378127807016
224,EU27+3,2020.5,single-use beverage bottles,PET,All,6,0.10472250750673683
225,EU27+3,2020.5,single-use beverage bottles,PET,All,7,0.025133401801616845
226,EU27+3,2020.5,reusable beverage bottles,PET,All,0,2.7961081495367734
227,EU27+3,2020.5,reusable beverage bottles,PET,All,1,0.6710659558888254
228,EU27+3,2020.5,reusable beverage bottles,PET,All,2,0.1610558294133183
229,EU27+3,2020.5,reusable beverage bottles,PET,All,3,0.03865339905919629
230,EU27+3,2020.5,reusable beverage bottles,PET,All,4,0.00927681577420713
231,EU27+3,2020.5,reusable beverage bottles,PET,All,5,0.0008989504170331813
232,EU27+3,2020.5,reusable beverage bottles,PET,All,6,0.0020305703537690668
233,EU27+3,2020.5,single-use non-beverage bottles,PET,All,0,54.59751525559256
234,EU27+3,2020.5,single-use non-beverage bottles,PET,All,1,13.10386046187582
235,EU27+3,2020.5,single-use non-beverage bottles,PET,All,2,3.145036142978262
236,EU27+3,2020.5,single-use non-beverage bottles,PET,All,3,0.7548432949868034
237,EU27+3,2020.5,single-use non-beverage bottles,PET,All,4,0.18116239079683277
238,EU27+3,2020.5,single-use non-beverage bottles,PET,All,5,0.04347897379123986
239,EU27+3,2020.5,single-use non-beverage bottles,PET,All,6,0.010434953709897565
240,EU27+3,2020.5,single-use non-beverage bottles,PET,All,7,0.0025043888903754155
241,EU27+3,2020.5,reusable non-beverage bottles,PET,All,0,0.42798076920828837
242,EU27+3,2020.5,reusable non-beverage bottles,PET,All,1,0.10271538460998922
243,EU27+3,2020.5,reusable non-beverage bottles,PET,All,2,0.024651692306397417
244,EU27+3,2020.5,reusable non-beverage bottles,PET,All,3,0.00591640615353538
245,EU27+3,2020.5,reusable non-beverage bottles,PET,All,4,0.0014199374768484908
246,EU27+3,2020.5,reusable non-beverage bottles,PET,All,5,0.00024606746305457834
247,EU27+3,2020.5,reusable non-beverage bottles,PET,All,6,0.00020233384542389285
248,EU27+3,2020.5,single-use sheet (tray),PET,All,0,140.95295295295296
249,EU27+3,2020.5,single-use sheet (tray),PET,All,1,62.13094274090568
250,EU27+3,2020.5,single-use sheet (tray),PET,All,2,27.386737920305308
251,EU27+3,2020.5,single-use sheet (tray),PET,All,3,12.088761417603969
252,EU27+3,2020.5,single-use sheet (tray),PET,All,4,5.319055023745746
253,EU27+3,2020.5,single-use sheet (tray),PET,All,5,2.3403842104481285
254,EU27+3,2020.5,single-use sheet (tray),PET,All,6,1.0297690525971765
255,EU27+3,2020.5,single-use sheet (tray),PET,All,7,0.4530983831427578
256,EU27+3,2020.5,flexible packaging,PET,All,0,87.03703703703704
257,EU27+3,2020.5,other,PET,All,0,6.351351351351351
258,EU27+3,2020.75,single-use beverage bottles,PET,All,0,547.9265994040618
259,EU27+3,2020.75,single-use beverage bottles,PET,All,1,131.5069683492844
260,EU27+3,2020.75,single-use beverage bottles,PET,All,2,31.562772681982548
261,EU27+3,2020.75,single-use beverage bottles,PET,All,3,7.575329510432843
262,EU27+3,2020.75,single-use beverage bottles,PET,All,4,1.818162472006103
263,EU27+3,2020.75,single-use beverage bottles,PET,All,5,0.43635899328146455
264,EU27+3,2020.75,single-use beverage bottles,PET,All,6,0.10472615838755148
265,EU27+3,2020.75,single-use beverage bottles,PET,All,7,0.025134278013012348
266,EU27+3,2020.75,reusable beverage bottles,PET,All,0,2.685071363815097
267,EU27+3,2020.75,reusable beverage bottles,PET,All,1,0.6444171273156236
