,region,time,sector,polymer,element,mechanical_recycling_cycle,value
0,EU27+3,2018.0,single-use beverage bottles,PET,All,0,731.5815815815815
1,EU27+3,2018.0,single-use non-beverage bottles,PET,All,0,72.92292292292292
2,EU27+3,2018.0,single-use sheet (tray),PET,All,0,251.7017017017017
3,EU27+3,2018.0,flexible packaging,PET,All,0,87.03703703703704
4,EU27+3,2018.0,other,PET,All,0,31.75675675675676
5,EU27+3,2018.25,single-use beverage bottles,PET,All,0,556.002002002002
6,EU27+3,2018.25,single-use non-beverage bottles,PET,All,0,55.42142142142142
7,EU27+3,2018.25,single-use sheet (tray),PET,All,0,140.95295295295296
8,EU27+3,2018.25,flexible packaging,PET,All,0,87.03703703703704
9,EU27+3,2018.25,other,PET,All,0,6.351351351351351
10,EU27+3,2018.5,single-use beverage bottles,PET,All,0,556.002002002002
11,EU27+3,2018.5,single-use non-beverage bottles,PET,All,0,55.42142142142142
12,EU27+3,2018.5,single-use sheet (tray),PET,All,0,140.95295295295296
13,EU27+3,2018.5,flexible packaging,PET,All,0,87.03703703703704
14,EU27+3,2018.5,other,PET,All,0,6.351351351351351
15,EU27+3,2018.75,single-use beverage bottles,PET,All,0,556.002002002002
16,EU27+3,2018.75,single-use non-beverage bottles,PET,All,0,55.42142142142142
17,EU27+3,2018.75,single-use sheet (tray),PET,All,0,140.95295295295296
18,EU27+3,2018.75,flexible packaging,PET,All,0,87.03703703703704
19,EU27+3,2018.75,other,PET,All,0,6.351351351351351
20,EU27+3,2019.0,single-use beverage bottles,PET,All,0,575.4340161862913
21,EU27+3,2019.0,reusable beverage bottles,PET,All,0,4.227645475370284
22,EU27+3,2019.0,single-use non-beverage bottles,PET,All,0,57.34837276300692
23,EU27+3,2019.0,reusable non-beverage bottles,PET,All,0,0.4213316936635254
24,EU27+3,2019.0,single-use sheet (tray),PET,All,0,146.95095095095098
25,EU27+3,2019.0,flexible packaging,PET,All,0,90.74074074074072
26,EU27+3,2019.0,other,PET,All,0,6.621621621621621
27,EU27+3,2019.25,single-use beverage bottles,PET,All,0,575.4340161862913
28,EU27+3,2019.25,reusable beverage bottles,PET,All,0,1.7544728722786682
29,EU27+3,2019.25,single-use non-beverage bottles,PET,All,0,57.34837276300692
30,EU27+3,2019.25,reusable non-beverage bottles,PET,All,0,0.20961251759760385
31,EU27+3,2019.25,single-use sheet (tray),PET,All,0,146.95095095095098
32,EU27+3,2019.25,flexible packaging,PET,All,0,90.74074074074072
33,EU27+3,2019.25,other,PET,All,0,6.621621621621621
34,EU27+3,2019.5,single-use beverage bottles,PET,All,0,575.4340161862913
35,EU27+3,2019.5,reusable beverage bottles,PET,All,0,1.6963427469923267
36,EU27+3,2019.5,single-use non-beverage bottles,PET,All,0,57.34837276300692
37,EU27+3,2019.5,reusable non-beverage bottles,PET,All,0,0.21250917299154062
38,EU27+3,2019.5,single-use sheet (tray),PET,All,0,146.95095095095098
39,EU27+3,2019.5,flexible packaging,PET,All,0,90.74074074074072
40,EU27+3,2019.5,other,PET,All,0,6.621621621621621
41,EU27+3,2019.75,single-use beverage bottles,PET,All,0,575.4340161862913
42,EU27+3,2019.75,reusable beverage bottles,PET,All,0,1.6382126217059851
43,EU27+3,2019.75,single-use non-beverage bottles,PET,All,0,57.34837276300692
44,EU27+3,2019.75,reusable non-beverage bottles,PET,All,0,0.21540582838547734
45,EU27+3,2019.75,single-use sheet (tray),PET,All,0,146.95095095095098
46,EU27+3,2019.75,flexible packaging,PET,All,0,90.74074074074072
47,EU27+3,2019.75,other,PET,All,0,6.621621621621621
48,EU27+3,2020.0,single-use beverage bottles,PET,All,0,547.9265994040618
49,EU27+3,2020.0,reusable beverage bottles,PET,All,0,5.4278396189895
50,EU27+3,2020.0,single-use non-beverage bottles,PET,All,0,54.59751525559256
51,EU27+3,2020.0,reusable non-beverage bottles,PET,All,0,0.6016349860421654
52,EU27+3,2020.0,single-use sheet (tray),PET,All,0,140.95295295295296
53,EU27+3,2020.0,flexible packaging,PET,All,0,87.03703703703704
54,EU27+3,2020.0,other,PET,All,0,6.351351351351351
55,EU27+3,2020.25,single-use beverage bottles,PET,All,0,547.9265994040618
56,EU27+3,2020.25,reusable beverage bottles,PET,All,0,2.90714493525845
57,EU27+3,2020.25,single-use non-beverage bottles,PET,All,0,54.59751525559256
58,EU27+3,2020.25,reusable non-beverage bottles,PET,All,0,0.4224487028612953
59,EU27+3,2020.25,single-use sheet (tray),PET,All,0,140.95295295295296
60,EU27+3,2020.25,flexible packaging,PET,All,0,87.03703703703704
61,EU27+3,2020.25,other,PET,All,0,6.351351351351351
62,EU27+3,2020.5,single-use beverage bottles,PET,All,0,547.9265994040618
63,EU27+3,2020.5,reusable beverage bottles,PET,All,0,2.7961081495367734
64,EU27+3,2020.5,single-use non-beverage bottles,PET,All,0,54.59751525559256
65,EU27+3,2020.5,reusable non-beverage bottles,PET,All,0,0.42798076920828837
66,EU27+3,2020.5,single-use sheet (tray),PET,All,0,140.95295295295296
67,EU27+3,2020.5,flexible packaging,PET,All,0,87.03703703703704
68,EU27+3,2020.5,other,PET,All,0,6.351351351351351
69,EU27+3,2020.75,single-use beverage bottles,PET,All,0,547.9265994040618
70,EU27+3,2020.75,reusable beverage bottles,PET,All,0,2.685071363815097
71,EU27+3,2020.75,single-use non-beverage bottles,PET,All,0,54.59751525559256
72,EU27+3,2020.75,reusable non-beverage bottles,PET,All,0,0.4335128355552816
73,EU27+3,2020.75,single-use sheet (tray),PET,All,0,140.95295295295296
74,EU27+3,2020.75,flexible packaging,PET,All,0,87.03703703703704
75,EU27+3,2020.75,other,PET,All,0,6.351351351351351
76,EU27+3,2021.0,single-use beverage bottles,PET,All,0,567.0870234785173
77,EU27+3,2021.0,reusable beverage bottles,PET,All,0,7.073270163297659
78,EU27+3,2021.0,single-use non-beverage bottles,PET,All,0,56.49705156562582
79,EU27+3,2021.0,reusable non-beverage bottles,PET,All,0,0.8871513609883648
80,EU27+3,2021.0,single-use sheet (tray),PET,All,0,146.95095095095098
81,EU27+3,2021.0,flexible packaging,PET,All,0,90.74074074074072
82,EU27+3,2021.0,other,PET,All,0,6.621621621621621
83,EU27+3,2021.25,single-use beverage bottles,PET,All,0,567.0870234785173
84,EU27+3,2021.25,reusable beverage bottles,PET,All,0,3.8352646458590343
85,EU27+3,2021.25,single-use non-beverage bottles,PET,All,0,56.49705156562582
86,EU27+3,2021.25,reusable non-beverage bottles,PET,All,0,0.6921557868943327
87,EU27+3,2021.25,single-use sheet (tray),PET,All,0,146.95095095095098
88,EU27+3,2021.25,flexible packaging,PET,All,0,90.74074074074072
89,EU27+3,2021.25,other,PET,All,0,6.621621621621621
90,EU27+3,2021.5,single-use beverage bottles,PET,All,0,567.0870234785173
91,EU27+3,2021.5,reusable beverage bottles,PET,All,0,3.6623633708408025
92,EU27+3,2021.5,single-use non-beverage bottles,PET,All,0,56.49705156562582
93,EU27+3,2021.5,reusable non-beverage bottles,PET,All,0,0.7007685851475427
94,EU27+3,2021.5,single-use sheet (tray),PET,All,0,146.95095095095098
95,EU27+3,2021.5,flexible packaging,PET,All,0,90.74074074074072
96,EU27+3,2021.5,other,PET,All,0,6.621621621621621
97,EU27+3,2021.75,single-use beverage bottles,PET,All,0,567.0870234785173
98,EU27+3,2021.75,reusable beverage bottles,PET,All,0,3.4894620958225637
99,EU27+3,2021.75,single-use non-beverage bottles,PET,All,0,56.49705156562582
100,EU27+3,2021.75,reusable non-beverage bottles,PET,All,0,0.7093813834007526
101,EU27+3,2021.75,single-use sheet (tray),PET,All,0,146.95095095095098
102,EU27+3,2021.75,flexible packaging,PET,All,0,90.74074074074072
103,EU27+3,2021.75,other,PET,All,0,6.621621621621621
104,EU27+3,2022.0,single-use beverage bottles,PET,All,0,573.881417015202
105,EU27+3,2022.0,reusable beverage bottles,PET,All,0,7.76050562245797
106,EU27+3,2022.0,single-use non-beverage bottles,PET,All,0,57.16424361493124
107,EU27+3,2022.0,reusable non-beverage bottles,PET,All,0,1.1604420768149095
108,EU27+3,2022.0,single-use sheet (tray),PET,All,0,149.8
109,EU27+3,2022.0,flexible packaging,PET,All,0,92.5
110,EU27+3,2022.0,other,PET,All,0,6.749999999999998
111,EU27+3,2022.25,single-use beverage bottles,PET,All,0,573.2521610754924
112,EU27+3,2022.25,reusable beverage bottles,PET,All,0,4.235985019242488
113,EU27+3,2022.25,single-use non-beverage bottles,PET,All,0,57.101563523248196
114,EU27+3,2022.25,reusable non-beverage bottles,PET,All,0,0.9813679668305948
115,EU27+3,2022.25,single-use sheet (tray),PET,All,0,149.0197916666667
116,EU27+3,2022.25,flexible packaging,PET,All,0,92.5
117,EU27+3,2022.25,other,PET,All,0,6.749999999999998
118,EU27+3,2022.5,single-use beverage bottles,PET,All,0,572.6229051357827
119,EU27+3,2022.5,reusable beverage bottles,PET,All,0,4.202986633740165
120,EU27+3,2022.5,single-use non-beverage bottles,PET,All,0,57.03888343156516
121,EU27+3,2022.5,reusable non-beverage bottles,PET,All,0,0.9746453347876927
122,EU27+3,2022.5,single-use sheet (tray),PET,All,0,148.23958333333334
123,EU27+3,2022.5,flexible packaging,PET,All,0,92.5
124,EU27+3,2022.5,other,PET,All,0,6.749999999999998
125,EU27+3,2022.75,single-use beverage bottles,PET,All,0,571.9936491960732
126,EU27+3,2022.75,reusable beverage bottles,PET,All,0,4.170050450661037
127,EU27+3,2022.75,single-use non-beverage bottles,PET,All,0,56.976203339882126
128,EU27+3,2022.75,reusable non-beverage bottles,PET,All,0,0.9679350946932569
129,EU27+3,2022.75,single-use sheet (tray),PET,All,0,147.459375
130,EU27+3,2022.75,flexible packaging,PET,All,0,92.5
131,EU27+3,2022.75,other,PET,All,0,6.749999999999998
132,EU27+3,2023.0,single-use beverage bottles,PET,All,0,549.2535888118142
133,EU27+3,2023.0,reusable beverage bottles,PET,All,0,18.763856242073633
134,EU27+3,2023.0,single-use non-beverage bottles,PET,All,0,55.77686931739113
135,EU27+3,2023.0,reusable non-beverage bottles,PET,All,0,2.4794599316100894
136,EU27+3,2023.0,single-use sheet (tray),PET,All,0,144.4596702294922
137,EU27+3,2023.0,reusable sheet (tray),PET,All,0,2.271378462727841
138,EU27+3,2023.0,flexible packaging,PET,All,0,93.425
139,EU27+3,2023.0,other,PET,All,0,6.817499999999998
140,EU27+3,2023.25,single-use beverage bottles,PET,All,0,548.648683978321
141,EU27+3,2023.25,reusable beverage bottles,PET,All,0,7.647414758145942
142,EU27+3,2023.25,single-use non-beverage bottles,PET,All,0,55.71544104721779
143,EU27+3,2023.25,reusable non-beverage bottles,PET,All,0,1.8132059271367709
144,EU27+3,2023.25,single-use sheet (tray),PET,All,0,143.6912677282715
145,EU27+3,2023.25,reusable sheet (tray),PET,All,0,1.9564462006971368
146,EU27+3,2023.25,flexible packaging,PET,All,0,93.425
147,EU27+3,2023.25,other,PET,All,0,6.817499999999998
148,EU27+3,2023.5,single-use beverage bottles,PET,All,0,548.0437791448278
149,EU27+3,2023.5,reusable beverage bottles,PET,All,0,7.586394452160199
150,EU27+3,2023.5,single-use non-beverage bottles,PET,All,0,55.65401277704445
151,EU27+3,2023.5,reusable non-beverage bottles,PET,All,0,1.8005301983069228
152,EU27+3,2023.5,single-use sheet (tray),PET,All,0,142.92286522705078
153,EU27+3,2023.5,reusable sheet (tray),PET,All,0,1.898906626608087
154,EU27+3,2023.5,flexible packaging,PET,All,0,93.425
155,EU27+3,2023.5,other,PET,All,0,6.817499999999998
156,EU27+3,2023.75,single-use beverage bottles,PET,All,0,547.4388743113345
157,EU27+3,2023.75,reusable beverage bottles,PET,All,0,7.525490044191507
158,EU27+3,2023.75,single-use non-beverage bottles,PET,All,0,55.59258450687111
159,EU27+3,2023.75,reusable non-beverage bottles,PET,All,0,1.787878008434977
160,EU27+3,2023.75,single-use sheet (tray),PET,All,0,142.15446272583006
161,EU27+3,2023.75,reusable sheet (tray),PET,All,0,1.8418704608662733
162,EU27+3,2023.75,flexible packaging,PET,All,0,93.425
163,EU27+3,2023.75,other,PET,All,0,6.817499999999998
164,EU27+3,2024.0,single-use beverage bottles,PET,All,0,524.807963270754
165,EU27+3,2024.0,reusable beverage bottles,PET,All,0,21.13342912472338
166,EU27+3,2024.0,single-use non-beverage bottles,PET,All,0,54.39534318406188
167,EU27+3,2024.0,reusable non-beverage bottles,PET,All,0,3.2579235063087744
168,EU27+3,2024.0,single-use sheet (tray),PET,All,0,139.19030859908855
169,EU27+3,2024.0,reusable sheet (tray),PET,All,0,3.967043043315448
170,EU27+3,2024.0,flexible packaging,PET,All,0,94.35925
171,EU27+3,2024.0,other,PET,All,0,6.885674999999999
172,EU27+3,2024.25,single-use beverage bottles,PET,All,0,524.2274234883748
173,EU27+3,2024.25,reusable beverage bottles,PET,All,0,10.626142935859932
174,EU27+3,2024.25,single-use non-beverage bottles,PET,All,0,54.3351713442565
175,EU27+3,2024.25,reusable non-beverage bottles,PET,All,0,2.5814171709036056
176,EU27+3,2024.25,single-use sheet (tray),PET,All,0,138.43383953061524
177,EU27+3,2024.25,reusable sheet (tray),PET,All,0,3.4264537763970107
178,EU27+3,2024.25,flexible packaging,PET,All,0,94.35925
179,EU27+3,2024.25,other,PET,All,0,6.885674999999999
180,EU27+3,2024.5,single-use beverage bottles,PET,All,0,523.6468837059957
181,EU27+3,2024.5,reusable beverage bottles,PET,All,0,10.538198980995666
182,EU27+3,2024.5,single-use non-beverage bottles,PET,All,0,54.27499950445113
183,EU27+3,2024.5,reusable non-beverage bottles,PET,All,0,2.562991268755039
184,EU27+3,2024.5,single-use sheet (tray),PET,All,0,137.67737046214197
185,EU27+3,2024.5,reusable sheet (tray),PET,All,0,3.3164346067601382
186,EU27+3,2024.5,flexible packaging,PET,All,0,94.35925
187,EU27+3,2024.5,other,PET,All,0,6.885674999999999
188,EU27+3,2024.75,single-use beverage bottles,PET,All,0,523.0663439236166
189,EU27+3,2024.75,reusable beverage bottles,PET,All,0,10.451771455049908
190,EU27+3,2024.75,single-use non-beverage bottles,PET,All,0,54.21482766464575
191,EU27+3,2024.75,reusable non-beverage bottles,PET,All,0,2.544599851545934
192,EU27+3,2024.75,single-use sheet (tray),PET,All,0,136.92090139366866
193,EU27+3,2024.75,reusable sheet (tray),PET,All,0,3.2074128910637607
194,EU27+3,2024.75,flexible packaging,PET,All,0,94.35925
195,EU27+3,2024.75,other,PET,All,0,6.885674999999999
196,EU27+3,2025.0,single-use beverage bottles,PET,All,0,500.5514723475822
197,EU27+3,2025.0,reusable beverage bottles,PET,All,0,23.05320306672283
198,EU27+3,2025.0,single-use non-beverage bottles,PET,All,0,53.01999048595974
199,EU27+3,2025.0,reusable non-beverage bottles,PET,All,0,3.972312161506546
200,EU27+3,2025.0,single-use sheet (tray),PET,All,0,133.9935352254126
201,EU27+3,2025.0,reusable sheet (tray),PET,All,0,5.191352664897531
202,EU27+3,2025.0,flexible packaging,PET,All,0,95.3028425
203,EU27+3,2025.0,other,PET,All,0,6.954531749999998
204,EU27+3,2025.25,single-use beverage bottles,PET,All,0,498.88296743975695
205,EU27+3,2025.25,reusable beverage bottles,PET,All,0,13.06099799313678
206,EU27+3,2025.25,single-use non-beverage bottles,PET,All,0,52.843257184339876
207,EU27+3,2025.25,reusable non-beverage bottles,PET,All,0,3.2736356785338563
208,EU27+3,2025.25,single-use sheet (tray),PET,All,0,133.2916643266128
209,EU27+3,2025.25,reusable sheet (tray),PET,All,0,4.447146676384849
210,EU27+3,2025.25,flexible packaging,PET,All,0,95.3028425
211,EU27+3,2025.25,other,PET,All,0,6.954531749999998
212,EU27+3,2025.5,single-use beverage bottles,PET,All,0,497.21446253193164
213,EU27+3,2025.5,reusable beverage bottles,PET,All,0,12.64109733534142
214,EU27+3,2025.5,single-use non-beverage bottles,PET,All,0,52.66652388272001
215,EU27+3,2025.5,reusable non-beverage bottles,PET,All,0,3.24137714336383
216,EU27+3,2025.5,single-use sheet (tray),PET,All,0,132.58979342781305
217,EU27+3,2025.5,reusable sheet (tray),PET,All,0,4.410941598782314
218,EU27+3,2025.5,flexible packaging,PET,All,0,95.3028425
219,EU27+3,2025.5,other,PET,All,0,6.954531749999998
220,EU27+3,2025.75,single-use beverage bottles,PET,All,0,495.54595762410634
221,EU27+3,2025.75,reusable beverage bottles,PET,All,0,12.22711882171486
222,EU27+3,2025.75,single-use non-beverage bottles,PET,All,0,52.48979058110014
223,EU27+3,2025.75,reusable non-beverage bottles,PET,All,0,3.209260947778501
224,EU27+3,2025.75,single-use sheet (tray),PET,All,0,131.88792252901325
225,EU27+3,2025.75,reusable sheet (tray),PET,All,0,4.374870636638147
226,EU27+3,2025.75,flexible packaging,PET,All,0,95.3028425
227,EU27+3,2025.75,other,PET,All,0,6.954531749999998
228,EU27+3,2026.0,single-use beverage bottles,PET,All,0,472.2367267784257
229,EU27+3,2026.0,reusable beverage bottles,PET,All,0,23.39459705418627
230,EU27+3,2026.0,single-use non-beverage bottles,PET,All,0,51.18996898316325
231,EU27+3,2026.0,reusable non-beverage bottles,PET,All,0,4.573108508732254
232,EU27+3,2026.0,single-use sheet (tray),PET,All,0,129.03833448512052
233,EU27+3,2026.0,reusable sheet (tray),PET,All,0,6.34377229780346
234,EU27+3,2026.0,flexible packaging,PET,All,0,96.255870925
235,EU27+3,2026.0,other,PET,All,0,7.024077067499998
236,EU27+3,2026.25,single-use beverage bottles,PET,All,0,470.6413324312013
237,EU27+3,2026.25,reusable beverage bottles,PET,All,0,13.742388612318067
238,EU27+3,2026.25,single-use non-beverage bottles,PET,All,0,51.017029898760676
239,EU27+3,2026.25,reusable non-beverage bottles,PET,All,0,3.8749420281172178
240,EU27+3,2026.25,single-use sheet (tray),PET,All,0,128.34795429089078
241,EU27+3,2026.25,reusable sheet (tray),PET,All,0,5.679753030094485
242,EU27+3,2026.25,flexible packaging,PET,All,0,96.255870925
243,EU27+3,2026.25,other,PET,All,0,7.024077067499998
244,EU27+3,2026.5,single-use beverage bottles,PET,All,0,469.04593808397686
245,EU27+3,2026.5,reusable beverage bottles,PET,All,0,13.24468450761671
246,EU27+3,2026.5,single-use non-beverage bottles,PET,All,0,50.84409081435809
247,EU27+3,2026.5,reusable non-beverage bottles,PET,All,0,3.835903539543819
248,EU27+3,2026.5,single-use sheet (tray),PET,All,0,127.65757409666105
249,EU27+3,2026.5,reusable sheet (tray),PET,All,0,5.632673606825973
250,EU27+3,2026.5,flexible packaging,PET,All,0,96.255870925
251,EU27+3,2026.5,other,PET,All,0,7.024077067499998
252,EU27+3,2026.75,single-use beverage bottles,PET,All,0,467.4505437367524
253,EU27+3,2026.75,reusable beverage bottles,PET,All,0,12.758579306088834
254,EU27+3,2026.75,single-use non-beverage bottles,PET,All,0,50.67115172995551
255,EU27+3,2026.75,reusable non-beverage bottles,PET,All,0,3.7970404014378323
256,EU27+3,2026.75,single-use sheet (tray),PET,All,0,126.96719390243133
257,EU27+3,2026.75,reusable sheet (tray),PET,All,0,5.585771204120089
258,EU27+3,2026.75,flexible packaging,PET,All,0,96.255870925
259,EU27+3,2026.75,other,PET,All,0,7.024077067499998
260,EU27+3,2027.0,single-use beverage bottles,PET,All,0,444.51494563302606
261,EU27+3,2027.0,reusable beverage bottles,PET,All,0,22.739522414446647
262,EU27+3,2027.0,single-use non-beverage bottles,PET,All,0,49.38707630505015
263,EU27+3,2027.0,reusable non-beverage bottles,PET,All,0,5.103428968276975
264,EU27+3,2027.0,single-use sheet (tray),PET,All,0,124.15333082002553
265,EU27+3,2027.0,reusable sheet (tray),PET,All,0,7.456743665290997
266,EU27+3,2027.0,flexible packaging,PET,All,0,97.21842963425
267,EU27+3,2027.0,other,PET,All,0,7.094317838174997
268,EU27+3,2027.25,single-use beverage bottles,PET,All,0,442.9926341753787
269,EU27+3,2027.25,reusable beverage bottles,PET,All,0,13.642681466858178
270,EU27+3,2027.25,single-use non-beverage bottles,PET,All,0,49.21794248208766
271,EU27+3,2027.25,reusable non-beverage bottles,PET,All,0,4.4039128513901655
272,EU27+3,2027.25,single-use sheet (tray),PET,All,0,123.47456012468741
273,EU27+3,2027.25,reusable sheet (tray),PET,All,0,6.793718353674142
274,EU27+3,2027.25,flexible packaging,PET,All,0,97.21842963425
275,EU27+3,2027.25,other,PET,All,0,7.094317838174997
276,EU27+3,2027.5,single-use beverage bottles,PET,All,0,441.47032271773134
277,EU27+3,2027.5,reusable beverage bottles,PET,All,0,13.075847082179578
278,EU27+3,2027.5,single-use non-beverage bottles,PET,All,0,49.04880865912515
279,EU27+3,2027.5,reusable non-beverage bottles,PET,All,0,4.358525598390343
280,EU27+3,2027.5,single-use sheet (tray),PET,All,0,122.79578942934933
