,region,time,sector,polymer,element,mechanical_recycling_cycle,reuse_cycle,value
0,EU27+3,2019.25,reusable beverage bottles,PET,All,0,1,2.473172603091616
1,EU27+3,2019.25,reusable non-beverage bottles,PET,All,0,1,0.21171917606592155
2,EU27+3,2019.5,reusable beverage bottles,PET,All,0,1,1.0504906322768526
3,EU27+3,2019.5,reusable beverage bottles,PET,All,0,2,1.480812096101105
4,EU27+3,2019.5,reusable beverage bottles,PET,All,1,1,0.7993587563298813
5,EU27+3,2019.5,reusable non-beverage bottles,PET,All,0,1,0.10388920403431241
6,EU27+3,2019.5,reusable non-beverage bottles,PET,All,0,2,0.10493331663767237
7,EU27+3,2019.5,reusable non-beverage bottles,PET,All,1,1,0.06594395389641623
8,EU27+3,2019.75,reusable beverage bottles,PET,All,0,1,1.0390099325328002
9,EU27+3,2019.75,reusable beverage bottles,PET,All,0,2,0.6434255122695722
10,EU27+3,2019.75,reusable beverage bottles,PET,All,0,3,0.9069974088619269
11,EU27+3,2019.75,reusable beverage bottles,PET,All,1,1,0.13185664662737934
12,EU27+3,2019.75,reusable beverage bottles,PET,All,1,2,0.4896072382520523
13,EU27+3,2019.75,reusable beverage bottles,PET,All,2,1,0.19625175311982057
14,EU27+3,2019.75,reusable non-beverage bottles,PET,All,0,1,0.10386385829961549
15,EU27+3,2019.75,reusable non-beverage bottles,PET,All,0,2,0.05077584847177019
16,EU27+3,2019.75,reusable non-beverage bottles,PET,All,0,3,0.05128615850666238
17,EU27+3,2019.75,reusable non-beverage bottles,PET,All,1,1,0.017192100199858094
18,EU27+3,2019.75,reusable non-beverage bottles,PET,All,1,2,0.03223010746687344
19,EU27+3,2019.75,reusable non-beverage bottles,PET,All,2,1,0.015607012947388907
20,EU27+3,2020.0,reusable beverage bottles,PET,All,0,1,1.025930654343373
21,EU27+3,2020.0,reusable beverage bottles,PET,All,0,2,0.6506799702486661
22,EU27+3,2020.0,reusable beverage bottles,PET,All,0,3,0.4029452270588196
23,EU27+3,2020.0,reusable beverage bottles,PET,All,0,4,0.5680071272997818
24,EU27+3,2020.0,reusable beverage bottles,PET,All,1,1,0.2462233570424098
25,EU27+3,2020.0,reusable beverage bottles,PET,All,1,2,0.0825752249503963
26,EU27+3,2020.0,reusable beverage bottles,PET,All,1,3,0.30661653295534774
27,EU27+3,2020.0,reusable beverage bottles,PET,All,2,1,0.029596967196269232
28,EU27+3,2020.0,reusable beverage bottles,PET,All,2,2,0.12290266039128762
29,EU27+3,2020.0,reusable beverage bottles,PET,All,3,1,0.04815777713291269
30,EU27+3,2020.0,reusable non-beverage bottles,PET,All,0,1,0.10379868355325189
31,EU27+3,2020.0,reusable non-beverage bottles,PET,All,0,2,0.05004939671812721
32,EU27+3,2020.0,reusable non-beverage bottles,PET,All,0,3,0.02446761198233426
33,EU27+3,2020.0,reusable non-beverage bottles,PET,All,0,4,0.024713517630397933
34,EU27+3,2020.0,reusable non-beverage bottles,PET,All,1,1,0.024911684052780454
35,EU27+3,2020.0,reusable non-beverage bottles,PET,All,1,2,0.00828444328380662
36,EU27+3,2020.0,reusable non-beverage bottles,PET,All,1,3,0.015530883035599637
37,EU27+3,2020.0,reusable non-beverage bottles,PET,All,2,1,0.004173853125301784
38,EU27+3,2020.0,reusable non-beverage bottles,PET,All,2,2,0.00752062936402303
39,EU27+3,2020.0,reusable non-beverage bottles,PET,All,3,1,0.003692994470313099
40,EU27+3,2020.25,reusable beverage bottles,PET,All,0,1,3.47381735615328
41,EU27+3,2020.25,reusable beverage bottles,PET,All,0,2,0.6565956187797588
42,EU27+3,2020.25,reusable beverage bottles,PET,All,0,3,0.4164351809591463
43,EU27+3,2020.25,reusable beverage bottles,PET,All,0,4,0.25788494531764455
44,EU27+3,2020.25,reusable beverage bottles,PET,All,0,5,0.36352456147186035
45,EU27+3,2020.25,reusable beverage bottles,PET,All,1,1,0.8337161654767868
46,EU27+3,2020.25,reusable beverage bottles,PET,All,1,2,0.15758294850714227
