region,sector,polymer,value
East,Agriculture,"PE-LD, -LLD",3.0
East,Agriculture,"PE-HD, -MD",3.0
East,Agriculture,PP,3.0
East,Agriculture,PS,3.0
East,Agriculture,PS-E,3.0
East,Agriculture,PVC,3.0
East,Agriculture,PET,3.0
East,Agriculture,"ABS, SAN",3.0
East,Agriculture,PMMA,3.0
East,Agriculture,"PA (PA6, PA66)",3.0
East,Agriculture,PC,3.0
East,Agriculture,Other Thermoplastics,3.0
East,Agriculture,PUR,3.0
East,Agriculture,Other Plastics,3.0
East,Automotive,"PE-LD, -LLD",24.0
East,Automotive,"PE-HD, -MD",24.0
East,Automotive,PP,24.0
East,Automotive,PS,24.0
East,Automotive,PS-E,24.0
East,Automotive,PVC,24.0
East,Automotive,PET,24.0
East,Automotive,"ABS, SAN",24.0
East,Automotive,PMMA,24.0
East,Automotive,"PA (PA6, PA66)",24.0
East,Automotive,PC,24.0
East,Automotive,Other Thermoplastics,24.0
East,Automotive,PUR,24.0
East,Automotive,Other Plastics,24.0
East,Building and Construction,"PE-LD, -LLD",47.0
East,Building and Construction,"PE-HD, -MD",47.0
East,Building and Construction,PP,47.0
East,Building and Construction,PS,47.0
East,Building and Construction,PS-E,47.0
East,Building and Construction,PVC,47.0
East,Building and Construction,PET,47.0
East,Building and Construction,"ABS, SAN",47.0
East,Building and Construction,PMMA,47.0
East,Building and Construction,"PA (PA6, PA66)",47.0
East,Building and Construction,PC,47.0
East,Building and Construction,Other Thermoplastics,47.0
East,Building and Construction,PUR,47.0
East,Building and Construction,Other Plastics,47.0
East,Commercial & industrial packaging,"PE-LD, -LLD",0.2
East,Commercial & industrial packaging,"PE-HD, -MD",0.2
East,Commercial & industrial packaging,PP,0.2
East,Commercial & industrial packaging,PS,0.2
East,Commercial & industrial packaging,PS-E,0.2
East,Commercial & industrial packaging,PVC,0.2
East,Commercial & industrial packaging,PET,0.2
East,Commercial & industrial packaging,"ABS, SAN",0.2
East,Commercial & industrial packaging,PMMA,0.2
East,Commercial & industrial packaging,"PA (PA6, PA66)",0.2
East,Commercial & industrial packaging,PC,0.2
East,Commercial & industrial packaging,Other Thermoplastics,0.2
East,Commercial & industrial packaging,PUR,0.2
East,Commercial & industrial packaging,Other Plastics,0.2
East,Electrical and Electronics,"PE-LD, -LLD",18.3
East,Electrical and Electronics,"PE-HD, -MD",18.3
East,Electrical and Electronics,PP,18.3
East,Electrical and Electronics,PS,18.3
East,Electrical and Electronics,PS-E,18.3
East,Electrical and Electronics,PVC,18.3
East,Electrical and Electronics,PET,18.3
East,Electrical and Electronics,"ABS, SAN",18.3
East,Electrical and Electronics,PMMA,18.3
East,Electrical and Electronics,"PA (PA6, PA66)",18.3
East,Electrical and Electronics,PC,18.3
East,Electrical and Electronics,Other Thermoplastics,18.3
East,Electrical and Electronics,PUR,18.3
East,Electrical and Electronics,Other Plastics,18.3
East,EPS ETICS,"PE-LD, -LLD",65.0
East,EPS ETICS,"PE-HD, -MD",65.0
East,EPS ETICS,PP,65.0
East,EPS ETICS,PS,65.0
East,EPS ETICS,PS-E,65.0
East,EPS ETICS,PVC,65.0
East,EPS ETICS,PET,65.0
East,EPS ETICS,"ABS, SAN",65.0
East,EPS ETICS,PMMA,65.0
East,EPS ETICS,"PA (PA6, PA66)",65.0
East,EPS ETICS,PC,65.0
East,EPS ETICS,Other Thermoplastics,65.0
East,EPS ETICS,PUR,65.0
East,EPS ETICS,Other Plastics,65.0
East,EPS flat roof,"PE-LD, -LLD",35.0
East,EPS flat roof,"PE-HD, -MD",35.0
East,EPS flat roof,PP,35.0
East,EPS flat roof,PS,35.0
East,EPS flat roof,PS-E,35.0
East,EPS flat roof,PVC,35.0
East,EPS flat roof,PET,35.0
East,EPS flat roof,"ABS, SAN",35.0
East,EPS flat roof,PMMA,35.0
East,EPS flat roof,"PA (PA6, PA66)",35.0
East,EPS flat roof,PC,35.0
East,EPS flat roof,Other Thermoplastics,35.0
East,EPS flat roof,PUR,35.0
East,EPS flat roof,Other Plastics,35.0
East,EPS flooring,"PE-LD, -LLD",75.0
East,EPS flooring,"PE-HD, -MD",75.0
East,EPS flooring,PP,75.0
East,EPS flooring,PS,75.0
East,EPS flooring,PS-E,75.0
East,EPS flooring,PVC,75.0
East,EPS flooring,PET,75.0
East,EPS flooring,"ABS, SAN",75.0
East,EPS flooring,PMMA,75.0
East,EPS flooring,"PA (PA6, PA66)",75.0
East,EPS flooring,PC,75.0
East,EPS flooring,Other Thermoplastics,75.0
East,EPS flooring,PUR,75.0
East,EPS flooring,Other Plastics,75.0
