region,time,sector,polymer,waste_category,secondary_raw_material,value
Germany,2020,Packaging,"PE-LD, -LLD",Mechanical recycling,Granulate,0.4
Germany,2025,Packaging,"PE-LD, -LLD",Mechanical recycling,Granulate,0.4
Germany,2030,Packaging,"PE-LD, -LLD",Mechanical recycling,Granulate,0.4
Germany,2035,Packaging,"PE-LD, -LLD",Mechanical recycling,Granulate,0.4
Germany,2040,Packaging,"PE-LD, -LLD",Mechanical recycling,Granulate,0.4
Germany,2045,Packaging,"PE-LD, -LLD",Mechanical recycling,Granulate,0.4
Germany,2050,Packaging,"PE-LD, -LLD",Mechanical recycling,Granulate,0.4
Germany,2020,Packaging,"PE-HD, -MD",Mechanical recycling,Granulate,0.4
Germany,2025,Packaging,"PE-HD, -MD",Mechanical recycling,Granulate,0.4
Germany,2030,Packaging,"PE-HD, -MD",Mechanical recycling,Granulate,0.4
Germany,2035,Packaging,"PE-HD, -MD",Mechanical recycling,Granulate,0.4
Germany,2040,Packaging,"PE-HD, -MD",Mechanical recycling,Granulate,0.4
Germany,2045,Packaging,"PE-HD, -MD",Mechanical recycling,Granulate,0.4
Germany,2050,Packaging,"PE-HD, -MD",Mechanical recycling,Granulate,0.4
Germany,2020,Packaging,PP,Mechanical recycling,Granulate,0.7
Germany,2025,Packaging,PP,Mechanical recycling,Granulate,0.7
Germany,2030,Packaging,PP,Mechanical recycling,Granulate,0.7
Germany,2035,Packaging,PP,Mechanical recycling,Granulate,0.7
Germany,2040,Packaging,PP,Mechanical recycling,Granulate,0.7
Germany,2045,Packaging,PP,Mechanical recycling,Granulate,0.7
Germany,2050,Packaging,PP,Mechanical recycling,Granulate,0.7
Germany,2020,Packaging,PS,Mechanical recycling,Granulate,0.6
Germany,2025,Packaging,PS,Mechanical recycling,Granulate,0.6
Germany,2030,Packaging,PS,Mechanical recycling,Granulate,0.6
Germany,2035,Packaging,PS,Mechanical recycling,Granulate,0.6
Germany,2040,Packaging,PS,Mechanical recycling,Granulate,0.6
Germany,2045,Packaging,PS,Mechanical recycling,Granulate,0.6
Germany,2050,Packaging,PS,Mechanical recycling,Granulate,0.6
Germany,2020,Packaging,PS-E,Mechanical recycling,Granulate,0.6
Germany,2025,Packaging,PS-E,Mechanical recycling,Granulate,0.6
Germany,2030,Packaging,PS-E,Mechanical recycling,Granulate,0.6
Germany,2035,Packaging,PS-E,Mechanical recycling,Granulate,0.6
Germany,2040,Packaging,PS-E,Mechanical recycling,Granulate,0.6
Germany,2045,Packaging,PS-E,Mechanical recycling,Granulate,0.6
Germany,2050,Packaging,PS-E,Mechanical recycling,Granulate,0.6
Germany,2020,Packaging,PVC,Mechanical recycling,Granulate,0.6
Germany,2025,Packaging,PVC,Mechanical recycling,Granulate,0.6
Germany,2030,Packaging,PVC,Mechanical recycling,Granulate,0.6
Germany,2035,Packaging,PVC,Mechanical recycling,Granulate,0.6
Germany,2040,Packaging,PVC,Mechanical recycling,Granulate,0.6
Germany,2045,Packaging,PVC,Mechanical recycling,Granulate,0.6
Germany,2050,Packaging,PVC,Mechanical recycling,Granulate,0.6
Germany,2020,Packaging,PET,Mechanical recycling,Granulate,0.76
Germany,2025,Packaging,PET,Mechanical recycling,Granulate,0.76
Germany,2030,Packaging,PET,Mechanical recycling,Granulate,0.76
Germany,2035,Packaging,PET,Mechanical recycling,Granulate,0.76
Germany,2040,Packaging,PET,Mechanical recycling,Granulate,0.76
Germany,2045,Packaging,PET,Mechanical recycling,Granulate,0.76
Germany,2050,Packaging,PET,Mechanical recycling,Granulate,0.76
Germany,2020,Packaging,"ABS, SAN",Mechanical recycling,Granulate,0.6
Germany,2025,Packaging,"ABS, SAN",Mechanical recycling,Granulate,0.6
Germany,2030,Packaging,"ABS, SAN",Mechanical recycling,Granulate,0.6
Germany,2035,Packaging,"ABS, SAN",Mechanical recycling,Granulate,0.6
Germany,2040,Packaging,"ABS, SAN",Mechanical recycling,Granulate,0.6
Germany,2045,Packaging,"ABS, SAN",Mechanical recycling,Granulate,0.6
Germany,2050,Packaging,"ABS, SAN",Mechanical recycling,Granulate,0.6
Germany,2020,Packaging,PMMA,Mechanical recycling,Granulate,0.6
Germany,2025,Packaging,PMMA,Mechanical recycling,Granulate,0.6
Germany,2030,Packaging,PMMA,Mechanical recycling,Granulate,0.6
Germany,2035,Packaging,PMMA,Mechanical recycling,Granulate,0.6
Germany,2040,Packaging,PMMA,Mechanical recycling,Granulate,0.6
Germany,2045,Packaging,PMMA,Mechanical recycling,Granulate,0.6
Germany,2050,Packaging,PMMA,Mechanical recycling,Granulate,0.6
Germany,2020,Packaging,"PA (PA6, PA66)",Mechanical recycling,Granulate,0.6
Germany,2025,Packaging,"PA (PA6, PA66)",Mechanical recycling,Granulate,0.6
Germany,2030,Packaging,"PA (PA6, PA66)",Mechanical recycling,Granulate,0.6
Germany,2035,Packaging,"PA (PA6, PA66)",Mechanical recycling,Granulate,0.6
Germany,2040,Packaging,"PA (PA6, PA66)",Mechanical recycling,Granulate,0.6
Germany,2045,Packaging,"PA (PA6, PA66)",Mechanical recycling,Granulate,0.6
Germany,2050,Packaging,"PA (PA6, PA66)",Mechanical recycling,Granulate,0.6
Germany,2020,Packaging,PC,Mechanical recycling,Granulate,0.6
Germany,2025,Packaging,PC,Mechanical recycling,Granulate,0.6
Germany,2030,Packaging,PC,Mechanical recycling,Granulate,0.6
Germany,2035,Packaging,PC,Mechanical recycling,Granulate,0.6
Germany,2040,Packaging,PC,Mechanical recycling,Granulate,0.6
Germany,2045,Packaging,PC,Mechanical recycling,Granulate,0.6
Germany,2050,Packaging,PC,Mechanical recycling,Granulate,0.6
Germany,2020,Packaging,Other Thermoplastics,Mechanical recycling,Granulate,0.6
Germany,2025,Packaging,Other Thermoplastics,Mechanical recycling,Granulate,0.6
Germany,2030,Packaging,Other Thermoplastics,Mechanical recycling,Granulate,0.6
Germany,2035,Packaging,Other Thermoplastics,Mechanical recycling,Granulate,0.6
Germany,2040,Packaging,Other Thermoplastics,Mechanical recycling,Granulate,0.6
Germany,2045,Packaging,Other Thermoplastics,Mechanical recycling,Granulate,0.6
Germany,2050,Packaging,Other Thermoplastics,Mechanical recycling,Granulate,0.6
Germany,2020,Packaging,PUR,Mechanical recycling,Granulate,0.6
Germany,2025,Packaging,PUR,Mechanical recycling,Granulate,0.6
Germany,2030,Packaging,PUR,Mechanical recycling,Granulate,0.6
