Region;Building type;Age cohort;Glass product;value
AUT;SFH;>1945;Flat glass;2.825377397
AUT;SFH;>1945;Container glass;0
AUT;SFH;>1945;Other;0
AUT;SFH;1945-1969;Flat glass;2.825377397
AUT;SFH;1945-1969;Container glass;0
AUT;SFH;1945-1969;Other;0
AUT;SFH;1970-1989;Flat glass;2.825377397
AUT;SFH;1970-1989;Container glass;0
AUT;SFH;1970-1989;Other;0
AUT;SFH;1990-2010;Flat glass;2.825377397
AUT;SFH;1990-2010;Container glass;0
AUT;SFH;1990-2010;Other;0
AUT;SFH;2011-2020;Flat glass;11.30150959
AUT;SFH;2011-2020;Container glass;0
AUT;SFH;2011-2020;Other;0
AUT;SFH;2021-2030;Flat glass;11.30150959
AUT;SFH;2021-2030;Container glass;0
AUT;SFH;2021-2030;Other;0
AUT;SFH;2031-2040;Flat glass;11.30150959
AUT;SFH;2031-2040;Container glass;0
AUT;SFH;2031-2040;Other;0
AUT;SFH;2040<;Flat glass;11.30150959
AUT;SFH;2040<;Container glass;0
AUT;SFH;2040<;Other;0
AUT;MFH;>1945;Flat glass;0.909139253
AUT;MFH;>1945;Container glass;0
AUT;MFH;>1945;Other;0
AUT;MFH;1945-1969;Flat glass;1.992695135
AUT;MFH;1945-1969;Container glass;0
AUT;MFH;1945-1969;Other;0
AUT;MFH;1970-1989;Flat glass;3.076251017
AUT;MFH;1970-1989;Container glass;0
AUT;MFH;1970-1989;Other;0
AUT;MFH;1990-2010;Flat glass;4.1598069
AUT;MFH;1990-2010;Container glass;0
AUT;MFH;1990-2010;Other;0
AUT;MFH;2011-2020;Flat glass;16.6392276
AUT;MFH;2011-2020;Container glass;0
AUT;MFH;2011-2020;Other;0
AUT;MFH;2021-2030;Flat glass;16.6392276
AUT;MFH;2021-2030;Container glass;0
AUT;MFH;2021-2030;Other;0
AUT;MFH;2031-2040;Flat glass;16.6392276
AUT;MFH;2031-2040;Container glass;0
AUT;MFH;2031-2040;Other;0
AUT;MFH;2040<;Flat glass;16.6392276
AUT;MFH;2040<;Container glass;0
AUT;MFH;2040<;Other;0
AUT;Ret;>1945;Flat glass;5.866666667
AUT;Ret;>1945;Container glass;0
AUT;Ret;>1945;Other;0
AUT;Ret;1945-1969;Flat glass;5.866666667
AUT;Ret;1945-1969;Container glass;0
AUT;Ret;1945-1969;Other;0
AUT;Ret;1970-1989;Flat glass;5.866666667
AUT;Ret;1970-1989;Container glass;0
AUT;Ret;1970-1989;Other;0
AUT;Ret;1990-2010;Flat glass;5.866666667
AUT;Ret;1990-2010;Container glass;0
AUT;Ret;1990-2010;Other;0
AUT;Ret;2011-2020;Flat glass;23.46666667
AUT;Ret;2011-2020;Container glass;0
AUT;Ret;2011-2020;Other;0
AUT;Ret;2021-2030;Flat glass;23.46666667
AUT;Ret;2021-2030;Container glass;0
AUT;Ret;2021-2030;Other;0
AUT;Ret;2031-2040;Flat glass;23.46666667
AUT;Ret;2031-2040;Container glass;0
AUT;Ret;2031-2040;Other;0
AUT;Ret;2040<;Flat glass;23.46666667
AUT;Ret;2040<;Container glass;0
AUT;Ret;2040<;Other;0
AUT;Off;>1945;Flat glass;6.44
AUT;Off;>1945;Container glass;0
AUT;Off;>1945;Other;0
AUT;Off;1945-1969;Flat glass;6.44
AUT;Off;1945-1969;Container glass;0
AUT;Off;1945-1969;Other;0
AUT;Off;1970-1989;Flat glass;6.44
AUT;Off;1970-1989;Container glass;0
AUT;Off;1970-1989;Other;0
AUT;Off;1990-2010;Flat glass;6.44
AUT;Off;1990-2010;Container glass;0
AUT;Off;1990-2010;Other;0
AUT;Off;2011-2020;Flat glass;25.76
AUT;Off;2011-2020;Container glass;0
AUT;Off;2011-2020;Other;0
AUT;Off;2021-2030;Flat glass;25.76
AUT;Off;2021-2030;Container glass;0
AUT;Off;2021-2030;Other;0
AUT;Off;2031-2040;Flat glass;25.76
AUT;Off;2031-2040;Container glass;0
AUT;Off;2031-2040;Other;0
AUT;Off;2040<;Flat glass;25.76
AUT;Off;2040<;Container glass;0
AUT;Off;2040<;Other;0
AUT;Hot;>1945;Flat glass;3.9
AUT;Hot;>1945;Container glass;0
AUT;Hot;>1945;Other;0
AUT;Hot;1945-1969;Flat glass;3.9
AUT;Hot;1945-1969;Container glass;0
AUT;Hot;1945-1969;Other;0
AUT;Hot;1970-1989;Flat glass;3.9
AUT;Hot;1970-1989;Container glass;0
AUT;Hot;1970-1989;Other;0
AUT;Hot;1990-2010;Flat glass;3.9
AUT;Hot;1990-2010;Container glass;0
AUT;Hot;1990-2010;Other;0
AUT;Hot;2011-2020;Flat glass;15.6
AUT;Hot;2011-2020;Container glass;0
AUT;Hot;2011-2020;Other;0
AUT;Hot;2021-2030;Flat glass;15.6
AUT;Hot;2021-2030;Container glass;0
AUT;Hot;2021-2030;Other;0
AUT;Hot;2031-2040;Flat glass;15.6
AUT;Hot;2031-2040;Container glass;0
AUT;Hot;2031-2040;Other;0
AUT;Hot;2040<;Flat glass;15.6
AUT;Hot;2040<;Container glass;0
AUT;Hot;2040<;Other;0
AUT;Edu;>1945;Flat glass;6.25
AUT;Edu;>1945;Container glass;0
AUT;Edu;>1945;Other;0
AUT;Edu;1945-1969;Flat glass;6.25
AUT;Edu;1945-1969;Container glass;0
AUT;Edu;1945-1969;Other;0
AUT;Edu;1970-1989;Flat glass;6.25
AUT;Edu;1970-1989;Container glass;0
AUT;Edu;1970-1989;Other;0
AUT;Edu;1990-2010;Flat glass;6.25
AUT;Edu;1990-2010;Container glass;0
AUT;Edu;1990-2010;Other;0
AUT;Edu;2011-2020;Flat glass;25
AUT;Edu;2011-2020;Container glass;0
AUT;Edu;2011-2020;Other;0
AUT;Edu;2021-2030;Flat glass;25
AUT;Edu;2021-2030;Container glass;0
AUT;Edu;2021-2030;Other;0
AUT;Edu;2031-2040;Flat glass;25
AUT;Edu;2031-2040;Container glass;0
AUT;Edu;2031-2040;Other;0
AUT;Edu;2040<;Flat glass;25
AUT;Edu;2040<;Container glass;0
AUT;Edu;2040<;Other;0
AUT;Hea;>1945;Flat glass;4.9
AUT;Hea;>1945;Container glass;0
AUT;Hea;>1945;Other;0
AUT;Hea;1945-1969;Flat glass;4.9
AUT;Hea;1945-1969;Container glass;0
AUT;Hea;1945-1969;Other;0
AUT;Hea;1970-1989;Flat glass;4.9
AUT;Hea;1970-1989;Container glass;0
AUT;Hea;1970-1989;Other;0
AUT;Hea;1990-2010;Flat glass;4.9
AUT;Hea;1990-2010;Container glass;0
AUT;Hea;1990-2010;Other;0
AUT;Hea;2011-2020;Flat glass;19.6
AUT;Hea;2011-2020;Container glass;0
AUT;Hea;2011-2020;Other;0
AUT;Hea;2021-2030;Flat glass;19.6
AUT;Hea;2021-2030;Container glass;0
AUT;Hea;2021-2030;Other;0
AUT;Hea;2031-2040;Flat glass;19.6
AUT;Hea;2031-2040;Container glass;0
AUT;Hea;2031-2040;Other;0
AUT;Hea;2040<;Flat glass;19.6
AUT;Hea;2040<;Container glass;0
AUT;Hea;2040<;Other;0
AUT;Oth;>1945;Flat glass;14.5
AUT;Oth;>1945;Container glass;0
AUT;Oth;>1945;Other;0
AUT;Oth;1945-1969;Flat glass;14.5
AUT;Oth;1945-1969;Container glass;0
AUT;Oth;1945-1969;Other;0
AUT;Oth;1970-1989;Flat glass;14.5
AUT;Oth;1970-1989;Container glass;0
AUT;Oth;1970-1989;Other;0
