Region;Building type;Age cohort;Year;value
AUT;SFH;>1945;2020;0
AUT;SFH;>1945;2021;0
AUT;SFH;>1945;2022;0
AUT;SFH;>1945;2023;0
AUT;SFH;>1945;2024;0
AUT;SFH;>1945;2025;0
AUT;SFH;>1945;2026;0
AUT;SFH;>1945;2027;0
AUT;SFH;>1945;2028;0
AUT;SFH;>1945;2029;0
AUT;SFH;>1945;2030;0
AUT;SFH;>1945;2031;0
AUT;SFH;>1945;2032;0
AUT;SFH;>1945;2033;0
AUT;SFH;>1945;2034;0
AUT;SFH;>1945;2035;0
AUT;SFH;>1945;2036;0
AUT;SFH;>1945;2037;0
AUT;SFH;>1945;2038;0
AUT;SFH;>1945;2039;0
AUT;SFH;>1945;2040;0
AUT;SFH;>1945;2041;0
AUT;SFH;>1945;2042;0
AUT;SFH;>1945;2043;0
AUT;SFH;>1945;2044;0
AUT;SFH;>1945;2045;0
AUT;SFH;>1945;2046;0
AUT;SFH;>1945;2047;0
AUT;SFH;>1945;2048;0
AUT;SFH;>1945;2049;0
AUT;SFH;>1945;2050;0
AUT;SFH;1945-1969;2020;0
AUT;SFH;1945-1969;2021;0
AUT;SFH;1945-1969;2022;0
AUT;SFH;1945-1969;2023;0
AUT;SFH;1945-1969;2024;0
AUT;SFH;1945-1969;2025;0
AUT;SFH;1945-1969;2026;0
AUT;SFH;1945-1969;2027;0
AUT;SFH;1945-1969;2028;0
AUT;SFH;1945-1969;2029;0
AUT;SFH;1945-1969;2030;0
AUT;SFH;1945-1969;2031;0
AUT;SFH;1945-1969;2032;0
AUT;SFH;1945-1969;2033;0
AUT;SFH;1945-1969;2034;0
AUT;SFH;1945-1969;2035;0
AUT;SFH;1945-1969;2036;0
AUT;SFH;1945-1969;2037;0
AUT;SFH;1945-1969;2038;0
AUT;SFH;1945-1969;2039;0
AUT;SFH;1945-1969;2040;0
AUT;SFH;1945-1969;2041;0
AUT;SFH;1945-1969;2042;0
AUT;SFH;1945-1969;2043;0
AUT;SFH;1945-1969;2044;0
AUT;SFH;1945-1969;2045;0
AUT;SFH;1945-1969;2046;0
AUT;SFH;1945-1969;2047;0
AUT;SFH;1945-1969;2048;0
AUT;SFH;1945-1969;2049;0
AUT;SFH;1945-1969;2050;0
AUT;SFH;1970-1989;2020;0
AUT;SFH;1970-1989;2021;0
AUT;SFH;1970-1989;2022;0
AUT;SFH;1970-1989;2023;0
AUT;SFH;1970-1989;2024;0
AUT;SFH;1970-1989;2025;0
AUT;SFH;1970-1989;2026;0
AUT;SFH;1970-1989;2027;0
AUT;SFH;1970-1989;2028;0
AUT;SFH;1970-1989;2029;0
AUT;SFH;1970-1989;2030;0
AUT;SFH;1970-1989;2031;0
AUT;SFH;1970-1989;2032;0
AUT;SFH;1970-1989;2033;0
AUT;SFH;1970-1989;2034;0
AUT;SFH;1970-1989;2035;0
AUT;SFH;1970-1989;2036;0
AUT;SFH;1970-1989;2037;0
AUT;SFH;1970-1989;2038;0
AUT;SFH;1970-1989;2039;0
AUT;SFH;1970-1989;2040;0
