Region;Building type;Age cohort;Insulation product;value
AUT;SFH;>1945;Insulation;7.509333333
AUT;SFH;>1945;Insulation (Exterior wall);0
AUT;SFH;>1945;Insulation (Roof);0
AUT;SFH;>1945;Insulation (Floor);0
AUT;SFH;>1945;Insulation (Basement);0
AUT;SFH;1945-1969;Insulation;9.422919507
AUT;SFH;1945-1969;Insulation (Exterior wall);0
AUT;SFH;1945-1969;Insulation (Roof);0
AUT;SFH;1945-1969;Insulation (Floor);0
AUT;SFH;1945-1969;Insulation (Basement);0
AUT;SFH;1970-1989;Insulation;16.21680358
AUT;SFH;1970-1989;Insulation (Exterior wall);0
AUT;SFH;1970-1989;Insulation (Roof);0
AUT;SFH;1970-1989;Insulation (Floor);0
AUT;SFH;1970-1989;Insulation (Basement);0
AUT;SFH;1990-2010;Insulation;18.05892114
AUT;SFH;1990-2010;Insulation (Exterior wall);0
AUT;SFH;1990-2010;Insulation (Roof);0
AUT;SFH;1990-2010;Insulation (Floor);0
AUT;SFH;1990-2010;Insulation (Basement);0
AUT;SFH;2011-2020;Insulation;17.47326052
AUT;SFH;2011-2020;Insulation (Exterior wall);0
AUT;SFH;2011-2020;Insulation (Roof);0
AUT;SFH;2011-2020;Insulation (Floor);0
AUT;SFH;2011-2020;Insulation (Basement);0
AUT;SFH;2021-2030;Insulation;0
AUT;SFH;2021-2030;Insulation (Exterior wall);11.32937275
AUT;SFH;2021-2030;Insulation (Roof);2.563041729
AUT;SFH;2021-2030;Insulation (Floor);1.580846038
AUT;SFH;2021-2030;Insulation (Basement);2
AUT;SFH;2031-2040;Insulation;0
AUT;SFH;2031-2040;Insulation (Exterior wall);11.32937275
AUT;SFH;2031-2040;Insulation (Roof);2.563041729
AUT;SFH;2031-2040;Insulation (Floor);1.580846038
AUT;SFH;2031-2040;Insulation (Basement);2
AUT;SFH;2040<;Insulation;0
AUT;SFH;2040<;Insulation (Exterior wall);11.32937275
AUT;SFH;2040<;Insulation (Roof);2.563041729
AUT;SFH;2040<;Insulation (Floor);1.580846038
AUT;SFH;2040<;Insulation (Basement);2
AUT;MFH;>1945;Insulation;3.520352606
AUT;MFH;>1945;Insulation (Exterior wall);0
AUT;MFH;>1945;Insulation (Roof);0
AUT;MFH;>1945;Insulation (Floor);0
AUT;MFH;>1945;Insulation (Basement);0
AUT;MFH;1945-1969;Insulation;10.13109219
AUT;MFH;1945-1969;Insulation (Exterior wall);0
AUT;MFH;1945-1969;Insulation (Roof);0
AUT;MFH;1945-1969;Insulation (Floor);0
AUT;MFH;1945-1969;Insulation (Basement);0
AUT;MFH;1970-1989;Insulation;12.83010603
AUT;MFH;1970-1989;Insulation (Exterior wall);0
AUT;MFH;1970-1989;Insulation (Roof);0
AUT;MFH;1970-1989;Insulation (Floor);0
AUT;MFH;1970-1989;Insulation (Basement);0
AUT;MFH;1990-2010;Insulation;12.08391214
AUT;MFH;1990-2010;Insulation (Exterior wall);0
AUT;MFH;1990-2010;Insulation (Roof);0
AUT;MFH;1990-2010;Insulation (Floor);0
AUT;MFH;1990-2010;Insulation (Basement);0
AUT;MFH;2011-2020;Insulation;15.17078186
AUT;MFH;2011-2020;Insulation (Exterior wall);0
AUT;MFH;2011-2020;Insulation (Roof);0
