Region;Building type;Age cohort;Year;value
AUT;SFH;>1945;2020;0
AUT;SFH;>1945;2021;-134634.2727
AUT;SFH;>1945;2022;-134634.2727
AUT;SFH;>1945;2023;-134634.2727
AUT;SFH;>1945;2024;-134634.2727
AUT;SFH;>1945;2025;-134634.2727
AUT;SFH;>1945;2026;-134634.2727
AUT;SFH;>1945;2027;-134634.2727
AUT;SFH;>1945;2028;-134634.2727
AUT;SFH;>1945;2029;-134634.2727
AUT;SFH;>1945;2030;-134634.2727
AUT;SFH;>1945;2031;-192796.8
AUT;SFH;>1945;2032;-192796.8
AUT;SFH;>1945;2033;-192796.8
AUT;SFH;>1945;2034;-192796.8
AUT;SFH;>1945;2035;-192796.8
AUT;SFH;>1945;2036;-192796.8
AUT;SFH;>1945;2037;-192796.8
AUT;SFH;>1945;2038;-192796.8
AUT;SFH;>1945;2039;-192796.8
AUT;SFH;>1945;2040;-192796.8
AUT;SFH;>1945;2041;-237376
AUT;SFH;>1945;2042;-237376
AUT;SFH;>1945;2043;-237376
AUT;SFH;>1945;2044;-237376
AUT;SFH;>1945;2045;-237376
AUT;SFH;>1945;2046;-237376
AUT;SFH;>1945;2047;-237376
AUT;SFH;>1945;2048;-237376
AUT;SFH;>1945;2049;-237376
AUT;SFH;>1945;2050;-237376
AUT;SFH;1945-1969;2020;0
AUT;SFH;1945-1969;2021;-361225
AUT;SFH;1945-1969;2022;-361225
AUT;SFH;1945-1969;2023;-361225
AUT;SFH;1945-1969;2024;-361225
AUT;SFH;1945-1969;2025;-361225
AUT;SFH;1945-1969;2026;-361225
AUT;SFH;1945-1969;2027;-361225
AUT;SFH;1945-1969;2028;-361225
AUT;SFH;1945-1969;2029;-361225
AUT;SFH;1945-1969;2030;-361225
AUT;SFH;1945-1969;2031;-592022.5
AUT;SFH;1945-1969;2032;-592022.5
AUT;SFH;1945-1969;2033;-592022.5
AUT;SFH;1945-1969;2034;-592022.5
AUT;SFH;1945-1969;2035;-592022.5
AUT;SFH;1945-1969;2036;-592022.5
AUT;SFH;1945-1969;2037;-592022.5
AUT;SFH;1945-1969;2038;-592022.5
AUT;SFH;1945-1969;2039;-592022.5
AUT;SFH;1945-1969;2040;-592022.5
AUT;SFH;1945-1969;2041;-752689.9
AUT;SFH;1945-1969;2042;-752689.9
AUT;SFH;1945-1969;2043;-752689.9
AUT;SFH;1945-1969;2044;-752689.9
AUT;SFH;1945-1969;2045;-752689.9
AUT;SFH;1945-1969;2046;-752689.9
AUT;SFH;1945-1969;2047;-752689.9
