Region;Building type;Age cohort;Year;value
AUT;SFH;>1945;2020;52209560.73
AUT;SFH;>1945;2021;52074926.45
AUT;SFH;>1945;2022;51940292.18
AUT;SFH;>1945;2023;51805657.91
AUT;SFH;>1945;2024;51671023.64
AUT;SFH;>1945;2025;51536389.36
AUT;SFH;>1945;2026;51401755.09
AUT;SFH;>1945;2027;51267120.82
AUT;SFH;>1945;2028;51132486.55
AUT;SFH;>1945;2029;50997852.27
AUT;SFH;>1945;2030;50863218
AUT;SFH;>1945;2031;50670421.2
AUT;SFH;>1945;2032;50477624.4
AUT;SFH;>1945;2033;50284827.6
AUT;SFH;>1945;2034;50092030.8
AUT;SFH;>1945;2035;49899234
AUT;SFH;>1945;2036;49706437.2
AUT;SFH;>1945;2037;49513640.4
AUT;SFH;>1945;2038;49320843.6
AUT;SFH;>1945;2039;49128046.8
AUT;SFH;>1945;2040;48935250
AUT;SFH;>1945;2041;48697874
AUT;SFH;>1945;2042;48460498
AUT;SFH;>1945;2043;48223122
AUT;SFH;>1945;2044;47985746
AUT;SFH;>1945;2045;47748370
AUT;SFH;>1945;2046;47510994
AUT;SFH;>1945;2047;47273618
AUT;SFH;>1945;2048;47036242
AUT;SFH;>1945;2049;46798866
AUT;SFH;>1945;2050;46561490
AUT;SFH;1945-1969;2020;55783363
AUT;SFH;1945-1969;2021;55422138
AUT;SFH;1945-1969;2022;55060913
AUT;SFH;1945-1969;2023;54699688
AUT;SFH;1945-1969;2024;54338463
AUT;SFH;1945-1969;2025;53977238
AUT;SFH;1945-1969;2026;53616013
AUT;SFH;1945-1969;2027;53254788
AUT;SFH;1945-1969;2028;52893563
AUT;SFH;1945-1969;2029;52532338
AUT;SFH;1945-1969;2030;52171113
AUT;SFH;1945-1969;2031;51579090.5
AUT;SFH;1945-1969;2032;50987068
AUT;SFH;1945-1969;2033;50395045.5
AUT;SFH;1945-1969;2034;49803023
AUT;SFH;1945-1969;2035;49211000.5
AUT;SFH;1945-1969;2036;48618978
AUT;SFH;1945-1969;2037;48026955.5
AUT;SFH;1945-1969;2038;47434933
AUT;SFH;1945-1969;2039;46842910.5
AUT;SFH;1945-1969;2040;46250888
AUT;SFH;1945-1969;2041;45498198.1
AUT;SFH;1945-1969;2042;44745508.2
AUT;SFH;1945-1969;2043;43992818.3
AUT;SFH;1945-1969;2044;43240128.4
AUT;SFH;1945-1969;2045;42487438.5
AUT;SFH;1945-1969;2046;41734748.6
AUT;SFH;1945-1969;2047;40982058.7
AUT;SFH;1945-1969;2048;40229368.8
AUT;SFH;1945-1969;2049;39476678.9
AUT;SFH;1945-1969;2050;38723989
AUT;SFH;1970-1989;2020;82956277.55
AUT;SFH;1970-1989;2021;82840435.09
AUT;SFH;1970-1989;2022;82724592.64
AUT;SFH;1970-1989;2023;82608750.18
AUT;SFH;1970-1989;2024;82492907.73
AUT;SFH;1970-1989;2025;82377065.27
AUT;SFH;1970-1989;2026;82261222.82
AUT;SFH;1970-1989;2027;82145380.36
AUT;SFH;1970-1989;2028;82029537.91
AUT;SFH;1970-1989;2029;81913695.45
AUT;SFH;1970-1989;2030;81797853
AUT;SFH;1970-1989;2031;81540475.7
AUT;SFH;1970-1989;2032;81283098.4
AUT;SFH;1970-1989;2033;81025721.1
AUT;SFH;1970-1989;2034;80768343.8
AUT;SFH;1970-1989;2035;80510966.5
AUT;SFH;1970-1989;2036;80253589.2
AUT;SFH;1970-1989;2037;79996211.9
AUT;SFH;1970-1989;2038;79738834.6
AUT;SFH;1970-1989;2039;79481457.3
AUT;SFH;1970-1989;2040;79224080
AUT;SFH;1970-1989;2041;78792692.6
AUT;SFH;1970-1989;2042;78361305.2
AUT;SFH;1970-1989;2043;77929917.8
AUT;SFH;1970-1989;2044;77498530.4
AUT;SFH;1970-1989;2045;77067143
AUT;SFH;1970-1989;2046;76635755.6
AUT;SFH;1970-1989;2047;76204368.2
AUT;SFH;1970-1989;2048;75772980.8
AUT;SFH;1970-1989;2049;75341593.4
AUT;SFH;1970-1989;2050;74910206
AUT;SFH;1990-2010;2020;71490932.64
AUT;SFH;1990-2010;2021;71482252.02
AUT;SFH;1990-2010;2022;71473571.41
AUT;SFH;1990-2010;2023;71464890.8
AUT;SFH;1990-2010;2024;71456210.18
AUT;SFH;1990-2010;2025;71447529.57
AUT;SFH;1990-2010;2026;71438848.95
AUT;SFH;1990-2010;2027;71430168.34
AUT;SFH;1990-2010;2028;71421487.73
AUT;SFH;1990-2010;2029;71412807.11
AUT;SFH;1990-2010;2030;71404126.5
AUT;SFH;1990-2010;2031;71369723.25
AUT;SFH;1990-2010;2032;71335320
AUT;SFH;1990-2010;2033;71300916.75
AUT;SFH;1990-2010;2034;71266513.5
AUT;SFH;1990-2010;2035;71232110.25
AUT;SFH;1990-2010;2036;71197707
AUT;SFH;1990-2010;2037;71163303.75
AUT;SFH;1990-2010;2038;71128900.5
AUT;SFH;1990-2010;2039;71094497.25
AUT;SFH;1990-2010;2040;71060094
AUT;SFH;1990-2010;2041;70978645.78
AUT;SFH;1990-2010;2042;70897197.55
AUT;SFH;1990-2010;2043;70815749.33
AUT;SFH;1990-2010;2044;70734301.1
AUT;SFH;1990-2010;2045;70652852.88
AUT;SFH;1990-2010;2046;70571404.65
AUT;SFH;1990-2010;2047;70489956.43
