Vehicle size;Vehicle type;Plastics product;Value
microcar;Internal Combustion Engine – Gasoline;PP;26.6191153
microcar;Internal Combustion Engine – Gasoline;PE;8.31847353
microcar;Internal Combustion Engine – Gasoline;ABS;12.4777103
microcar;Internal Combustion Engine – Gasoline;PVC;4.159236765
microcar;Internal Combustion Engine – Gasoline;PC;0.831847353
microcar;Internal Combustion Engine – Gasoline;PA/Nylon;6.654778824
microcar;Internal Combustion Engine – Gasoline;PUR;14.97325235
microcar;Internal Combustion Engine – Gasoline;Rubber;8.31847353
microcar;Internal Combustion Engine – Liquified Petroleum Gas;PP;26.6191153
microcar;Internal Combustion Engine – Liquified Petroleum Gas;PE;8.31847353
microcar;Internal Combustion Engine – Liquified Petroleum Gas;ABS;12.4777103
microcar;Internal Combustion Engine – Liquified Petroleum Gas;PVC;4.159236765
microcar;Internal Combustion Engine – Liquified Petroleum Gas;PC;0.831847353
microcar;Internal Combustion Engine – Liquified Petroleum Gas;PA/Nylon;6.654778824
microcar;Internal Combustion Engine – Liquified Petroleum Gas;PUR;14.97325235
microcar;Internal Combustion Engine – Liquified Petroleum Gas;Rubber;8.31847353
microcar;Internal Combustion Engine – Diesel Oil;PP;27.076016
microcar;Internal Combustion Engine – Diesel Oil;PE;8.461255001
microcar;Internal Combustion Engine – Diesel Oil;ABS;12.6918825
microcar;Internal Combustion Engine – Diesel Oil;PVC;4.2306275
microcar;Internal Combustion Engine – Diesel Oil;PC;0.8461255
microcar;Internal Combustion Engine – Diesel Oil;PA/Nylon;6.769004001
microcar;Internal Combustion Engine – Diesel Oil;PUR;15.230259
microcar;Internal Combustion Engine – Diesel Oil;Rubber;8.461255001
microcar;Internal Combustion Engine – Natural Gas;PP;26.6191153
microcar;Internal Combustion Engine – Natural Gas;PE;8.31847353
microcar;Internal Combustion Engine – Natural Gas;ABS;12.4777103
microcar;Internal Combustion Engine – Natural Gas;PVC;4.159236765
microcar;Internal Combustion Engine – Natural Gas;PC;0.831847353
microcar;Internal Combustion Engine – Natural Gas;PA/Nylon;6.654778824
microcar;Internal Combustion Engine – Natural Gas;PUR;14.97325235
microcar;Internal Combustion Engine – Natural Gas;Rubber;8.31847353
microcar;Internal Combustion Engine – Ethanol;PP;26.6191153
