Region;Year;Vehicle size;Value
AUT;2020;microcar;0.146068214
AUT;2020;passenger car;0.57256
AUT;2020;minivan_SUV;0.17784
AUT;2020;light truck;0.103531786
AUT;2021;microcar;0.159361591
AUT;2021;passenger car;0.57883968
AUT;2021;minivan_SUV;0.16585152
AUT;2021;light truck;0.095947209
AUT;2022;microcar;0.172386717
AUT;2022;passenger car;0.58499264
AUT;2022;minivan_SUV;0.15410496
AUT;2022;light truck;0.088515683
AUT;2023;microcar;0.185098882
AUT;2023;passenger car;0.59099776
AUT;2023;minivan_SUV;0.14264064
AUT;2023;light truck;0.081262718
AUT;2024;microcar;0.197453377
AUT;2024;passenger car;0.59683392
AUT;2024;minivan_SUV;0.13149888
AUT;2024;light truck;0.074213823
AUT;2025;microcar;0.209405495
AUT;2025;passenger car;0.60248
AUT;2025;minivan_SUV;0.12072
AUT;2025;light truck;0.067394505
AUT;2026;microcar;0.220910526
AUT;2026;passenger car;0.60791488
AUT;2026;minivan_SUV;0.11034432
AUT;2026;light truck;0.060830274
AUT;2027;microcar;0.231923761
AUT;2027;passenger car;0.61311744
AUT;2027;minivan_SUV;0.10041216
AUT;2027;light truck;0.054546639
AUT;2028;microcar;0.242400492
AUT;2028;passenger car;0.61806656
AUT;2028;minivan_SUV;0.09096384
AUT;2028;light truck;0.048569108
AUT;2029;microcar;0.252296011
AUT;2029;passenger car;0.62274112
AUT;2029;minivan_SUV;0.08203968
AUT;2029;light truck;0.042923189
AUT;2030;microcar;0.261565609
AUT;2030;passenger car;0.62712
AUT;2030;minivan_SUV;0.07368
AUT;2030;light truck;0.037634391
AUT;2031;microcar;0.270164576
AUT;2031;passenger car;0.63118208
AUT;2031;minivan_SUV;0.06592512
AUT;2031;light truck;0.032728224
AUT;2032;microcar;0.278048205
AUT;2032;passenger car;0.63490624
AUT;2032;minivan_SUV;0.05881536
AUT;2032;light truck;0.028230195
AUT;2033;microcar;0.285171786
AUT;2033;passenger car;0.63827136
AUT;2033;minivan_SUV;0.05239104
AUT;2033;light truck;0.024165814
AUT;2034;microcar;0.291490611
AUT;2034;passenger car;0.64125632
AUT;2034;minivan_SUV;0.04669248
AUT;2034;light truck;0.020560589
AUT;2035;microcar;0.296959972
AUT;2035;passenger car;0.64384
AUT;2035;minivan_SUV;0.04176
AUT;2035;light truck;0.017440028
AUT;2036;microcar;0.301535159
AUT;2036;passenger car;0.64600128
AUT;2036;minivan_SUV;0.03763392
AUT;2036;light truck;0.014829641
AUT;2037;microcar;0.305171464
AUT;2037;passenger car;0.64771904
AUT;2037;minivan_SUV;0.03435456
AUT;2037;light truck;0.012754936
AUT;2038;microcar;0.307824178
AUT;2038;passenger car;0.64897216
AUT;2038;minivan_SUV;0.03196224
AUT;2038;light truck;0.011241422
AUT;2039;microcar;0.309448593
AUT;2039;passenger car;0.64973952
AUT;2039;minivan_SUV;0.03049728
AUT;2039;light truck;0.010314607
AUT;2040;microcar;0.31
AUT;2040;passenger car;0.65
AUT;2040;minivan_SUV;0.03
AUT;2040;light truck;0.01
AUT;2041;microcar;0.31
AUT;2041;passenger car;0.65
AUT;2041;minivan_SUV;0.03
AUT;2041;light truck;0.01
AUT;2042;microcar;0.31
AUT;2042;passenger car;0.65
AUT;2042;minivan_SUV;0.03
AUT;2042;light truck;0.01
AUT;2043;microcar;0.31
AUT;2043;passenger car;0.65
AUT;2043;minivan_SUV;0.03
AUT;2043;light truck;0.01
AUT;2044;microcar;0.31
AUT;2044;passenger car;0.65
AUT;2044;minivan_SUV;0.03
AUT;2044;light truck;0.01
AUT;2045;microcar;0.31
AUT;2045;passenger car;0.65
AUT;2045;minivan_SUV;0.03
AUT;2045;light truck;0.01
AUT;2046;microcar;0.31
AUT;2046;passenger car;0.65
AUT;2046;minivan_SUV;0.03
AUT;2046;light truck;0.01
AUT;2047;microcar;0.31
AUT;2047;passenger car;0.65
AUT;2047;minivan_SUV;0.03
AUT;2047;light truck;0.01
AUT;2048;microcar;0.31
AUT;2048;passenger car;0.65
AUT;2048;minivan_SUV;0.03
AUT;2048;light truck;0.01
AUT;2049;microcar;0.31
AUT;2049;passenger car;0.65
AUT;2049;minivan_SUV;0.03
AUT;2049;light truck;0.01
AUT;2050;microcar;0.31
AUT;2050;passenger car;0.65
AUT;2050;minivan_SUV;0.03
AUT;2050;light truck;0.01
BEL;2020;microcar;0.146068214
BEL;2020;passenger car;0.57256
BEL;2020;minivan_SUV;0.17784
BEL;2020;light truck;0.103531786
BEL;2021;microcar;0.159361591
BEL;2021;passenger car;0.57883968
BEL;2021;minivan_SUV;0.16585152
BEL;2021;light truck;0.095947209
BEL;2022;microcar;0.172386717
BEL;2022;passenger car;0.58499264
BEL;2022;minivan_SUV;0.15410496
BEL;2022;light truck;0.088515683
BEL;2023;microcar;0.185098882
BEL;2023;passenger car;0.59099776
BEL;2023;minivan_SUV;0.14264064
BEL;2023;light truck;0.081262718
BEL;2024;microcar;0.197453377
BEL;2024;passenger car;0.59683392
BEL;2024;minivan_SUV;0.13149888
BEL;2024;light truck;0.074213823
BEL;2025;microcar;0.209405495
BEL;2025;passenger car;0.60248
BEL;2025;minivan_SUV;0.12072
BEL;2025;light truck;0.067394505
BEL;2026;microcar;0.220910526
BEL;2026;passenger car;0.60791488
BEL;2026;minivan_SUV;0.11034432
BEL;2026;light truck;0.060830274
BEL;2027;microcar;0.231923761
BEL;2027;passenger car;0.61311744
BEL;2027;minivan_SUV;0.10041216
BEL;2027;light truck;0.054546639
BEL;2028;microcar;0.242400492
BEL;2028;passenger car;0.61806656
BEL;2028;minivan_SUV;0.09096384
BEL;2028;light truck;0.048569108
BEL;2029;microcar;0.252296011
BEL;2029;passenger car;0.62274112
BEL;2029;minivan_SUV;0.08203968
BEL;2029;light truck;0.042923189
BEL;2030;microcar;0.261565609
BEL;2030;passenger car;0.62712
BEL;2030;minivan_SUV;0.07368
BEL;2030;light truck;0.037634391
BEL;2031;microcar;0.270164576
BEL;2031;passenger car;0.63118208
BEL;2031;minivan_SUV;0.06592512
BEL;2031;light truck;0.032728224
BEL;2032;microcar;0.278048205
BEL;2032;passenger car;0.63490624
BEL;2032;minivan_SUV;0.05881536
BEL;2032;light truck;0.028230195
BEL;2033;microcar;0.285171786
BEL;2033;passenger car;0.63827136
BEL;2033;minivan_SUV;0.05239104
BEL;2033;light truck;0.024165814
BEL;2034;microcar;0.291490611
BEL;2034;passenger car;0.64125632
BEL;2034;minivan_SUV;0.04669248
BEL;2034;light truck;0.020560589
BEL;2035;microcar;0.296959972
BEL;2035;passenger car;0.64384
BEL;2035;minivan_SUV;0.04176
BEL;2035;light truck;0.017440028
BEL;2036;microcar;0.301535159
BEL;2036;passenger car;0.64600128
BEL;2036;minivan_SUV;0.03763392
BEL;2036;light truck;0.014829641
BEL;2037;microcar;0.305171464
BEL;2037;passenger car;0.64771904
BEL;2037;minivan_SUV;0.03435456
BEL;2037;light truck;0.012754936
BEL;2038;microcar;0.307824178
BEL;2038;passenger car;0.64897216
BEL;2038;minivan_SUV;0.03196224
BEL;2038;light truck;0.011241422
BEL;2039;microcar;0.309448593
BEL;2039;passenger car;0.64973952
BEL;2039;minivan_SUV;0.03049728
