Region,Building type,Age cohort,Insulation product,value
AUT,SFH,>1945,Insulation,7.509333333
AUT,SFH,1945-1969,Insulation,9.422919507
AUT,SFH,1970-1989,Insulation,16.21680358
AUT,SFH,1990-2010,Insulation,18.05892114
AUT,SFH,2011-2020,Insulation,17.47326052
AUT,SFH,2021-2030,Insulation,17.47326052
AUT,SFH,2031-2040,Insulation,17.47326052
AUT,SFH,2040<,Insulation,17.47326052
AUT,MFH,>1945,Insulation,3.520352606
AUT,MFH,1945-1969,Insulation,10.13109219
AUT,MFH,1970-1989,Insulation,12.83010603
AUT,MFH,1990-2010,Insulation,12.08391214
AUT,MFH,2011-2020,Insulation,15.17078186
AUT,MFH,2021-2030,Insulation,15.17078186
AUT,MFH,2031-2040,Insulation,15.17078186
AUT,MFH,2040<,Insulation,15.17078186
AUT,Ret,>1945,Insulation,7.065853659
AUT,Ret,1945-1969,Insulation,7.065853659
AUT,Ret,1970-1989,Insulation,32.68195122
AUT,Ret,1990-2010,Insulation,32.68195122
AUT,Ret,2011-2020,Insulation,22.55631613
AUT,Ret,2021-2030,Insulation,22.55631613
AUT,Ret,2031-2040,Insulation,22.55631613
AUT,Ret,2040<,Insulation,22.55631613
AUT,Off,>1945,Insulation,3.705263158
AUT,Off,1945-1969,Insulation,5.364210526
AUT,Off,1970-1989,Insulation,19.7712
AUT,Off,1990-2010,Insulation,13.14272
AUT,Off,2011-2020,Insulation,13.14272
AUT,Off,2021-2030,Insulation,13.14272
AUT,Off,2031-2040,Insulation,13.14272
AUT,Off,2040<,Insulation,13.14272
AUT,Hot,>1945,Insulation,3.705263158
AUT,Hot,1945-1969,Insulation,5.364210526
AUT,Hot,1970-1989,Insulation,19.7712
AUT,Hot,1990-2010,Insulation,13.14272
AUT,Hot,2011-2020,Insulation,13.14272
AUT,Hot,2021-2030,Insulation,13.14272
AUT,Hot,2031-2040,Insulation,13.14272
AUT,Hot,2040<,Insulation,13.14272
AUT,Edu,>1945,Insulation,3.705263158
AUT,Edu,1945-1969,Insulation,5.364210526
AUT,Edu,1970-1989,Insulation,19.7712
AUT,Edu,1990-2010,Insulation,13.14272
AUT,Edu,2011-2020,Insulation,13.14272
AUT,Edu,2021-2030,Insulation,13.14272
AUT,Edu,2031-2040,Insulation,13.14272
AUT,Edu,2040<,Insulation,13.14272
AUT,Hea,>1945,Insulation,3.705263158
AUT,Hea,1945-1969,Insulation,5.364210526
AUT,Hea,1970-1989,Insulation,19.7712
AUT,Hea,1990-2010,Insulation,13.14272
AUT,Hea,2011-2020,Insulation,13.14272
AUT,Hea,2021-2030,Insulation,13.14272
AUT,Hea,2031-2040,Insulation,13.14272
AUT,Hea,2040<,Insulation,13.14272
AUT,Oth,>1945,Insulation,6.117993154
AUT,Oth,1945-1969,Insulation,6.886787177
AUT,Oth,1970-1989,Insulation,18.62779187
AUT,Oth,1990-2010,Insulation,14.2088052
AUT,Oth,2011-2020,Insulation,12.52119935
AUT,Oth,2021-2030,Insulation,12.52119935
AUT,Oth,2031-2040,Insulation,12.52119935
AUT,Oth,2040<,Insulation,12.52119935
BEL,SFH,>1945,Insulation,7.509333333
BEL,SFH,1945-1969,Insulation,9.422919507
BEL,SFH,1970-1989,Insulation,16.21680358
BEL,SFH,1990-2010,Insulation,18.05892114
BEL,SFH,2011-2020,Insulation,17.47326052
BEL,SFH,2021-2030,Insulation,17.47326052
BEL,SFH,2031-2040,Insulation,17.47326052
BEL,SFH,2040<,Insulation,17.47326052
BEL,MFH,>1945,Insulation,3.520352606
BEL,MFH,1945-1969,Insulation,10.13109219
BEL,MFH,1970-1989,Insulation,12.83010603
BEL,MFH,1990-2010,Insulation,12.08391214
BEL,MFH,2011-2020,Insulation,15.17078186
BEL,MFH,2021-2030,Insulation,15.17078186
BEL,MFH,2031-2040,Insulation,15.17078186
BEL,MFH,2040<,Insulation,15.17078186
BEL,Ret,>1945,Insulation,7.065853659
BEL,Ret,1945-1969,Insulation,7.065853659
BEL,Ret,1970-1989,Insulation,32.68195122
BEL,Ret,1990-2010,Insulation,32.68195122
BEL,Ret,2011-2020,Insulation,22.55631613
BEL,Ret,2021-2030,Insulation,22.55631613
BEL,Ret,2031-2040,Insulation,22.55631613
BEL,Ret,2040<,Insulation,22.55631613
BEL,Off,>1945,Insulation,3.705263158
BEL,Off,1945-1969,Insulation,5.364210526
BEL,Off,1970-1989,Insulation,19.7712
BEL,Off,1990-2010,Insulation,13.14272
BEL,Off,2011-2020,Insulation,13.14272
BEL,Off,2021-2030,Insulation,13.14272
BEL,Off,2031-2040,Insulation,13.14272
BEL,Off,2040<,Insulation,13.14272
BEL,Hot,>1945,Insulation,3.705263158
BEL,Hot,1945-1969,Insulation,5.364210526
BEL,Hot,1970-1989,Insulation,19.7712
BEL,Hot,1990-2010,Insulation,13.14272
BEL,Hot,2011-2020,Insulation,13.14272
BEL,Hot,2021-2030,Insulation,13.14272
BEL,Hot,2031-2040,Insulation,13.14272
BEL,Hot,2040<,Insulation,13.14272
BEL,Edu,>1945,Insulation,3.705263158
BEL,Edu,1945-1969,Insulation,5.364210526
BEL,Edu,1970-1989,Insulation,19.7712
BEL,Edu,1990-2010,Insulation,13.14272
BEL,Edu,2011-2020,Insulation,13.14272
BEL,Edu,2021-2030,Insulation,13.14272
BEL,Edu,2031-2040,Insulation,13.14272
BEL,Edu,2040<,Insulation,13.14272
BEL,Hea,>1945,Insulation,3.705263158
BEL,Hea,1945-1969,Insulation,5.364210526
BEL,Hea,1970-1989,Insulation,19.7712
BEL,Hea,1990-2010,Insulation,13.14272
BEL,Hea,2011-2020,Insulation,13.14272
BEL,Hea,2021-2030,Insulation,13.14272
BEL,Hea,2031-2040,Insulation,13.14272
BEL,Hea,2040<,Insulation,13.14272
BEL,Oth,>1945,Insulation,6.117993154
BEL,Oth,1945-1969,Insulation,6.886787177
BEL,Oth,1970-1989,Insulation,18.62779187
BEL,Oth,1990-2010,Insulation,14.2088052
BEL,Oth,2011-2020,Insulation,12.52119935
BEL,Oth,2021-2030,Insulation,12.52119935
BEL,Oth,2031-2040,Insulation,12.52119935
BEL,Oth,2040<,Insulation,12.52119935
BGR,SFH,>1945,Insulation,7.509333333
BGR,SFH,1945-1969,Insulation,9.422919507
BGR,SFH,1970-1989,Insulation,16.21680358
BGR,SFH,1990-2010,Insulation,18.05892114
BGR,SFH,2011-2020,Insulation,17.47326052
BGR,SFH,2021-2030,Insulation,17.47326052
BGR,SFH,2031-2040,Insulation,17.47326052
BGR,SFH,2040<,Insulation,17.47326052
BGR,MFH,>1945,Insulation,3.520352606
BGR,MFH,1945-1969,Insulation,10.13109219
BGR,MFH,1970-1989,Insulation,12.83010603
BGR,MFH,1990-2010,Insulation,12.08391214
BGR,MFH,2011-2020,Insulation,15.17078186
BGR,MFH,2021-2030,Insulation,15.17078186
BGR,MFH,2031-2040,Insulation,15.17078186
BGR,MFH,2040<,Insulation,15.17078186
BGR,Ret,>1945,Insulation,7.065853659
BGR,Ret,1945-1969,Insulation,7.065853659
BGR,Ret,1970-1989,Insulation,32.68195122
BGR,Ret,1990-2010,Insulation,32.68195122
BGR,Ret,2011-2020,Insulation,22.55631613
BGR,Ret,2021-2030,Insulation,22.55631613
BGR,Ret,2031-2040,Insulation,22.55631613
BGR,Ret,2040<,Insulation,22.55631613
