Region,Steel product,Time,value
AUT,Concrete reinforcing bars in transport concrete,2020,0
AUT,Concrete reinforcing bars in transport concrete,2021,0
AUT,Concrete reinforcing bars in transport concrete,2022,0
AUT,Concrete reinforcing bars in transport concrete,2023,0
AUT,Concrete reinforcing bars in transport concrete,2024,0
AUT,Concrete reinforcing bars in transport concrete,2025,0
AUT,Concrete reinforcing bars in transport concrete,2026,0
AUT,Concrete reinforcing bars in transport concrete,2027,0
AUT,Concrete reinforcing bars in transport concrete,2028,0
AUT,Concrete reinforcing bars in transport concrete,2029,0
AUT,Concrete reinforcing bars in transport concrete,2030,0
AUT,Concrete reinforcing bars in transport concrete,2031,0
AUT,Concrete reinforcing bars in transport concrete,2032,0
AUT,Concrete reinforcing bars in transport concrete,2033,0
AUT,Concrete reinforcing bars in transport concrete,2034,0
AUT,Concrete reinforcing bars in transport concrete,2035,0
AUT,Concrete reinforcing bars in transport concrete,2036,0
AUT,Concrete reinforcing bars in transport concrete,2037,0
AUT,Concrete reinforcing bars in transport concrete,2038,0
AUT,Concrete reinforcing bars in transport concrete,2039,0
AUT,Concrete reinforcing bars in transport concrete,2040,0
AUT,Concrete reinforcing bars in transport concrete,2041,0
AUT,Concrete reinforcing bars in transport concrete,2042,0
AUT,Concrete reinforcing bars in transport concrete,2043,0
AUT,Concrete reinforcing bars in transport concrete,2044,0
AUT,Concrete reinforcing bars in transport concrete,2045,0
AUT,Concrete reinforcing bars in transport concrete,2046,0
AUT,Concrete reinforcing bars in transport concrete,2047,0
AUT,Concrete reinforcing bars in transport concrete,2048,0
AUT,Concrete reinforcing bars in transport concrete,2049,0
AUT,Concrete reinforcing bars in transport concrete,2050,0
AUT,Concrete reinforcing bars in precast concrete,2020,0
AUT,Concrete reinforcing bars in precast concrete,2021,0
AUT,Concrete reinforcing bars in precast concrete,2022,0
AUT,Concrete reinforcing bars in precast concrete,2023,0
AUT,Concrete reinforcing bars in precast concrete,2024,0
AUT,Concrete reinforcing bars in precast concrete,2025,0
AUT,Concrete reinforcing bars in precast concrete,2026,0
AUT,Concrete reinforcing bars in precast concrete,2027,0
AUT,Concrete reinforcing bars in precast concrete,2028,0
AUT,Concrete reinforcing bars in precast concrete,2029,0
AUT,Concrete reinforcing bars in precast concrete,2030,0
AUT,Concrete reinforcing bars in precast concrete,2031,0
AUT,Concrete reinforcing bars in precast concrete,2032,0
AUT,Concrete reinforcing bars in precast concrete,2033,0
AUT,Concrete reinforcing bars in precast concrete,2034,0
AUT,Concrete reinforcing bars in precast concrete,2035,0
AUT,Concrete reinforcing bars in precast concrete,2036,0
AUT,Concrete reinforcing bars in precast concrete,2037,0
AUT,Concrete reinforcing bars in precast concrete,2038,0
AUT,Concrete reinforcing bars in precast concrete,2039,0
AUT,Concrete reinforcing bars in precast concrete,2040,0
AUT,Concrete reinforcing bars in precast concrete,2041,0
AUT,Concrete reinforcing bars in precast concrete,2042,0
AUT,Concrete reinforcing bars in precast concrete,2043,0
AUT,Concrete reinforcing bars in precast concrete,2044,0
AUT,Concrete reinforcing bars in precast concrete,2045,0
AUT,Concrete reinforcing bars in precast concrete,2046,0
AUT,Concrete reinforcing bars in precast concrete,2047,0
AUT,Concrete reinforcing bars in precast concrete,2048,0
AUT,Concrete reinforcing bars in precast concrete,2049,0
AUT,Concrete reinforcing bars in precast concrete,2050,0
AUT,Hot rolled bars,2020,0
AUT,Hot rolled bars,2021,0
AUT,Hot rolled bars,2022,0
AUT,Hot rolled bars,2023,0
AUT,Hot rolled bars,2024,0
AUT,Hot rolled bars,2025,0
AUT,Hot rolled bars,2026,0
AUT,Hot rolled bars,2027,0
AUT,Hot rolled bars,2028,0
AUT,Hot rolled bars,2029,0
AUT,Hot rolled bars,2030,0
AUT,Hot rolled bars,2031,0
AUT,Hot rolled bars,2032,0
AUT,Hot rolled bars,2033,0
AUT,Hot rolled bars,2034,0
AUT,Hot rolled bars,2035,0
AUT,Hot rolled bars,2036,0
AUT,Hot rolled bars,2037,0
AUT,Hot rolled bars,2038,0
AUT,Hot rolled bars,2039,0
AUT,Hot rolled bars,2040,0
AUT,Hot rolled bars,2041,0
AUT,Hot rolled bars,2042,0
AUT,Hot rolled bars,2043,0
AUT,Hot rolled bars,2044,0
AUT,Hot rolled bars,2045,0
AUT,Hot rolled bars,2046,0
AUT,Hot rolled bars,2047,0
AUT,Hot rolled bars,2048,0
AUT,Hot rolled bars,2049,0
AUT,Hot rolled bars,2050,0
AUT,Wire rod,2020,0
AUT,Wire rod,2021,0
AUT,Wire rod,2022,0
AUT,Wire rod,2023,0
AUT,Wire rod,2024,0
AUT,Wire rod,2025,0
AUT,Wire rod,2026,0
AUT,Wire rod,2027,0
AUT,Wire rod,2028,0
AUT,Wire rod,2029,0
AUT,Wire rod,2030,0
AUT,Wire rod,2031,0
AUT,Wire rod,2032,0
AUT,Wire rod,2033,0
AUT,Wire rod,2034,0
AUT,Wire rod,2035,0
AUT,Wire rod,2036,0
AUT,Wire rod,2037,0
AUT,Wire rod,2038,0
AUT,Wire rod,2039,0
AUT,Wire rod,2040,0
AUT,Wire rod,2041,0
AUT,Wire rod,2042,0
AUT,Wire rod,2043,0
AUT,Wire rod,2044,0
AUT,Wire rod,2045,0
AUT,Wire rod,2046,0
AUT,Wire rod,2047,0
AUT,Wire rod,2048,0
AUT,Wire rod,2049,0
AUT,Wire rod,2050,0
AUT,Railway track material,2020,0
AUT,Railway track material,2021,0
AUT,Railway track material,2022,0
AUT,Railway track material,2023,0
AUT,Railway track material,2024,0
AUT,Railway track material,2025,0
AUT,Railway track material,2026,0
AUT,Railway track material,2027,0
AUT,Railway track material,2028,0
AUT,Railway track material,2029,0
AUT,Railway track material,2030,0
AUT,Railway track material,2031,0
AUT,Railway track material,2032,0
AUT,Railway track material,2033,0
AUT,Railway track material,2034,0
AUT,Railway track material,2035,0
AUT,Railway track material,2036,0
AUT,Railway track material,2037,0
AUT,Railway track material,2038,0
AUT,Railway track material,2039,0
AUT,Railway track material,2040,0
AUT,Railway track material,2041,0
AUT,Railway track material,2042,0
AUT,Railway track material,2043,0
AUT,Railway track material,2044,0
AUT,Railway track material,2045,0
AUT,Railway track material,2046,0
AUT,Railway track material,2047,0
AUT,Railway track material,2048,0
AUT,Railway track material,2049,0
AUT,Railway track material,2050,0
AUT,Heavy sections,2020,0
AUT,Heavy sections,2021,0
AUT,Heavy sections,2022,0
AUT,Heavy sections,2023,0
AUT,Heavy sections,2024,0
AUT,Heavy sections,2025,0
AUT,Heavy sections,2026,0
AUT,Heavy sections,2027,0
AUT,Heavy sections,2028,0
AUT,Heavy sections,2029,0
AUT,Heavy sections,2030,0
AUT,Heavy sections,2031,0
AUT,Heavy sections,2032,0
AUT,Heavy sections,2033,0
AUT,Heavy sections,2034,0
AUT,Heavy sections,2035,0
AUT,Heavy sections,2036,0
AUT,Heavy sections,2037,0
AUT,Heavy sections,2038,0
AUT,Heavy sections,2039,0
AUT,Heavy sections,2040,0
AUT,Heavy sections,2041,0
AUT,Heavy sections,2042,0
AUT,Heavy sections,2043,0
AUT,Heavy sections,2044,0
AUT,Heavy sections,2045,0
AUT,Heavy sections,2046,0
AUT,Heavy sections,2047,0
AUT,Heavy sections,2048,0
AUT,Heavy sections,2049,0
AUT,Heavy sections,2050,0
AUT,Light sections,2020,0
AUT,Light sections,2021,0
AUT,Light sections,2022,0
AUT,Light sections,2023,0
AUT,Light sections,2024,0
AUT,Light sections,2025,0
AUT,Light sections,2026,0
AUT,Light sections,2027,0
AUT,Light sections,2028,0
AUT,Light sections,2029,0
AUT,Light sections,2030,0
AUT,Light sections,2031,0
AUT,Light sections,2032,0
AUT,Light sections,2033,0
AUT,Light sections,2034,0
AUT,Light sections,2035,0
AUT,Light sections,2036,0
AUT,Light sections,2037,0
AUT,Light sections,2038,0
AUT,Light sections,2039,0
AUT,Light sections,2040,0
AUT,Light sections,2041,0
AUT,Light sections,2042,0
AUT,Light sections,2043,0
AUT,Light sections,2044,0
AUT,Light sections,2045,0
AUT,Light sections,2046,0
AUT,Light sections,2047,0
AUT,Light sections,2048,0
AUT,Light sections,2049,0
AUT,Light sections,2050,0
AUT,Seamless tubes,2020,0
AUT,Seamless tubes,2021,0
AUT,Seamless tubes,2022,0
AUT,Seamless tubes,2023,0
AUT,Seamless tubes,2024,0
AUT,Seamless tubes,2025,0
AUT,Seamless tubes,2026,0
AUT,Seamless tubes,2027,0
AUT,Seamless tubes,2028,0
AUT,Seamless tubes,2029,0
AUT,Seamless tubes,2030,0
AUT,Seamless tubes,2031,0
AUT,Seamless tubes,2032,0
AUT,Seamless tubes,2033,0
AUT,Seamless tubes,2034,0
AUT,Seamless tubes,2035,0
AUT,Seamless tubes,2036,0
AUT,Seamless tubes,2037,0
AUT,Seamless tubes,2038,0
AUT,Seamless tubes,2039,0
AUT,Seamless tubes,2040,0
AUT,Seamless tubes,2041,0
AUT,Seamless tubes,2042,0
AUT,Seamless tubes,2043,0
AUT,Seamless tubes,2044,0
AUT,Seamless tubes,2045,0
AUT,Seamless tubes,2046,0
AUT,Seamless tubes,2047,0
AUT,Seamless tubes,2048,0
AUT,Seamless tubes,2049,0
AUT,Seamless tubes,2050,0
AUT,Hot rolled plate,2020,0
AUT,Hot rolled plate,2021,0
AUT,Hot rolled plate,2022,0
AUT,Hot rolled plate,2023,0
AUT,Hot rolled plate,2024,0
AUT,Hot rolled plate,2025,0
AUT,Hot rolled plate,2026,0
AUT,Hot rolled plate,2027,0
AUT,Hot rolled plate,2028,0
AUT,Hot rolled plate,2029,0
AUT,Hot rolled plate,2030,0
AUT,Hot rolled plate,2031,0
AUT,Hot rolled plate,2032,0
AUT,Hot rolled plate,2033,0
AUT,Hot rolled plate,2034,0
AUT,Hot rolled plate,2035,0
AUT,Hot rolled plate,2036,0
AUT,Hot rolled plate,2037,0
AUT,Hot rolled plate,2038,0
AUT,Hot rolled plate,2039,0
AUT,Hot rolled plate,2040,0
AUT,Hot rolled plate,2041,0
AUT,Hot rolled plate,2042,0
AUT,Hot rolled plate,2043,0
AUT,Hot rolled plate,2044,0
AUT,Hot rolled plate,2045,0
AUT,Hot rolled plate,2046,0
AUT,Hot rolled plate,2047,0
AUT,Hot rolled plate,2048,0
AUT,Hot rolled plate,2049,0
AUT,Hot rolled plate,2050,0
AUT,"Hot rolled ,coil, sheet and strip",2020,0
