Time,Region,Glass product,value
2020,AUT,Flat glass,0.0
2020,AUT,Container glass,0.0
2020,AUT,Other glass,0.0
2020,BEL,Flat glass,0.0
2020,BEL,Container glass,0.0
2020,BEL,Other glass,0.0
2020,BGR,Flat glass,0.0
2020,BGR,Container glass,0.0
2020,BGR,Other glass,0.0
2020,CYP,Flat glass,0.0
2020,CYP,Container glass,0.0
2020,CYP,Other glass,0.0
2020,CZE,Flat glass,0.0
2020,CZE,Container glass,0.0
2020,CZE,Other glass,0.0
2020,DEU,Flat glass,0.0
2020,DEU,Container glass,0.0
2020,DEU,Other glass,0.0
2020,DNK,Flat glass,0.0
2020,DNK,Container glass,0.0
2020,DNK,Other glass,0.0
2020,ESP,Flat glass,0.0
2020,ESP,Container glass,0.0
2020,ESP,Other glass,0.0
2020,EST,Flat glass,0.0
2020,EST,Container glass,0.0
2020,EST,Other glass,0.0
2020,FIN,Flat glass,0.0
2020,FIN,Container glass,0.0
2020,FIN,Other glass,0.0
2020,FRA,Flat glass,0.0
2020,FRA,Container glass,0.0
2020,FRA,Other glass,0.0
2020,GBR,Flat glass,0.0
2020,GBR,Container glass,0.0
2020,GBR,Other glass,0.0
2020,GRC,Flat glass,0.0
2020,GRC,Container glass,0.0
2020,GRC,Other glass,0.0
2020,HRV,Flat glass,0.0
2020,HRV,Container glass,0.0
2020,HRV,Other glass,0.0
2020,HUN,Flat glass,0.0
2020,HUN,Container glass,0.0
2020,HUN,Other glass,0.0
2020,IRL,Flat glass,0.0
2020,IRL,Container glass,0.0
2020,IRL,Other glass,0.0
2020,ITA,Flat glass,0.0
2020,ITA,Container glass,0.0
2020,ITA,Other glass,0.0
2020,LTU,Flat glass,0.0
2020,LTU,Container glass,0.0
2020,LTU,Other glass,0.0
2020,LUX,Flat glass,0.0
2020,LUX,Container glass,0.0
2020,LUX,Other glass,0.0
2020,LVA,Flat glass,0.0
2020,LVA,Container glass,0.0
2020,LVA,Other glass,0.0
2020,MLT,Flat glass,0.0
2020,MLT,Container glass,0.0
2020,MLT,Other glass,0.0
2020,NLD,Flat glass,0.0
2020,NLD,Container glass,0.0
2020,NLD,Other glass,0.0
2020,POL,Flat glass,0.0
2020,POL,Container glass,0.0
2020,POL,Other glass,0.0
2020,PRT,Flat glass,0.0
2020,PRT,Container glass,0.0
2020,PRT,Other glass,0.0
2020,ROU,Flat glass,0.0
2020,ROU,Container glass,0.0
2020,ROU,Other glass,0.0
2020,SVK,Flat glass,0.0
2020,SVK,Container glass,0.0
2020,SVK,Other glass,0.0
2020,SVN,Flat glass,0.0
2020,SVN,Container glass,0.0
2020,SVN,Other glass,0.0
2020,SWE,Flat glass,0.0
2020,SWE,Container glass,0.0
2020,SWE,Other glass,0.0
2021,AUT,Flat glass,6694975.25989981
2021,AUT,Container glass,0.0
2021,AUT,Other glass,0.0
2021,BEL,Flat glass,5255779.580445883
2021,BEL,Container glass,0.0
2021,BEL,Other glass,0.0
2021,BGR,Flat glass,4368527.804333801
2021,BGR,Container glass,0.0
2021,BGR,Other glass,0.0
2021,CYP,Flat glass,272916.33318906056
2021,CYP,Container glass,0.0
2021,CYP,Other glass,0.0
2021,CZE,Flat glass,4317392.669444048
2021,CZE,Container glass,0.0
2021,CZE,Other glass,0.0
2021,DEU,Flat glass,94579382.55778402
2021,DEU,Container glass,0.0
2021,DEU,Other glass,0.0
2021,DNK,Flat glass,3973213.4472415806
2021,DNK,Container glass,0.0
2021,DNK,Other glass,0.0
2021,ESP,Flat glass,18038461.69308075
2021,ESP,Container glass,0.0
2021,ESP,Other glass,0.0
2021,EST,Flat glass,766854.1469497307
2021,EST,Container glass,0.0
2021,EST,Other glass,0.0
2021,FIN,Flat glass,2602886.014414075
2021,FIN,Container glass,0.0
2021,FIN,Other glass,0.0
