Time,Region,Insulation product,value
2020,AUT,Insulation,0.0
2020,AUT,Insulation (Exterior wall),0.0
2020,AUT,Insulation (Roof),0.0
2020,AUT,Insulation (Floor),0.0
2020,AUT,Insulation (Basement),0.0
2020,BEL,Insulation,0.0
2020,BEL,Insulation (Exterior wall),0.0
2020,BEL,Insulation (Roof),0.0
2020,BEL,Insulation (Floor),0.0
2020,BEL,Insulation (Basement),0.0
2020,BGR,Insulation,0.0
2020,BGR,Insulation (Exterior wall),0.0
2020,BGR,Insulation (Roof),0.0
2020,BGR,Insulation (Floor),0.0
2020,BGR,Insulation (Basement),0.0
2020,CYP,Insulation,0.0
2020,CYP,Insulation (Exterior wall),0.0
2020,CYP,Insulation (Roof),0.0
2020,CYP,Insulation (Floor),0.0
2020,CYP,Insulation (Basement),0.0
2020,CZE,Insulation,0.0
2020,CZE,Insulation (Exterior wall),0.0
2020,CZE,Insulation (Roof),0.0
2020,CZE,Insulation (Floor),0.0
2020,CZE,Insulation (Basement),0.0
2020,DEU,Insulation,0.0
2020,DEU,Insulation (Exterior wall),0.0
2020,DEU,Insulation (Roof),0.0
2020,DEU,Insulation (Floor),0.0
2020,DEU,Insulation (Basement),0.0
2020,DNK,Insulation,0.0
2020,DNK,Insulation (Exterior wall),0.0
2020,DNK,Insulation (Roof),0.0
2020,DNK,Insulation (Floor),0.0
2020,DNK,Insulation (Basement),0.0
2020,ESP,Insulation,0.0
2020,ESP,Insulation (Exterior wall),0.0
2020,ESP,Insulation (Roof),0.0
2020,ESP,Insulation (Floor),0.0
2020,ESP,Insulation (Basement),0.0
2020,EST,Insulation,0.0
2020,EST,Insulation (Exterior wall),0.0
2020,EST,Insulation (Roof),0.0
2020,EST,Insulation (Floor),0.0
2020,EST,Insulation (Basement),0.0
2020,FIN,Insulation,0.0
2020,FIN,Insulation (Exterior wall),0.0
2020,FIN,Insulation (Roof),0.0
2020,FIN,Insulation (Floor),0.0
2020,FIN,Insulation (Basement),0.0
2020,FRA,Insulation,0.0
2020,FRA,Insulation (Exterior wall),0.0
2020,FRA,Insulation (Roof),0.0
2020,FRA,Insulation (Floor),0.0
2020,FRA,Insulation (Basement),0.0
2020,GBR,Insulation,0.0
2020,GBR,Insulation (Exterior wall),0.0
2020,GBR,Insulation (Roof),0.0
2020,GBR,Insulation (Floor),0.0
2020,GBR,Insulation (Basement),0.0
2020,GRC,Insulation,0.0
2020,GRC,Insulation (Exterior wall),0.0
2020,GRC,Insulation (Roof),0.0
2020,GRC,Insulation (Floor),0.0
2020,GRC,Insulation (Basement),0.0
2020,HRV,Insulation,0.0
2020,HRV,Insulation (Exterior wall),0.0
2020,HRV,Insulation (Roof),0.0
2020,HRV,Insulation (Floor),0.0
2020,HRV,Insulation (Basement),0.0
2020,HUN,Insulation,0.0
2020,HUN,Insulation (Exterior wall),0.0
2020,HUN,Insulation (Roof),0.0
2020,HUN,Insulation (Floor),0.0
2020,HUN,Insulation (Basement),0.0
2020,IRL,Insulation,0.0
2020,IRL,Insulation (Exterior wall),0.0
2020,IRL,Insulation (Roof),0.0
2020,IRL,Insulation (Floor),0.0
2020,IRL,Insulation (Basement),0.0
2020,ITA,Insulation,0.0
2020,ITA,Insulation (Exterior wall),0.0
2020,ITA,Insulation (Roof),0.0
2020,ITA,Insulation (Floor),0.0
2020,ITA,Insulation (Basement),0.0
2020,LTU,Insulation,0.0
2020,LTU,Insulation (Exterior wall),0.0
2020,LTU,Insulation (Roof),0.0
2020,LTU,Insulation (Floor),0.0
2020,LTU,Insulation (Basement),0.0
2020,LUX,Insulation,0.0
2020,LUX,Insulation (Exterior wall),0.0
2020,LUX,Insulation (Roof),0.0
2020,LUX,Insulation (Floor),0.0
2020,LUX,Insulation (Basement),0.0
2020,LVA,Insulation,0.0
2020,LVA,Insulation (Exterior wall),0.0
2020,LVA,Insulation (Roof),0.0
2020,LVA,Insulation (Floor),0.0
2020,LVA,Insulation (Basement),0.0
2020,MLT,Insulation,0.0
2020,MLT,Insulation (Exterior wall),0.0
2020,MLT,Insulation (Roof),0.0
2020,MLT,Insulation (Floor),0.0
2020,MLT,Insulation (Basement),0.0
2020,NLD,Insulation,0.0
2020,NLD,Insulation (Exterior wall),0.0
2020,NLD,Insulation (Roof),0.0
2020,NLD,Insulation (Floor),0.0
2020,NLD,Insulation (Basement),0.0
2020,POL,Insulation,0.0
2020,POL,Insulation (Exterior wall),0.0
2020,POL,Insulation (Roof),0.0
2020,POL,Insulation (Floor),0.0
2020,POL,Insulation (Basement),0.0
2020,PRT,Insulation,0.0
2020,PRT,Insulation (Exterior wall),0.0
2020,PRT,Insulation (Roof),0.0
2020,PRT,Insulation (Floor),0.0
2020,PRT,Insulation (Basement),0.0
2020,ROU,Insulation,0.0
2020,ROU,Insulation (Exterior wall),0.0
2020,ROU,Insulation (Roof),0.0
2020,ROU,Insulation (Floor),0.0
2020,ROU,Insulation (Basement),0.0
2020,SVK,Insulation,0.0
2020,SVK,Insulation (Exterior wall),0.0
2020,SVK,Insulation (Roof),0.0
2020,SVK,Insulation (Floor),0.0
2020,SVK,Insulation (Basement),0.0
2020,SVN,Insulation,0.0
2020,SVN,Insulation (Exterior wall),0.0
2020,SVN,Insulation (Roof),0.0
2020,SVN,Insulation (Floor),0.0
2020,SVN,Insulation (Basement),0.0
2020,SWE,Insulation,0.0
2020,SWE,Insulation (Exterior wall),0.0
2020,SWE,Insulation (Roof),0.0
2020,SWE,Insulation (Floor),0.0
2020,SWE,Insulation (Basement),0.0
2021,AUT,Insulation,-15332339.705415776
2021,AUT,Insulation (Exterior wall),0.0
2021,AUT,Insulation (Roof),0.0
2021,AUT,Insulation (Floor),0.0
2021,AUT,Insulation (Basement),0.0
2021,BEL,Insulation,-11936784.30156506
2021,BEL,Insulation (Exterior wall),0.0
2021,BEL,Insulation (Roof),0.0
2021,BEL,Insulation (Floor),0.0
2021,BEL,Insulation (Basement),0.0
2021,BGR,Insulation,-11721558.557152359
2021,BGR,Insulation (Exterior wall),0.0
2021,BGR,Insulation (Roof),0.0
2021,BGR,Insulation (Floor),0.0
2021,BGR,Insulation (Basement),0.0
2021,CYP,Insulation,-591075.8447541572
2021,CYP,Insulation (Exterior wall),0.0
2021,CYP,Insulation (Roof),0.0
2021,CYP,Insulation (Floor),0.0
2021,CYP,Insulation (Basement),0.0
2021,CZE,Insulation,-12075361.536528863
2021,CZE,Insulation (Exterior wall),0.0
2021,CZE,Insulation (Roof),0.0
2021,CZE,Insulation (Floor),0.0
2021,CZE,Insulation (Basement),0.0
2021,DEU,Insulation,-206927293.32007128
2021,DEU,Insulation (Exterior wall),0.0
2021,DEU,Insulation (Roof),0.0
2021,DEU,Insulation (Floor),0.0
2021,DEU,Insulation (Basement),0.0
2021,DNK,Insulation,0.0
2021,DNK,Insulation (Exterior wall),0.0
2021,DNK,Insulation (Roof),0.0
2021,DNK,Insulation (Floor),0.0
2021,DNK,Insulation (Basement),0.0
2021,ESP,Insulation,-22502749.504882988
2021,ESP,Insulation (Exterior wall),0.0
2021,ESP,Insulation (Roof),0.0
2021,ESP,Insulation (Floor),0.0
2021,ESP,Insulation (Basement),0.0
2021,EST,Insulation,-1743419.7478242833
2021,EST,Insulation (Exterior wall),0.0
2021,EST,Insulation (Roof),0.0
2021,EST,Insulation (Floor),0.0
2021,EST,Insulation (Basement),0.0
2021,FIN,Insulation,-6474761.301513391
2021,FIN,Insulation (Exterior wall),0.0
2021,FIN,Insulation (Roof),0.0
2021,FIN,Insulation (Floor),0.0
2021,FIN,Insulation (Basement),0.0
2021,FRA,Insulation,-69888722.53955428
2021,FRA,Insulation (Exterior wall),0.0
2021,FRA,Insulation (Roof),0.0
2021,FRA,Insulation (Floor),0.0
2021,FRA,Insulation (Basement),0.0
2021,GBR,Insulation,-72614657.16894378
2021,GBR,Insulation (Exterior wall),0.0
2021,GBR,Insulation (Roof),0.0
2021,GBR,Insulation (Floor),0.0
2021,GBR,Insulation (Basement),0.0
2021,GRC,Insulation,-9740296.033060726
2021,GRC,Insulation (Exterior wall),0.0
2021,GRC,Insulation (Roof),0.0
2021,GRC,Insulation (Floor),0.0
2021,GRC,Insulation (Basement),0.0
2021,HRV,Insulation,-7319423.844302437
2021,HRV,Insulation (Exterior wall),0.0
2021,HRV,Insulation (Roof),0.0
2021,HRV,Insulation (Floor),0.0
2021,HRV,Insulation (Basement),0.0
2021,HUN,Insulation,-16833563.018004436
2021,HUN,Insulation (Exterior wall),0.0
2021,HUN,Insulation (Roof),0.0
2021,HUN,Insulation (Floor),0.0
2021,HUN,Insulation (Basement),0.0
2021,IRL,Insulation,-4304943.776459704
2021,IRL,Insulation (Exterior wall),0.0
2021,IRL,Insulation (Roof),0.0
2021,IRL,Insulation (Floor),0.0
2021,IRL,Insulation (Basement),0.0
2021,ITA,Insulation,-84428223.30665556
2021,ITA,Insulation (Exterior wall),0.0
2021,ITA,Insulation (Roof),0.0
2021,ITA,Insulation (Floor),0.0
2021,ITA,Insulation (Basement),0.0
2021,LTU,Insulation,-8570181.233819932
2021,LTU,Insulation (Exterior wall),0.0
2021,LTU,Insulation (Roof),0.0
2021,LTU,Insulation (Floor),0.0
2021,LTU,Insulation (Basement),0.0
2021,LUX,Insulation,-1089900.3538521954
2021,LUX,Insulation (Exterior wall),0.0
2021,LUX,Insulation (Roof),0.0
2021,LUX,Insulation (Floor),0.0
2021,LUX,Insulation (Basement),0.0
