Concrete product simple;Concrete product;Value
Transport concrete;Transport concrete (not reinforced);0.001
Transport concrete;Precast concrete (not reinforced);0
Transport concrete;Transport concrete (reinforced);0.001
Transport concrete;Precast concrete (reinforced);0
Transport concrete;Transport concrete (reinforced)_Exterior wall;0.001
Transport concrete;Transport concrete (reinforced)_Interior load-bearing wall;0.001
Transport concrete;Transport concrete (reinforced)_Interior wall;0.001
Transport concrete;Transport concrete (reinforced)_Roof;0.001
Transport concrete;Transport concrete (reinforced)_Floor;0.001
Transport concrete;Transport concrete (reinforced)_Basement wall;0.001
Transport concrete;Transport concrete (reinforced)_Basement ceiling;0.001
Transport concrete;Transport concrete (reinforced)_Basement ground floor;0.001
Transport concrete;Transport concrete (reinforced)_Foundation;0.001
Transport concrete;Transport concrete (not reinforced)_Exterior wall;0.001
Transport concrete;Transport concrete (not reinforced)_Interior load-bearing wall;0.001
Transport concrete;Transport concrete (not reinforced)_Interior wall;0.001
Transport concrete;Transport concrete (not reinforced)_Roof;0.001
Transport concrete;Transport concrete (not reinforced)_Floor;0.001
Transport concrete;Transport concrete (not reinforced)_Basement wall;0.001
Transport concrete;Transport concrete (not reinforced)_Basement ceiling;0.001
Transport concrete;Transport concrete (not reinforced)_Basement ground floor;0.001
Transport concrete;Transport concrete (not reinforced)_Foundation;0.001
Transport concrete;Precast concrete (reinforced)_Exterior wall;0
Transport concrete;Precast concrete (reinforced)_Interior load-bearing wall;0
Transport concrete;Precast concrete (reinforced)_Interior wall;0
Transport concrete;Precast concrete (reinforced)_Roof;0
Transport concrete;Precast concrete (reinforced)_Floor;0
Transport concrete;Precast concrete (reinforced)_Basement wall;0
Transport concrete;Precast concrete (reinforced)_Basement ceiling;0
Transport concrete;Precast concrete (reinforced)_Basement ground floor;0
Transport concrete;Precast concrete (reinforced)_Foundation;0
Transport concrete;Precast concrete (not reinforced)_Exterior wall;0
Transport concrete;Precast concrete (not reinforced)_Interior load-bearing wall;0
Transport concrete;Precast concrete (not reinforced)_Interior wall;0
Transport concrete;Precast concrete (not reinforced)_Roof;0
Transport concrete;Precast concrete (not reinforced)_Floor;0
Transport concrete;Precast concrete (not reinforced)_Basement wall;0
Transport concrete;Precast concrete (not reinforced)_Basement ceiling;0
Transport concrete;Precast concrete (not reinforced)_Basement ground floor;0
Transport concrete;Precast concrete (not reinforced)_Foundation;0
Precast concrete;Transport concrete (not reinforced);0
Precast concrete;Precast concrete (not reinforced);0.001
Precast concrete;Transport concrete (reinforced);0
Precast concrete;Precast concrete (reinforced);0.001
Precast concrete;Transport concrete (reinforced)_Exterior wall;0
Precast concrete;Transport concrete (reinforced)_Interior load-bearing wall;0
Precast concrete;Transport concrete (reinforced)_Interior wall;0
Precast concrete;Transport concrete (reinforced)_Roof;0
Precast concrete;Transport concrete (reinforced)_Floor;0
Precast concrete;Transport concrete (reinforced)_Basement wall;0
Precast concrete;Transport concrete (reinforced)_Basement ceiling;0
Precast concrete;Transport concrete (reinforced)_Basement ground floor;0
Precast concrete;Transport concrete (reinforced)_Foundation;0
Precast concrete;Transport concrete (not reinforced)_Exterior wall;0
Precast concrete;Transport concrete (not reinforced)_Interior load-bearing wall;0
Precast concrete;Transport concrete (not reinforced)_Interior wall;0
Precast concrete;Transport concrete (not reinforced)_Roof;0
Precast concrete;Transport concrete (not reinforced)_Floor;0
Precast concrete;Transport concrete (not reinforced)_Basement wall;0
Precast concrete;Transport concrete (not reinforced)_Basement ceiling;0
Precast concrete;Transport concrete (not reinforced)_Basement ground floor;0
Precast concrete;Transport concrete (not reinforced)_Foundation;0
Precast concrete;Precast concrete (reinforced)_Exterior wall;0.001
Precast concrete;Precast concrete (reinforced)_Interior load-bearing wall;0.001
Precast concrete;Precast concrete (reinforced)_Interior wall;0.001
Precast concrete;Precast concrete (reinforced)_Roof;0.001
Precast concrete;Precast concrete (reinforced)_Floor;0.001
Precast concrete;Precast concrete (reinforced)_Basement wall;0.001
Precast concrete;Precast concrete (reinforced)_Basement ceiling;0.001
Precast concrete;Precast concrete (reinforced)_Basement ground floor;0.001
Precast concrete;Precast concrete (reinforced)_Foundation;0.001
Precast concrete;Precast concrete (not reinforced)_Exterior wall;0.001
Precast concrete;Precast concrete (not reinforced)_Interior load-bearing wall;0.001
Precast concrete;Precast concrete (not reinforced)_Interior wall;0.001
Precast concrete;Precast concrete (not reinforced)_Roof;0.001
Precast concrete;Precast concrete (not reinforced)_Floor;0.001
Precast concrete;Precast concrete (not reinforced)_Basement wall;0.001
Precast concrete;Precast concrete (not reinforced)_Basement ceiling;0.001
Precast concrete;Precast concrete (not reinforced)_Basement ground floor;0.001
Precast concrete;Precast concrete (not reinforced)_Foundation;0.001
