Year,Region simple,Cement product,Value
1950,EU28,Cement,1417221000
1951,EU28,Cement,1417221000
1952,EU28,Cement,1417221000
1953,EU28,Cement,1417221000
1954,EU28,Cement,1417221000
1955,EU28,Cement,1417221000
1956,EU28,Cement,1417221000
1957,EU28,Cement,1417221000
1958,EU28,Cement,1417221000
1959,EU28,Cement,1417221000
1960,EU28,Cement,1417221000
1961,EU28,Cement,1417221000
1962,EU28,Cement,1215231000
1963,EU28,Cement,126872000
1964,EU28,Cement,145559000
1965,EU28,Cement,150800000
1966,EU28,Cement,157507000
1967,EU28,Cement,165043000
1968,EU28,Cement,1715601000
1969,EU28,Cement,183826000
1970,EU28,Cement,1913201000
1971,EU28,Cement,200300000
1972,EU28,Cement,2318351000
1973,EU28,Cement,224366000
1974,EU28,Cement,2212941000
1975,EU28,Cement,2516951000
1976,EU28,Cement,207034163.6
1977,EU28,Cement,232085000
1978,EU28,Cement,2410321000
1979,EU28,Cement,240827000
1980,EU28,Cement,2319611000
1981,EU28,Cement,229400000
1982,EU28,Cement,223565000
1983,EU28,Cement,222035000
1984,EU28,Cement,2341000
1985,EU28,Cement,198274000
1986,EU28,Cement,203297000
1987,EU28,Cement,2015691000
1988,EU28,Cement,2615391000
1989,EU28,Cement,225253000
1990,EU28,Cement,230024175
1991,EU28,Cement,2210611120
1992,EU28,Cement,2716501000
1993,EU28,Cement,2013571000
1994,EU28,Cement,2414301000
1995,EU28,Cement,2318461000
1996,EU28,Cement,212771000
1997,EU28,Cement,2810961000
1998,EU28,Cement,227839000
1999,EU28,Cement,235343000
2000,EU28,Cement,238885000
2001,EU28,Cement,228932700
2002,EU28,Cement,2218671400
2003,EU28,Cement,234735600
2004,EU28,Cement,243803000
2005,EU28,Cement,215521000
2006,EU28,Cement,268428000
2007,EU28,Cement,274620000
2008,EU28,Cement,2515391100
2009,EU28,Cement,204037100
2010,EU28,Cement,1914571309.10
2011,EU28,Cement,1916661122.10
2012,EU28,Cement,1718721899.70
2013,EU28,Cement,170234126.8
2014,EU28,Cement,175370652.7
2015,EU28,Cement,1713251318.90
2016,EU28,Cement,117441213.50
2017,EU28,Cement,177405298
2018,EU28,Cement,1718531139.80
2019,EU28,Cement,118401325.80
2020,EU28,Cement,175689983
2021,EU28,Cement,182333789
2022,EU28,Cement,178325882
2023,EU28,Cement,0
2024,EU28,Cement,0
2025,EU28,Cement,0
2026,EU28,Cement,0
2027,EU28,Cement,0
2028,EU28,Cement,0
2029,EU28,Cement,0
2030,EU28,Cement,0
2031,EU28,Cement,0
2032,EU28,Cement,0
2033,EU28,Cement,0
2034,EU28,Cement,0
2035,EU28,Cement,0
2036,EU28,Cement,0
2037,EU28,Cement,0
2038,EU28,Cement,0
2039,EU28,Cement,0
2040,EU28,Cement,0
2041,EU28,Cement,0
2042,EU28,Cement,0
2043,EU28,Cement,0
2044,EU28,Cement,0
2045,EU28,Cement,0
2046,EU28,Cement,0
2047,EU28,Cement,0
2048,EU28,Cement,0
2049,EU28,Cement,0
2050,EU28,Cement,0
