Time,Cement product,Clinker product,Value
1950,Cement,Clinker,0.7
1951,Cement,Clinker,0.7
1952,Cement,Clinker,0.7
1953,Cement,Clinker,0.7
1954,Cement,Clinker,0.7
1955,Cement,Clinker,0.7
1956,Cement,Clinker,0.7
1957,Cement,Clinker,0.7
1958,Cement,Clinker,0.7
1959,Cement,Clinker,0.7
1960,Cement,Clinker,0.7
1961,Cement,Clinker,0.7
1962,Cement,Clinker,0.7
1963,Cement,Clinker,0.7
1964,Cement,Clinker,0.7
1965,Cement,Clinker,0.7
1966,Cement,Clinker,0.7
1967,Cement,Clinker,0.7
1968,Cement,Clinker,0.7
1969,Cement,Clinker,0.7
1970,Cement,Clinker,0.7
1971,Cement,Clinker,0.7
1972,Cement,Clinker,0.7
1973,Cement,Clinker,0.7
1974,Cement,Clinker,0.7
1975,Cement,Clinker,0.7
1976,Cement,Clinker,0.7
1977,Cement,Clinker,0.7
1978,Cement,Clinker,0.7
1979,Cement,Clinker,0.7
1980,Cement,Clinker,0.7
1981,Cement,Clinker,0.7
1982,Cement,Clinker,0.7
1983,Cement,Clinker,0.7
1984,Cement,Clinker,0.7
1985,Cement,Clinker,0.7
1986,Cement,Clinker,0.7
1987,Cement,Clinker,0.7
1988,Cement,Clinker,0.7
1989,Cement,Clinker,0.7
1990,Cement,Clinker,0.7
1991,Cement,Clinker,0.7
1992,Cement,Clinker,0.7
1993,Cement,Clinker,0.7
1994,Cement,Clinker,0.7
1995,Cement,Clinker,0.7
1996,Cement,Clinker,0.7
1997,Cement,Clinker,0.7
1998,Cement,Clinker,0.7
1999,Cement,Clinker,0.7
2000,Cement,Clinker,0.7
2001,Cement,Clinker,0.7
2002,Cement,Clinker,0.7
2003,Cement,Clinker,0.7
2004,Cement,Clinker,0.7
2005,Cement,Clinker,0.7
2006,Cement,Clinker,0.7
2007,Cement,Clinker,0.7
2008,Cement,Clinker,0.7
2009,Cement,Clinker,0.7
2010,Cement,Clinker,0.7
2011,Cement,Clinker,0.7
2012,Cement,Clinker,0.7
2013,Cement,Clinker,0.7
2014,Cement,Clinker,0.7
2015,Cement,Clinker,0.7
2016,Cement,Clinker,0.7
2017,Cement,Clinker,0.7
2018,Cement,Clinker,0.7
2019,Cement,Clinker,0.7
2020,Cement,Clinker,0.7
2021,Cement,Clinker,0.7
2022,Cement,Clinker,0.7
2023,Cement,Clinker,0.7
2024,Cement,Clinker,0.7
2025,Cement,Clinker,0.7
2026,Cement,Clinker,0.7
2027,Cement,Clinker,0.7
2028,Cement,Clinker,0.7
2029,Cement,Clinker,0.7
2030,Cement,Clinker,0.7
2031,Cement,Clinker,0.7
2032,Cement,Clinker,0.7
2033,Cement,Clinker,0.7
2034,Cement,Clinker,0.7
2035,Cement,Clinker,0.7
2036,Cement,Clinker,0.7
2037,Cement,Clinker,0.7
2038,Cement,Clinker,0.7
2039,Cement,Clinker,0.7
2040,Cement,Clinker,0.7
2041,Cement,Clinker,0.7
2042,Cement,Clinker,0.7
2043,Cement,Clinker,0.7
2044,Cement,Clinker,0.7
2045,Cement,Clinker,0.7
2046,Cement,Clinker,0.7
2047,Cement,Clinker,0.7
2048,Cement,Clinker,0.7
2049,Cement,Clinker,0.7
2050,Cement,Clinker,0.7
