Concrete product simple,End use sector,Time,Value
Transport concrete,Infrastructure,1950,0.387676301
Transport concrete,Infrastructure,1951,0.387676301
Transport concrete,Infrastructure,1952,0.387676301
Transport concrete,Infrastructure,1953,0.387676301
Transport concrete,Infrastructure,1954,0.387676301
Transport concrete,Infrastructure,1955,0.387676301
Transport concrete,Infrastructure,1956,0.387676301
Transport concrete,Infrastructure,1957,0.387676301
Transport concrete,Infrastructure,1958,0.387676301
Transport concrete,Infrastructure,1959,0.387676301
Transport concrete,Infrastructure,1960,0.387676301
Transport concrete,Infrastructure,1961,0.387676301
Transport concrete,Infrastructure,1962,0.387676301
Transport concrete,Infrastructure,1963,0.387676301
Transport concrete,Infrastructure,1964,0.387676301
Transport concrete,Infrastructure,1965,0.387676301
Transport concrete,Infrastructure,1966,0.387676301
Transport concrete,Infrastructure,1967,0.387676301
Transport concrete,Infrastructure,1968,0.387676301
Transport concrete,Infrastructure,1969,0.387676301
Transport concrete,Infrastructure,1970,0.387676301
Transport concrete,Infrastructure,1971,0.387676301
Transport concrete,Infrastructure,1972,0.387676301
Transport concrete,Infrastructure,1973,0.387676301
Transport concrete,Infrastructure,1974,0.387676301
Transport concrete,Infrastructure,1975,0.387676301
Transport concrete,Infrastructure,1976,0.387676301
Transport concrete,Infrastructure,1977,0.387676301
Transport concrete,Infrastructure,1978,0.387676301
Transport concrete,Infrastructure,1979,0.387676301
Transport concrete,Infrastructure,1980,0.387676301
Transport concrete,Infrastructure,1981,0.387676301
Transport concrete,Infrastructure,1982,0.387676301
Transport concrete,Infrastructure,1983,0.387676301
Transport concrete,Infrastructure,1984,0.387676301
Transport concrete,Infrastructure,1985,0.387676301
Transport concrete,Infrastructure,1986,0.387676301
Transport concrete,Infrastructure,1987,0.387676301
Transport concrete,Infrastructure,1988,0.387676301
Transport concrete,Infrastructure,1989,0.387676301
Transport concrete,Infrastructure,1990,0.387676301
Transport concrete,Infrastructure,1991,0.387676301
Transport concrete,Infrastructure,1992,0.387676301
Transport concrete,Infrastructure,1993,0.387676301
Transport concrete,Infrastructure,1994,0.387676301
Transport concrete,Infrastructure,1995,0.387676301
Transport concrete,Infrastructure,1996,0.387676301
Transport concrete,Infrastructure,1997,0.387676301
Transport concrete,Infrastructure,1998,0.387676301
Transport concrete,Infrastructure,1999,0.387676301
Transport concrete,Infrastructure,2000,0.387676301
Transport concrete,Infrastructure,2001,0.387676301
Transport concrete,Infrastructure,2002,0.387676301
Transport concrete,Infrastructure,2003,0.387676301
Transport concrete,Infrastructure,2004,0.387676301
Transport concrete,Infrastructure,2005,0.387676301
Transport concrete,Infrastructure,2006,0.387676301
Transport concrete,Infrastructure,2007,0.387676301
Transport concrete,Infrastructure,2008,0.387676301
Transport concrete,Infrastructure,2009,0.387676301
Transport concrete,Infrastructure,2010,0.383229491
Transport concrete,Infrastructure,2011,0.367913519
Transport concrete,Infrastructure,2012,0.364818544
Transport concrete,Infrastructure,2013,0.359581348
Transport concrete,Infrastructure,2014,0.357423511
Transport concrete,Infrastructure,2015,0.356079759
Transport concrete,Infrastructure,2016,0.348045035
Transport concrete,Infrastructure,2017,0.339894323
Transport concrete,Infrastructure,2018,0.343311877
Transport concrete,Infrastructure,2019,0.35059593
Transport concrete,Infrastructure,2020,0.361223459
Transport concrete,Infrastructure,2021,0.361111111
Transport concrete,Infrastructure,2022,0.359375
Transport concrete,Buildings,1950,0.612323699
Transport concrete,Buildings,1951,0.612323699
Transport concrete,Buildings,1952,0.612323699
Transport concrete,Buildings,1953,0.612323699
Transport concrete,Buildings,1954,0.612323699
Transport concrete,Buildings,1955,0.612323699
Transport concrete,Buildings,1956,0.612323699
Transport concrete,Buildings,1957,0.612323699
Transport concrete,Buildings,1958,0.612323699
Transport concrete,Buildings,1959,0.612323699
Transport concrete,Buildings,1960,0.612323699
Transport concrete,Buildings,1961,0.612323699
Transport concrete,Buildings,1962,0.612323699
Transport concrete,Buildings,1963,0.612323699
Transport concrete,Buildings,1964,0.612323699
Transport concrete,Buildings,1965,0.612323699
Transport concrete,Buildings,1966,0.612323699
Transport concrete,Buildings,1967,0.612323699
Transport concrete,Buildings,1968,0.612323699
Transport concrete,Buildings,1969,0.612323699
Transport concrete,Buildings,1970,0.612323699
Transport concrete,Buildings,1971,0.612323699
Transport concrete,Buildings,1972,0.612323699
Transport concrete,Buildings,1973,0.612323699
Transport concrete,Buildings,1974,0.612323699
Transport concrete,Buildings,1975,0.612323699
Transport concrete,Buildings,1976,0.612323699
Transport concrete,Buildings,1977,0.612323699
Transport concrete,Buildings,1978,0.612323699
Transport concrete,Buildings,1979,0.612323699
Transport concrete,Buildings,1980,0.612323699
Transport concrete,Buildings,1981,0.612323699
Transport concrete,Buildings,1982,0.612323699
Transport concrete,Buildings,1983,0.612323699
Transport concrete,Buildings,1984,0.612323699
Transport concrete,Buildings,1985,0.612323699
Transport concrete,Buildings,1986,0.612323699
Transport concrete,Buildings,1987,0.612323699
Transport concrete,Buildings,1988,0.612323699
Transport concrete,Buildings,1989,0.612323699
Transport concrete,Buildings,1990,0.612323699
Transport concrete,Buildings,1991,0.612323699
Transport concrete,Buildings,1992,0.612323699
Transport concrete,Buildings,1993,0.612323699
Transport concrete,Buildings,1994,0.612323699
Transport concrete,Buildings,1995,0.612323699
Transport concrete,Buildings,1996,0.612323699
Transport concrete,Buildings,1997,0.612323699
Transport concrete,Buildings,1998,0.612323699
Transport concrete,Buildings,1999,0.612323699
Transport concrete,Buildings,2000,0.612323699
Transport concrete,Buildings,2001,0.612323699
Transport concrete,Buildings,2002,0.612323699
Transport concrete,Buildings,2003,0.612323699
Transport concrete,Buildings,2004,0.612323699
Transport concrete,Buildings,2005,0.612323699
Transport concrete,Buildings,2006,0.612323699
Transport concrete,Buildings,2007,0.612323699
Transport concrete,Buildings,2008,0.612323699
Transport concrete,Buildings,2009,0.612323699
Transport concrete,Buildings,2010,0.616770509
Transport concrete,Buildings,2011,0.632086481
Transport concrete,Buildings,2012,0.635181456
Transport concrete,Buildings,2013,0.640418652
Transport concrete,Buildings,2014,0.642576489
Transport concrete,Buildings,2015,0.643920241
Transport concrete,Buildings,2016,0.651954965
Transport concrete,Buildings,2017,0.660105677
Transport concrete,Buildings,2018,0.656688123
Transport concrete,Buildings,2019,0.64940407
Transport concrete,Buildings,2020,0.638776541
Transport concrete,Buildings,2021,0.638888889
Transport concrete,Buildings,2022,0.640625
Precast concrete,Infrastructure,1950,0.387676301
Precast concrete,Infrastructure,1951,0.387676301
Precast concrete,Infrastructure,1952,0.387676301
Precast concrete,Infrastructure,1953,0.387676301
Precast concrete,Infrastructure,1954,0.387676301
Precast concrete,Infrastructure,1955,0.387676301
Precast concrete,Infrastructure,1956,0.387676301
Precast concrete,Infrastructure,1957,0.387676301
Precast concrete,Infrastructure,1958,0.387676301
Precast concrete,Infrastructure,1959,0.387676301
Precast concrete,Infrastructure,1960,0.387676301
Precast concrete,Infrastructure,1961,0.387676301
Precast concrete,Infrastructure,1962,0.387676301
Precast concrete,Infrastructure,1963,0.387676301
Precast concrete,Infrastructure,1964,0.387676301
Precast concrete,Infrastructure,1965,0.387676301
Precast concrete,Infrastructure,1966,0.387676301
Precast concrete,Infrastructure,1967,0.387676301
Precast concrete,Infrastructure,1968,0.387676301
Precast concrete,Infrastructure,1969,0.387676301
Precast concrete,Infrastructure,1970,0.387676301
Precast concrete,Infrastructure,1971,0.387676301
Precast concrete,Infrastructure,1972,0.387676301
Precast concrete,Infrastructure,1973,0.387676301
Precast concrete,Infrastructure,1974,0.387676301
Precast concrete,Infrastructure,1975,0.387676301
Precast concrete,Infrastructure,1976,0.387676301
Precast concrete,Infrastructure,1977,0.387676301
Precast concrete,Infrastructure,1978,0.387676301
Precast concrete,Infrastructure,1979,0.387676301
Precast concrete,Infrastructure,1980,0.387676301
Precast concrete,Infrastructure,1981,0.387676301
Precast concrete,Infrastructure,1982,0.387676301
Precast concrete,Infrastructure,1983,0.387676301
Precast concrete,Infrastructure,1984,0.387676301
Precast concrete,Infrastructure,1985,0.387676301
Precast concrete,Infrastructure,1986,0.387676301
Precast concrete,Infrastructure,1987,0.387676301
Precast concrete,Infrastructure,1988,0.387676301
Precast concrete,Infrastructure,1989,0.387676301
Precast concrete,Infrastructure,1990,0.387676301
Precast concrete,Infrastructure,1991,0.387676301
Precast concrete,Infrastructure,1992,0.387676301
Precast concrete,Infrastructure,1993,0.387676301
Precast concrete,Infrastructure,1994,0.387676301
Precast concrete,Infrastructure,1995,0.387676301
Precast concrete,Infrastructure,1996,0.387676301
Precast concrete,Infrastructure,1997,0.387676301
Precast concrete,Infrastructure,1998,0.387676301
Precast concrete,Infrastructure,1999,0.387676301
Precast concrete,Infrastructure,2000,0.387676301
Precast concrete,Infrastructure,2001,0.387676301
Precast concrete,Infrastructure,2002,0.387676301
Precast concrete,Infrastructure,2003,0.387676301
Precast concrete,Infrastructure,2004,0.387676301
Precast concrete,Infrastructure,2005,0.387676301
Precast concrete,Infrastructure,2006,0.387676301
Precast concrete,Infrastructure,2007,0.387676301
Precast concrete,Infrastructure,2008,0.387676301
Precast concrete,Infrastructure,2009,0.387676301
Precast concrete,Infrastructure,2010,0.383229491
Precast concrete,Infrastructure,2011,0.367913519
Precast concrete,Infrastructure,2012,0.364818544
Precast concrete,Infrastructure,2013,0.359581348
Precast concrete,Infrastructure,2014,0.357423511
Precast concrete,Infrastructure,2015,0.356079759
Precast concrete,Infrastructure,2016,0.348045035
Precast concrete,Infrastructure,2017,0.339894323
Precast concrete,Infrastructure,2018,0.343311877
Precast concrete,Infrastructure,2019,0.35059593
Precast concrete,Infrastructure,2020,0.361223459
Precast concrete,Infrastructure,2021,0.361111111
Precast concrete,Infrastructure,2022,0.359375
