Concrete product simple,End use sector,Time,Region simple,Value
Transport concrete,Infrastructure,2023,EU28,258228333.7
Transport concrete,Infrastructure,2024,EU28,258228333.7
Transport concrete,Infrastructure,2025,EU28,258228333.7
Transport concrete,Infrastructure,2026,EU28,258228333.7
Transport concrete,Infrastructure,2027,EU28,258228333.7
Transport concrete,Infrastructure,2028,EU28,258228333.7
Transport concrete,Infrastructure,2029,EU28,258228333.7
Transport concrete,Infrastructure,2030,EU28,258228333.7
Transport concrete,Infrastructure,2031,EU28,258228333.7
Transport concrete,Infrastructure,2032,EU28,258228333.7
Transport concrete,Infrastructure,2033,EU28,258228333.7
Transport concrete,Infrastructure,2034,EU28,258228333.7
Transport concrete,Infrastructure,2035,EU28,258228333.7
Transport concrete,Infrastructure,2036,EU28,258228333.7
Transport concrete,Infrastructure,2037,EU28,258228333.7
Transport concrete,Infrastructure,2038,EU28,258228333.7
Transport concrete,Infrastructure,2039,EU28,258228333.7
Transport concrete,Infrastructure,2040,EU28,258228333.7
Transport concrete,Infrastructure,2041,EU28,258228333.7
Transport concrete,Infrastructure,2042,EU28,258228333.7
Transport concrete,Infrastructure,2043,EU28,258228333.7
Transport concrete,Infrastructure,2044,EU28,258228333.7
Transport concrete,Infrastructure,2045,EU28,258228333.7
Transport concrete,Infrastructure,2046,EU28,258228333.7
Transport concrete,Infrastructure,2047,EU28,258228333.7
Transport concrete,Infrastructure,2048,EU28,258228333.7
Transport concrete,Infrastructure,2049,EU28,258228333.7
Transport concrete,Infrastructure,2050,EU28,258228333.7
Transport concrete,Buildings,2023,EU28,460320073.2
Transport concrete,Buildings,2024,EU28,460320073.2
Transport concrete,Buildings,2025,EU28,460320073.2
Transport concrete,Buildings,2026,EU28,460320073.2
Transport concrete,Buildings,2027,EU28,460320073.2
Transport concrete,Buildings,2028,EU28,460320073.2
Transport concrete,Buildings,2029,EU28,460320073.2
Transport concrete,Buildings,2030,EU28,460320073.2
Transport concrete,Buildings,2031,EU28,460320073.2
Transport concrete,Buildings,2032,EU28,460320073.2
Transport concrete,Buildings,2033,EU28,460320073.2
Transport concrete,Buildings,2034,EU28,460320073.2
Transport concrete,Buildings,2035,EU28,460320073.2
Transport concrete,Buildings,2036,EU28,460320073.2
Transport concrete,Buildings,2037,EU28,460320073.2
Transport concrete,Buildings,2038,EU28,460320073.2
Transport concrete,Buildings,2039,EU28,460320073.2
Transport concrete,Buildings,2040,EU28,460320073.2
Transport concrete,Buildings,2041,EU28,460320073.2
Transport concrete,Buildings,2042,EU28,460320073.2
Transport concrete,Buildings,2043,EU28,460320073.2
Transport concrete,Buildings,2044,EU28,460320073.2
Transport concrete,Buildings,2045,EU28,460320073.2
Transport concrete,Buildings,2046,EU28,460320073.2
Transport concrete,Buildings,2047,EU28,460320073.2
Transport concrete,Buildings,2048,EU28,460320073.2
Transport concrete,Buildings,2049,EU28,460320073.2
Transport concrete,Buildings,2050,EU28,460320073.2
Precast concrete,Infrastructure,2023,EU28,1817471336
