Time,Region simple,Concrete waste,value
1950,EU28,CDW,0.0
1951,EU28,CDW,0.0
1952,EU28,CDW,0.0
1953,EU28,CDW,0.0
1954,EU28,CDW,0.0
1955,EU28,CDW,0.0
1956,EU28,CDW,0.0
1957,EU28,CDW,0.0
1958,EU28,CDW,0.0
1959,EU28,CDW,0.0
1960,EU28,CDW,0.0
1961,EU28,CDW,0.0
1962,EU28,CDW,0.0
1963,EU28,CDW,0.0
1964,EU28,CDW,0.0
1965,EU28,CDW,0.0
1966,EU28,CDW,0.0
1967,EU28,CDW,0.0
1968,EU28,CDW,0.0
1969,EU28,CDW,0.0
1970,EU28,CDW,0.0
1971,EU28,CDW,0.0
1972,EU28,CDW,0.0
1973,EU28,CDW,0.0
1974,EU28,CDW,0.0
1975,EU28,CDW,0.0
1976,EU28,CDW,0.0
1977,EU28,CDW,0.0
1978,EU28,CDW,0.0
1979,EU28,CDW,0.0
1980,EU28,CDW,0.0
1981,EU28,CDW,0.0
1982,EU28,CDW,0.0
1983,EU28,CDW,0.0
1984,EU28,CDW,0.0
1985,EU28,CDW,0.0
1986,EU28,CDW,0.0
1987,EU28,CDW,0.0
1988,EU28,CDW,0.0
1989,EU28,CDW,0.0
1990,EU28,CDW,0.0
1991,EU28,CDW,0.0
1992,EU28,CDW,0.0
1993,EU28,CDW,0.0
1994,EU28,CDW,0.0
1995,EU28,CDW,0.0
1996,EU28,CDW,0.0
1997,EU28,CDW,0.0
1998,EU28,CDW,0.0
1999,EU28,CDW,0.0
2000,EU28,CDW,0.0
2001,EU28,CDW,0.0
2002,EU28,CDW,0.0
2003,EU28,CDW,0.0
2004,EU28,CDW,0.0
2005,EU28,CDW,0.0
2006,EU28,CDW,0.0
2007,EU28,CDW,0.0
2008,EU28,CDW,0.0
2009,EU28,CDW,0.0
2010,EU28,CDW,0.0
2011,EU28,CDW,0.0
2012,EU28,CDW,0.0
2013,EU28,CDW,0.0
2014,EU28,CDW,0.0
2015,EU28,CDW,0.0
2016,EU28,CDW,0.0
2017,EU28,CDW,0.0
2018,EU28,CDW,0.0
2019,EU28,CDW,0.0
2020,EU28,CDW,0.0
2021,EU28,CDW,0.0
2022,EU28,CDW,0.0
2023,EU28,CDW,24647900.774847854
2024,EU28,CDW,27732443.144799218
2025,EU28,CDW,31120743.59293673
2026,EU28,CDW,34835822.81658844
2027,EU28,CDW,38901658.78302019
2028,EU28,CDW,43343140.50204195
2029,EU28,CDW,48186010.732694134
2030,EU28,CDW,53456797.18632403
2031,EU28,CDW,59182731.883308224
2032,EU28,CDW,65391658.42865294
2033,EU28,CDW,72111927.09211676
2034,EU28,CDW,79372277.71061936
2035,EU28,CDW,87201710.57336466
2036,EU28,CDW,95629345.60201532
2037,EU28,CDW,104684270.29769234
2038,EU28,CDW,114395377.09176287
2039,EU28,CDW,124791190.90604201
2040,EU28,CDW,135899687.89796618
2041,EU28,CDW,147748106.53477943
2042,EU28,CDW,160362752.30529213
2043,EU28,CDW,173768797.53532156
2044,EU28,CDW,187990077.92077264
2045,EU28,CDW,203048887.52749002
2046,EU28,CDW,218965774.12663963
2047,EU28,CDW,235759336.8357999
2048,EU28,CDW,253446028.11641505
2049,EU28,CDW,272039962.2355129
2050,EU28,CDW,291552732.33149034
