Time,Region simple,Concrete waste,value
1950,EU28,CDW,191615570.5624542
1951,EU28,CDW,213697968.22422177
1952,EU28,CDW,237923177.96810058
1953,EU28,CDW,264448949.33966723
1954,EU28,CDW,293438911.93264824
1955,EU28,CDW,325062157.79366094
1956,EU28,CDW,359492741.93378705
1957,EU28,CDW,396909098.35524255
1958,EU28,CDW,437493369.765089
1959,EU28,CDW,481430650.00537395
1960,EU28,CDW,528908139.1749874
1961,EU28,CDW,580114212.4456905
1962,EU28,CDW,607927317.4696854
1963,EU28,CDW,516856187.92696506
1964,EU28,CDW,562489932.2319466
1965,EU28,CDW,609095753.6428589
1966,EU28,CDW,658541586.8903993
1967,EU28,CDW,710795845.3576299
1968,EU28,CDW,974406113.406951
1969,EU28,CDW,848054182.2010748
1970,EU28,CDW,1143715043.0299456
1971,EU28,CDW,1003692506.3931229
1972,EU28,CDW,1360307608.5427728
1973,EU28,CDW,1183348836.5579455
1974,EU28,CDW,1531799784.0442317
1975,EU28,CDW,1686517808.3340874
1976,EU28,CDW,1498519818.0747936
1977,EU28,CDW,1596766733.6081283
1978,EU28,CDW,1989706169.0042946
1979,EU28,CDW,1831835728.4778543
1980,EU28,CDW,2220777140.0667424
1981,EU28,CDW,2081454221.1605392
1982,EU28,CDW,2197352647.4701986
1983,EU28,CDW,2316576203.5150323
1984,EU28,CDW,2408880893.7542257
1985,EU28,CDW,2556310740.120847
1986,EU28,CDW,2682734767.404375
1987,EU28,CDW,3055339156.260299
1988,EU28,CDW,3293652423.3686657
1989,EU28,CDW,3140909851.1494074
1990,EU28,CDW,3279331551.102615
1991,EU28,CDW,3685868765.5488462
1992,EU28,CDW,3924429595.4611173
1993,EU28,CDW,4010607647.6181927
1994,EU28,CDW,4238829685.0961013
1995,EU28,CDW,4408763006.14891
1996,EU28,CDW,4308489671.683252
1997,EU28,CDW,4814141016.957841
1998,EU28,CDW,4659152672.567408
1999,EU28,CDW,4817151499.958313
2000,EU28,CDW,4973707137.774828
2001,EU28,CDW,5127113497.748644
2002,EU28,CDW,5548992388.456761
2003,EU28,CDW,5462492603.253502
2004,EU28,CDW,5615069626.933127
2005,EU28,CDW,5760126657.824153
2006,EU28,CDW,5912778714.208237
2007,EU28,CDW,6056618682.850915
2008,EU28,CDW,6499109952.246655
2009,EU28,CDW,6357165936.689305
2010,EU28,CDW,6722685428.518625
2011,EU28,CDW,6880798893.954996
2012,EU28,CDW,7008445601.912824
2013,EU28,CDW,6946246867.715809
2014,EU28,CDW,7069344394.252795
2015,EU28,CDW,7397705760.735065
2016,EU28,CDW,7315884243.28898
2017,EU28,CDW,7432919288.749791
2018,EU28,CDW,7749515660.186183
2019,EU28,CDW,7652291633.825445
2020,EU28,CDW,7754690710.413002
2021,EU28,CDW,7845448731.540094
2022,EU28,CDW,7929137444.615789
2023,EU28,CDW,7983047329.766924
2024,EU28,CDW,8052590377.651971
2025,EU28,CDW,8115803701.43937
2026,EU28,CDW,8172578832.474579
2027,EU28,CDW,8222816473.147546
2028,EU28,CDW,8266426382.004726
2029,EU28,CDW,8303327309.316774
2030,EU28,CDW,8333446988.563221
2031,EU28,CDW,8356722187.710441
2032,EU28,CDW,8373098822.508519
2033,EU28,CDW,8382532132.346531
2034,EU28,CDW,8384986917.519694
2035,EU28,CDW,8380437835.103607
2036,EU28,CDW,8368869749.03562
2037,EU28,CDW,8350278128.496955
2038,EU28,CDW,8324669487.29926
2039,EU28,CDW,8292061855.732261
2040,EU28,CDW,8252485275.242165
2041,EU28,CDW,8205982305.405345
2042,EU28,CDW,8152608531.950719
2043,EU28,CDW,8092433064.078057
2044,EU28,CDW,8025539009.025509
2045,EU28,CDW,7952023911.761022
2046,EU28,CDW,7872000147.807051
2047,EU28,CDW,7785595257.553523
2048,EU28,CDW,7692952210.961494
2049,EU28,CDW,7594229592.297886
2050,EU28,CDW,7489601695.457833
