Time,Region simple,Concrete waste,value
1950,EU28,CDW,201700600.59205705
1951,EU28,CDW,224945229.70970714
1952,EU28,CDW,250445450.49273747
1953,EU28,CDW,278367315.0943866
1954,EU28,CDW,308883065.19226134
1955,EU28,CDW,342170692.41437995
1956,EU28,CDW,378413412.5618811
1957,EU28,CDW,417799050.9002553
1958,EU28,CDW,460519336.5948305
1959,EU28,CDW,506769105.2688147
1960,EU28,CDW,556745409.6578815
1961,EU28,CDW,610646539.4165163
1962,EU28,CDW,639923492.0733532
1963,EU28,CDW,544059145.186279
1964,EU28,CDW,592094665.5073122
1965,EU28,CDW,641153424.8872199
1966,EU28,CDW,693201670.4109467
1967,EU28,CDW,748206153.0080315
1968,EU28,CDW,1025690645.6915274
1969,EU28,CDW,892688612.8432367
1970,EU28,CDW,1203910571.610469
1971,EU28,CDW,1056518427.7822347
1972,EU28,CDW,1431902745.8344977
1973,EU28,CDW,1245630354.2715216
1974,EU28,CDW,1612420825.3097177
1975,EU28,CDW,1775281903.5095658
1976,EU28,CDW,1577389282.1839933
1977,EU28,CDW,1680807088.0085561
1978,EU28,CDW,2094427546.3203104
1979,EU28,CDW,1928248135.2398467
1980,EU28,CDW,2337660147.4386764
1981,EU28,CDW,2191004443.3268833
1982,EU28,CDW,2313002786.8107357
1983,EU28,CDW,2438501266.8579288
1984,EU28,CDW,2535664098.6886587
1985,EU28,CDW,2690853410.6535234
1986,EU28,CDW,2823931334.1098685
1987,EU28,CDW,3216146480.273999
1988,EU28,CDW,3467002550.9143853
1989,EU28,CDW,3306220895.946745
1990,EU28,CDW,3451927948.5290685
1991,EU28,CDW,3879861858.47247
1992,EU28,CDW,4130978521.538018
1993,EU28,CDW,4221692260.650729
1994,EU28,CDW,4461925984.311686
1995,EU28,CDW,4640803164.367273
1996,EU28,CDW,4535252285.982371
1997,EU28,CDW,5067516859.955623
1998,EU28,CDW,4904371234.281482
1999,EU28,CDW,5070685789.429804
2000,EU28,CDW,5235481197.657714
2001,EU28,CDW,5396961576.57752
2002,EU28,CDW,5841044619.42817
2003,EU28,CDW,5749992213.951055
2004,EU28,CDW,5910599607.298029
2005,EU28,CDW,6063291218.762266
2006,EU28,CDW,6223977593.903407
2007,EU28,CDW,6375388087.21149
2008,EU28,CDW,6841168370.7859535
2009,EU28,CDW,6691753617.56769
2010,EU28,CDW,7076510977.388027
2011,EU28,CDW,7242946204.163155
2012,EU28,CDW,7377311159.908236
2013,EU28,CDW,7311838808.121904
2014,EU28,CDW,7441415151.845048
2015,EU28,CDW,7787058695.510595
2016,EU28,CDW,7700930782.409452
2017,EU28,CDW,7824125567.105043
2018,EU28,CDW,8157384905.459141
2019,EU28,CDW,8055043825.079416
2020,EU28,CDW,8162832326.750528
2021,EU28,CDW,8258367085.831678
2022,EU28,CDW,8346460468.016621
2023,EU28,CDW,8403207715.54413
2024,EU28,CDW,8476410923.84418
2025,EU28,CDW,8542951264.673021
2026,EU28,CDW,8602714560.499557
2027,EU28,CDW,8655596287.523733
2028,EU28,CDW,8701501454.741817
2029,EU28,CDW,8740344536.122921
2030,EU28,CDW,8772049461.645496
2031,EU28,CDW,8796549671.274149
2032,EU28,CDW,8813788234.219494
2033,EU28,CDW,8823718034.04898
2034,EU28,CDW,8826302018.441784
2035,EU28,CDW,8821513510.635376
2036,EU28,CDW,8809336577.932232
2037,EU28,CDW,8789766451.049427
2038,EU28,CDW,8762809986.6308
2039,EU28,CDW,8728486163.928696
2040,EU28,CDW,8686826605.518068
2041,EU28,CDW,8637876110.952995
2042,EU28,CDW,8581693191.527073
2043,EU28,CDW,8518350593.7663765
2044,EU28,CDW,8447935798.97422
2045,EU28,CDW,8370551486.064234
2046,EU28,CDW,8286315945.060054
2047,EU28,CDW,8195363429.003709
2048,EU28,CDW,8097844432.591047
2049,EU28,CDW,7993925886.629354
2050,EU28,CDW,7883791258.376667
