Time,Region simple,Clinker product,value
1950,EU28,Clinker,992054699.9999999
1951,EU28,Clinker,992054699.9999999
1952,EU28,Clinker,992054699.9999999
1953,EU28,Clinker,992054699.9999999
1954,EU28,Clinker,992054699.9999999
1955,EU28,Clinker,992054699.9999999
1956,EU28,Clinker,992054699.9999999
1957,EU28,Clinker,992054699.9999999
1958,EU28,Clinker,992054699.9999999
1959,EU28,Clinker,992054699.9999999
1960,EU28,Clinker,992054699.9999999
1961,EU28,Clinker,992054699.9999999
1962,EU28,Clinker,850661700.0
1963,EU28,Clinker,88810400.0
1964,EU28,Clinker,101891300.0
1965,EU28,Clinker,105560000.0
1966,EU28,Clinker,110254900.0
1967,EU28,Clinker,115530100.0
1968,EU28,Clinker,1200920700.0
1969,EU28,Clinker,128678199.99999999
1970,EU28,Clinker,1339240700.0
1971,EU28,Clinker,140210000.0
1972,EU28,Clinker,1622845700.0
1973,EU28,Clinker,157056200.0
1974,EU28,Clinker,1549058700.0
1975,EU28,Clinker,1761865700.0
1976,EU28,Clinker,144923914.51999998
1977,EU28,Clinker,162459500.0
1978,EU28,Clinker,1687224700.0
1979,EU28,Clinker,168578900.0
1980,EU28,Clinker,1623727700.0
1981,EU28,Clinker,160580000.0
1982,EU28,Clinker,156495500.0
1983,EU28,Clinker,155424500.0
1984,EU28,Clinker,1638700.0
1985,EU28,Clinker,138791800.0
1986,EU28,Clinker,142307900.0
1987,EU28,Clinker,1410983700.0
1988,EU28,Clinker,1830773700.0
1989,EU28,Clinker,157677100.0
1990,EU28,Clinker,161016922.5
1991,EU28,Clinker,1547427784.0
1992,EU28,Clinker,1901550699.9999998
1993,EU28,Clinker,1409499700.0
1994,EU28,Clinker,1690010700.0
1995,EU28,Clinker,1622922700.0
1996,EU28,Clinker,148939700.0
1997,EU28,Clinker,1967672699.9999998
1998,EU28,Clinker,159487300.0
1999,EU28,Clinker,164740100.0
2000,EU28,Clinker,167219500.0
2001,EU28,Clinker,160252890.0
2002,EU28,Clinker,1553069980.0
2003,EU28,Clinker,164314920.0
2004,EU28,Clinker,170662100.0
2005,EU28,Clinker,150864700.0
2006,EU28,Clinker,187899600.0
2007,EU28,Clinker,192234000.0
2008,EU28,Clinker,1760773770.0
2009,EU28,Clinker,142825970.0
2010,EU28,Clinker,1340199916.37
2011,EU28,Clinker,1341662785.4699998
2012,EU28,Clinker,1203105329.79
2013,EU28,Clinker,119163888.76
2014,EU28,Clinker,122759456.88999999
2015,EU28,Clinker,1199275923.23
2016,EU28,Clinker,82208849.44999999
2017,EU28,Clinker,124183708.6
2018,EU28,Clinker,1202971797.86
2019,EU28,Clinker,82880928.05999999
2020,EU28,Clinker,122982988.1
2021,EU28,Clinker,127633652.3
2022,EU28,Clinker,124828117.39999999
2023,EU28,Clinker,0.0
2024,EU28,Clinker,0.0
2025,EU28,Clinker,0.0
2026,EU28,Clinker,0.0
2027,EU28,Clinker,0.0
2028,EU28,Clinker,0.0
2029,EU28,Clinker,0.0
2030,EU28,Clinker,0.0
2031,EU28,Clinker,0.0
2032,EU28,Clinker,0.0
2033,EU28,Clinker,0.0
2034,EU28,Clinker,0.0
2035,EU28,Clinker,0.0
2036,EU28,Clinker,0.0
2037,EU28,Clinker,0.0
2038,EU28,Clinker,0.0
2039,EU28,Clinker,0.0
2040,EU28,Clinker,0.0
2041,EU28,Clinker,0.0
2042,EU28,Clinker,0.0
2043,EU28,Clinker,0.0
2044,EU28,Clinker,0.0
2045,EU28,Clinker,0.0
2046,EU28,Clinker,0.0
2047,EU28,Clinker,0.0
2048,EU28,Clinker,0.0
2049,EU28,Clinker,0.0
2050,EU28,Clinker,0.0
