Time,Region simple,Concrete product simple,End use sector,value
1950,EU28,Transport concrete,Buildings,5104694147.179289
1950,EU28,Transport concrete,Infrastructure,3231899970.4677706
1950,EU28,Precast concrete,Buildings,5104694147.179289
1950,EU28,Precast concrete,Infrastructure,3231899970.4677706
1951,EU28,Transport concrete,Buildings,5104694147.179289
1951,EU28,Transport concrete,Infrastructure,3231899970.4677706
1951,EU28,Precast concrete,Buildings,5104694147.179289
1951,EU28,Precast concrete,Infrastructure,3231899970.4677706
1952,EU28,Transport concrete,Buildings,5104694147.179289
1952,EU28,Transport concrete,Infrastructure,3231899970.4677706
1952,EU28,Precast concrete,Buildings,5104694147.179289
1952,EU28,Precast concrete,Infrastructure,3231899970.4677706
1953,EU28,Transport concrete,Buildings,5104694147.179289
1953,EU28,Transport concrete,Infrastructure,3231899970.4677706
1953,EU28,Precast concrete,Buildings,5104694147.179289
1953,EU28,Precast concrete,Infrastructure,3231899970.4677706
1954,EU28,Transport concrete,Buildings,5104694147.179289
1954,EU28,Transport concrete,Infrastructure,3231899970.4677706
1954,EU28,Precast concrete,Buildings,5104694147.179289
1954,EU28,Precast concrete,Infrastructure,3231899970.4677706
1955,EU28,Transport concrete,Buildings,5104694147.179289
1955,EU28,Transport concrete,Infrastructure,3231899970.4677706
1955,EU28,Precast concrete,Buildings,5104694147.179289
1955,EU28,Precast concrete,Infrastructure,3231899970.4677706
1956,EU28,Transport concrete,Buildings,5104694147.179289
1956,EU28,Transport concrete,Infrastructure,3231899970.4677706
1956,EU28,Precast concrete,Buildings,5104694147.179289
1956,EU28,Precast concrete,Infrastructure,3231899970.4677706
1957,EU28,Transport concrete,Buildings,5104694147.179289
1957,EU28,Transport concrete,Infrastructure,3231899970.4677706
1957,EU28,Precast concrete,Buildings,5104694147.179289
1957,EU28,Precast concrete,Infrastructure,3231899970.4677706
1958,EU28,Transport concrete,Buildings,5104694147.179289
1958,EU28,Transport concrete,Infrastructure,3231899970.4677706
1958,EU28,Precast concrete,Buildings,5104694147.179289
