Time,Region simple,Concrete product simple,value
1950,EU28,Transport concrete,8336594117.6470585
1950,EU28,Precast concrete,8336594117.6470585
1951,EU28,Transport concrete,8336594117.6470585
1951,EU28,Precast concrete,8336594117.6470585
1952,EU28,Transport concrete,8336594117.6470585
1952,EU28,Precast concrete,8336594117.6470585
1953,EU28,Transport concrete,8336594117.6470585
1953,EU28,Precast concrete,8336594117.6470585
1954,EU28,Transport concrete,8336594117.6470585
1954,EU28,Precast concrete,8336594117.6470585
1955,EU28,Transport concrete,8336594117.6470585
1955,EU28,Precast concrete,8336594117.6470585
1956,EU28,Transport concrete,8336594117.6470585
1956,EU28,Precast concrete,8336594117.6470585
1957,EU28,Transport concrete,8336594117.6470585
1957,EU28,Precast concrete,8336594117.6470585
1958,EU28,Transport concrete,8336594117.6470585
1958,EU28,Precast concrete,8336594117.6470585
1959,EU28,Transport concrete,8336594117.6470585
1959,EU28,Precast concrete,8336594117.6470585
1960,EU28,Transport concrete,8336594117.6470585
1960,EU28,Precast concrete,8336594117.6470585
1961,EU28,Transport concrete,8336594117.6470585
1961,EU28,Precast concrete,8336594117.6470585
1962,EU28,Transport concrete,7148417647.058823
1962,EU28,Precast concrete,7148417647.058823
1963,EU28,Transport concrete,746305882.3529412
1963,EU28,Precast concrete,746305882.3529412
1964,EU28,Transport concrete,856229411.7647058
1964,EU28,Precast concrete,856229411.7647058
1965,EU28,Transport concrete,887058823.5294117
1965,EU28,Precast concrete,887058823.5294117
1966,EU28,Transport concrete,926511764.7058823
1966,EU28,Precast concrete,926511764.7058823
1967,EU28,Transport concrete,970841176.4705882
1967,EU28,Precast concrete,970841176.4705882
1968,EU28,Transport concrete,10091770588.235292
1968,EU28,Precast concrete,10091770588.235292
1969,EU28,Transport concrete,1081329411.764706
1969,EU28,Precast concrete,1081329411.764706
1970,EU28,Transport concrete,11254123529.411764
1970,EU28,Precast concrete,11254123529.411764
1971,EU28,Transport concrete,1178235294.117647
1971,EU28,Precast concrete,1178235294.117647
1972,EU28,Transport concrete,13637358823.529411
1972,EU28,Precast concrete,13637358823.529411
1973,EU28,Transport concrete,1319800000.0
1973,EU28,Precast concrete,1319800000.0
1974,EU28,Transport concrete,13017299999.999998
1974,EU28,Precast concrete,13017299999.999998
1975,EU28,Transport concrete,14805594117.647058
1975,EU28,Precast concrete,14805594117.647058
1976,EU28,Transport concrete,1217848021.1764705
1976,EU28,Precast concrete,1217848021.1764705
1977,EU28,Transport concrete,1365205882.352941
1977,EU28,Precast concrete,1365205882.352941
1978,EU28,Transport concrete,14178358823.529411
1978,EU28,Precast concrete,14178358823.529411
1979,EU28,Transport concrete,1416629411.7647057
1979,EU28,Precast concrete,1416629411.7647057
1980,EU28,Transport concrete,13644770588.235292
1980,EU28,Precast concrete,13644770588.235292
1981,EU28,Transport concrete,1349411764.7058823
1981,EU28,Precast concrete,1349411764.7058823
1982,EU28,Transport concrete,1315088235.2941175
1982,EU28,Precast concrete,1315088235.2941175
1983,EU28,Transport concrete,1306088235.2941175
1983,EU28,Precast concrete,1306088235.2941175
1984,EU28,Transport concrete,13770588.235294117
1984,EU28,Precast concrete,13770588.235294117
1985,EU28,Transport concrete,1166317647.0588233
1985,EU28,Precast concrete,1166317647.0588233
1986,EU28,Transport concrete,1195864705.8823528
1986,EU28,Precast concrete,1195864705.8823528
1987,EU28,Transport concrete,11857005882.35294
1987,EU28,Precast concrete,11857005882.35294
1988,EU28,Transport concrete,15384652941.17647
1988,EU28,Precast concrete,15384652941.17647
1989,EU28,Transport concrete,1325017647.0588233
1989,EU28,Precast concrete,1325017647.0588233
1990,EU28,Transport concrete,1353083382.352941
1990,EU28,Precast concrete,1353083382.352941
1991,EU28,Transport concrete,13003594823.529411
1991,EU28,Precast concrete,13003594823.529411
1992,EU28,Transport concrete,15979417647.058823
1992,EU28,Precast concrete,15979417647.058823
1993,EU28,Transport concrete,11844535294.117645
1993,EU28,Precast concrete,11844535294.117645
1994,EU28,Transport concrete,14201770588.235292
1994,EU28,Precast concrete,14201770588.235292
1995,EU28,Transport concrete,13638005882.35294
1995,EU28,Precast concrete,13638005882.35294
1996,EU28,Transport concrete,1251594117.6470587
1996,EU28,Precast concrete,1251594117.6470587
1997,EU28,Transport concrete,16535064705.88235
1997,EU28,Precast concrete,16535064705.88235
1998,EU28,Transport concrete,1340229411.7647057
