Time,Region simple,Concrete product simple,End use sector,value
1950,EU28,Transport concrete,Buildings,72042760.27645321
1950,EU28,Transport concrete,Infrastructure,28807540.01957531
1950,EU28,Precast concrete,Buildings,72042760.27645321
1950,EU28,Precast concrete,Infrastructure,28807540.01957531
1951,EU28,Transport concrete,Buildings,80345200.81615624
1951,EU28,Transport concrete,Infrastructure,32127414.038697336
1951,EU28,Precast concrete,Buildings,80345200.81615624
1951,EU28,Precast concrete,Infrastructure,32127414.038697336
1952,EU28,Transport concrete,Buildings,89453286.20348753
1952,EU28,Transport concrete,Infrastructure,35769439.0428812
1952,EU28,Precast concrete,Buildings,89453286.20348753
1952,EU28,Precast concrete,Infrastructure,35769439.0428812
1953,EU28,Transport concrete,Buildings,99426326.40298904
1953,EU28,Transport concrete,Infrastructure,39757331.14420424
1953,EU28,Precast concrete,Buildings,99426326.40298904
1953,EU28,Precast concrete,Infrastructure,39757331.14420424
1954,EU28,Transport concrete,Buildings,110325842.13325576
1954,EU28,Transport concrete,Infrastructure,44115690.46287489
1954,EU28,Precast concrete,Buildings,110325842.13325576
1954,EU28,Precast concrete,Infrastructure,44115690.46287489
1955,EU28,Transport concrete,Buildings,122215407.86134848
1955,EU28,Transport concrete,Infrastructure,48869938.345841505
1955,EU28,Precast concrete,Buildings,122215407.86134848
1955,EU28,Precast concrete,Infrastructure,48869938.345841505
1956,EU28,Transport concrete,Buildings,135160464.00738242
1956,EU28,Transport concrete,Infrastructure,54046242.27355814
1956,EU28,Precast concrete,Buildings,135160464.00738242
1956,EU28,Precast concrete,Infrastructure,54046242.27355814
1957,EU28,Transport concrete,Buildings,149228097.38486257
1957,EU28,Transport concrete,Infrastructure,59671428.06526508
1957,EU28,Precast concrete,Buildings,149228097.38486257
1957,EU28,Precast concrete,Infrastructure,59671428.06526508
1958,EU28,Transport concrete,Buildings,164486789.18945742
1958,EU28,Transport concrete,Infrastructure,65772879.10795784
1958,EU28,Precast concrete,Buildings,164486789.18945742
1958,EU28,Precast concrete,Infrastructure,65772879.10795784
1959,EU28,Transport concrete,Buildings,181006130.1712932
1959,EU28,Transport concrete,Infrastructure,72378422.46311416
1959,EU28,Precast concrete,Buildings,181006130.1712932
1959,EU28,Precast concrete,Infrastructure,72378422.46311416
1960,EU28,Transport concrete,Buildings,198856502.98146892
1960,EU28,Transport concrete,Infrastructure,79516201.8474718
1960,EU28,Precast concrete,Buildings,198856502.98146892
1960,EU28,Precast concrete,Infrastructure,79516201.8474718
1961,EU28,Transport concrete,Buildings,218108732.06969622
1961,EU28,Transport concrete,Infrastructure,87214537.63856192
1961,EU28,Precast concrete,Buildings,218108732.06969622
1961,EU28,Precast concrete,Infrastructure,87214537.63856192
1962,EU28,Transport concrete,Buildings,228565778.1850294
1962,EU28,Transport concrete,Infrastructure,91395967.85164718
1962,EU28,Precast concrete,Buildings,228565778.1850294
1962,EU28,Precast concrete,Infrastructure,91395967.85164718
1963,EU28,Transport concrete,Buildings,194325264.56448564
1963,EU28,Transport concrete,Infrastructure,77704308.02865386
1963,EU28,Precast concrete,Buildings,194325264.56448564
1963,EU28,Precast concrete,Infrastructure,77704308.02865386
1964,EU28,Transport concrete,Buildings,211482434.47416812
1964,EU28,Transport concrete,Infrastructure,84564898.27948798
1964,EU28,Precast concrete,Buildings,211482434.47416812
1964,EU28,Precast concrete,Infrastructure,84564898.27948798
1965,EU28,Transport concrete,Buildings,229005081.56144723
1965,EU28,Transport concrete,Infrastructure,91571630.88216272
1965,EU28,Precast concrete,Buildings,229005081.56144723
1965,EU28,Precast concrete,Infrastructure,91571630.88216272
1966,EU28,Transport concrete,Buildings,247595503.52384666
1966,EU28,Transport concrete,Infrastructure,99005331.68162669
1966,EU28,Precast concrete,Buildings,247595503.52384666
