original_parameter,target_parameter,target_region,original_dimension,original_element,target_dimension,target_element,target_dimension,target_element,factor,comment
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced),End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced),End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced)_Exterior wall,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced)_Interior load-bearing wall,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced)_Interior wall,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced)_Roof,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced)_Floor,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced)_Basement wall,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced)_Basement ceiling,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced)_Basement ground floor,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (reinforced)_Foundation,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced)_Exterior wall,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced)_Interior load-bearing wall,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced)_Interior wall,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced)_Roof,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced)_Floor,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced)_Basement wall,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced)_Basement ceiling,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced)_Basement ground floor,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Transport concrete (not reinforced)_Foundation,End use sector,Buildings,Concrete product simple,Transport concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced),End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced),End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced)_Exterior wall,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced)_Interior load-bearing wall,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced)_Interior wall,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced)_Roof,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced)_Floor,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced)_Basement wall,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced)_Basement ceiling,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced)_Basement ground floor,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (reinforced)_Foundation,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced)_Exterior wall,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced)_Interior load-bearing wall,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced)_Interior wall,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced)_Roof,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced)_Floor,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced)_Basement wall,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced)_Basement ceiling,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced)_Basement ground floor,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
BottomUpDemand,FinalDemand,all,Concrete product,Precast concrete (not reinforced)_Foundation,End use sector,Buildings,Concrete product simple,Precast concrete,0.001,kg in buildings model but t in cement model
