original_dimension,original_element,target_dimension,target_element,factor
Region,AUT,region,East,0.000001
Region,BEL,region,West,0.000001
Region,BGR,region,East,0.000001
Region,CYP,region,South,0.000001
Region,CZE,region,East,0.000001
Region,DEU,region,Germany,0.000001
Region,DNK,region,North,0.000001
Region,ESP,region,South,0.000001
Region,EST,region,East,0.000001
Region,FIN,region,North,0.000001
Region,FRA,region,South,0.000001
Region,GBR,region,West,0.000001
Region,GRC,region,South,0.000001
Region,HRV,region,East,0.000001
Region,HUN,region,East,0.000001
Region,IRL,region,West,0.000001
Region,ITA,region,South,0.000001
Region,LTU,region,East,0.000001
Region,LUX,region,West,0.000001
Region,LVA,region,East,0.000001
Region,MLT,region,South,0.000001
Region,NLD,region,West,0.000001
Region,POL,region,East,0.000001
Region,PRT,region,South,0.000001
Region,ROU,region,East,0.000001
Region,SVK,region,East,0.000001
Region,SVN,region,East,0.000001
Region,SWE,region,North,0.000001
Region,AUT,region,EU27+3,0.000001
Region,BEL,region,EU27+3,0.000001
Region,BGR,region,EU27+3,0.000001
Region,CYP,region,EU27+3,0.000001
Region,CZE,region,EU27+3,0.000001
Region,DEU,region,EU27+3,0.000001
Region,DNK,region,EU27+3,0.000001
Region,ESP,region,EU27+3,0.000001
Region,EST,region,EU27+3,0.000001
Region,FIN,region,EU27+3,0.000001
Region,FRA,region,EU27+3,0.000001
Region,GBR,region,EU27+3,0.000001
Region,GRC,region,EU27+3,0.000001
Region,HRV,region,EU27+3,0.000001
Region,HUN,region,EU27+3,0.000001
Region,IRL,region,EU27+3,0.000001
Region,ITA,region,EU27+3,0.000001
Region,LTU,region,EU27+3,0.000001
Region,LUX,region,EU27+3,0.000001
Region,LVA,region,EU27+3,0.000001
Region,MLT,region,EU27+3,0.000001
Region,NLD,region,EU27+3,0.000001
Region,POL,region,EU27+3,0.000001
Region,PRT,region,EU27+3,0.000001
Region,ROU,region,EU27+3,0.000001
Region,SVK,region,EU27+3,0.000001
Region,SVN,region,EU27+3,0.000001
Region,SWE,region,EU27+3,0.000001
