original_dimension,original_element,target_dimension,target_element,factor
Region,AUT,region,EU27+1,1
Region,BEL,region,EU27+1,1
Region,BGR,region,EU27+1,1
Region,CYP,region,EU27+1,1
Region,CZE,region,EU27+1,1
Region,DEU,region,EU27+1,1
Region,DNK,region,EU27+1,1
Region,ESP,region,EU27+1,1
Region,EST,region,EU27+1,1
Region,FIN,region,EU27+1,1
Region,FRA,region,EU27+1,1
Region,GBR,region,EU27+1,1
Region,GRC,region,EU27+1,1
Region,HRV,region,EU27+1,1
Region,HUN,region,EU27+1,1
Region,IRL,region,EU27+1,1
Region,ITA,region,EU27+1,1
Region,LTU,region,EU27+1,1
Region,LUX,region,EU27+1,1
Region,LVA,region,EU27+1,1
Region,MLT,region,EU27+1,1
Region,NLD,region,EU27+1,1
Region,POL,region,EU27+1,1
Region,PRT,region,EU27+1,1
Region,ROU,region,EU27+1,1
Region,SVK,region,EU27+1,1
Region,SVN,region,EU27+1,1
Region,SWE,region,EU27+1,1
