original_dimension,original_element,target_dimension,target_element,factor
Region,AUT,region,East,1
Region,BEL,region,West,1
Region,BGR,region,East,1
Region,CYP,region,South,1
Region,CZE,region,East,1
Region,DEU,region,Germany,1
Region,DNK,region,North,1
Region,ESP,region,South,1
Region,EST,region,East,1
Region,FIN,region,North,1
Region,FRA,region,South,1
Region,GBR,region,West,1
Region,GRC,region,South,1
Region,HRV,region,East,1
Region,HUN,region,East,1
Region,IRL,region,West,1
Region,ITA,region,South,1
Region,LTU,region,East,1
Region,LUX,region,West,1
Region,LVA,region,East,1
Region,MLT,region,South,1
Region,NLD,region,West,1
Region,POL,region,East,1
Region,PRT,region,South,1
Region,ROU,region,East,1
Region,SVK,region,East,1
Region,SVN,region,East,1
Region,SWE,region,North,1
Region,AUT,region,EU27+3,1
Region,BEL,region,EU27+3,1
Region,BGR,region,EU27+3,1
Region,CYP,region,EU27+3,1
Region,CZE,region,EU27+3,1
Region,DEU,region,EU27+3,1
Region,DNK,region,EU27+3,1
Region,ESP,region,EU27+3,1
Region,EST,region,EU27+3,1
Region,FIN,region,EU27+3,1
Region,FRA,region,EU27+3,1
Region,GBR,region,EU27+3,1
Region,GRC,region,EU27+3,1
Region,HRV,region,EU27+3,1
Region,HUN,region,EU27+3,1
Region,IRL,region,EU27+3,1
Region,ITA,region,EU27+3,1
Region,LTU,region,EU27+3,1
Region,LUX,region,EU27+3,1
Region,LVA,region,EU27+3,1
Region,MLT,region,EU27+3,1
Region,NLD,region,EU27+3,1
Region,POL,region,EU27+3,1
Region,PRT,region,EU27+3,1
Region,ROU,region,EU27+3,1
Region,SVK,region,EU27+3,1
Region,SVN,region,EU27+3,1
Region,SWE,region,EU27+3,1
