region,time,sector,intermediate,product,element,value
EU27+1,2017,Construction,Steel Intermediary,Light Sections,All,2923.890658
EU27+1,2017,Construction,Steel Intermediary,Light Sections,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Heavy Sections,All,5342.53836
EU27+1,2017,Construction,Steel Intermediary,Heavy Sections,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Rail,All,1148.152637
EU27+1,2017,Construction,Steel Intermediary,Rail,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Rebar,All,11597.6807
EU27+1,2017,Construction,Steel Intermediary,Rebar,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Wire Rod,All,10501.23455
EU27+1,2017,Construction,Steel Intermediary,Wire Rod,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Hot Rolled Bar,All,269.6446453
EU27+1,2017,Construction,Steel Intermediary,Hot Rolled Bar,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Plate,All,365.449409
EU27+1,2017,Construction,Steel Intermediary,Plate,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Hot Rolled Coil,All,14849.0948
EU27+1,2017,Construction,Steel Intermediary,Hot Rolled Coil,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Hot Rolled Coil Galvanized,All,1075.29539
EU27+1,2017,Construction,Steel Intermediary,Hot Rolled Coil Galvanized,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Hot Rolled Narrow Strip,All,1123.243053
EU27+1,2017,Construction,Steel Intermediary,Hot Rolled Narrow Strip,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Cold Rolled Coil,All,6803.834471
EU27+1,2017,Construction,Steel Intermediary,Cold Rolled Coil,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Cold Rolled Coil Galvanized,All,0
EU27+1,2017,Construction,Steel Intermediary,Cold Rolled Coil Galvanized,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Cold Rolled Coil Organic Coated,All,0
EU27+1,2017,Construction,Steel Intermediary,Cold Rolled Coil Organic Coated,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Cold Rolled Coil Tinned,All,0
EU27+1,2017,Construction,Steel Intermediary,Cold Rolled Coil Tinned,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Electrical Sheet,All,0
EU27+1,2017,Construction,Steel Intermediary,Electrical Sheet,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Welded Tube,All,7732.636836
EU27+1,2017,Construction,Steel Intermediary,Welded Tube,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Seamless Tube,All,1570.448824
EU27+1,2017,Construction,Steel Intermediary,Seamless Tube,Cu,0
EU27+1,2017,Construction,Steel Intermediary,Cast Iron,All,3470.085468
