region,time,sector,polymer,value
East,2020,Agriculture,"PE-LD, -LLD",0.0
East,2020,Agriculture,"PE-HD, -MD",0.0
East,2020,Agriculture,PP,0.0
East,2020,Agriculture,PS,0.0
East,2020,Agriculture,PS-E,0.0
East,2020,Agriculture,PVC,0.0
East,2020,Agriculture,PET,0.0
East,2020,Agriculture,"ABS, SAN",0.0
East,2020,Agriculture,PMMA,0.0
East,2020,Agriculture,"PA (PA6, PA66)",0.0
East,2020,Agriculture,PC,0.0
East,2020,Agriculture,Other Thermoplastics,0.0
East,2020,Agriculture,PUR,0.0
East,2020,Agriculture,Other Plastics,0.0
East,2025,Agriculture,"PE-LD, -LLD",0.0
East,2025,Agriculture,"PE-HD, -MD",0.0
East,2025,Agriculture,PP,0.0
East,2025,Agriculture,PS,0.0
East,2025,Agriculture,PS-E,0.0
East,2025,Agriculture,PVC,0.0
East,2025,Agriculture,PET,0.0
East,2025,Agriculture,"ABS, SAN",0.0
East,2025,Agriculture,PMMA,0.0
East,2025,Agriculture,"PA (PA6, PA66)",0.0
East,2025,Agriculture,PC,0.0
East,2025,Agriculture,Other Thermoplastics,0.0
East,2025,Agriculture,PUR,0.0
East,2025,Agriculture,Other Plastics,0.0
East,2030,Agriculture,"PE-LD, -LLD",0.0
East,2030,Agriculture,"PE-HD, -MD",0.0
East,2030,Agriculture,PP,0.0
East,2030,Agriculture,PS,0.0
East,2030,Agriculture,PS-E,0.0
East,2030,Agriculture,PVC,0.0
East,2030,Agriculture,PET,0.0
East,2030,Agriculture,"ABS, SAN",0.0
East,2030,Agriculture,PMMA,0.0
East,2030,Agriculture,"PA (PA6, PA66)",0.0
East,2030,Agriculture,PC,0.0
East,2030,Agriculture,Other Thermoplastics,0.0
East,2030,Agriculture,PUR,0.0
East,2030,Agriculture,Other Plastics,0.0
East,2035,Agriculture,"PE-LD, -LLD",0.0
East,2035,Agriculture,"PE-HD, -MD",0.0
East,2035,Agriculture,PP,0.0
East,2035,Agriculture,PS,0.0
East,2035,Agriculture,PS-E,0.0
East,2035,Agriculture,PVC,0.0
East,2035,Agriculture,PET,0.0
East,2035,Agriculture,"ABS, SAN",0.0
East,2035,Agriculture,PMMA,0.0
East,2035,Agriculture,"PA (PA6, PA66)",0.0
East,2035,Agriculture,PC,0.0
East,2035,Agriculture,Other Thermoplastics,0.0
East,2035,Agriculture,PUR,0.0
East,2035,Agriculture,Other Plastics,0.0
East,2040,Agriculture,"PE-LD, -LLD",0.0
East,2040,Agriculture,"PE-HD, -MD",0.0
East,2040,Agriculture,PP,0.0
East,2040,Agriculture,PS,0.0
East,2040,Agriculture,PS-E,0.0
East,2040,Agriculture,PVC,0.0
East,2040,Agriculture,PET,0.0
East,2040,Agriculture,"ABS, SAN",0.0
East,2040,Agriculture,PMMA,0.0
East,2040,Agriculture,"PA (PA6, PA66)",0.0
East,2040,Agriculture,PC,0.0
East,2040,Agriculture,Other Thermoplastics,0.0
East,2040,Agriculture,PUR,0.0
East,2040,Agriculture,Other Plastics,0.0
East,2045,Agriculture,"PE-LD, -LLD",0.0
East,2045,Agriculture,"PE-HD, -MD",0.0
East,2045,Agriculture,PP,0.0
East,2045,Agriculture,PS,0.0
East,2045,Agriculture,PS-E,0.0
East,2045,Agriculture,PVC,0.0
East,2045,Agriculture,PET,0.0
East,2045,Agriculture,"ABS, SAN",0.0
East,2045,Agriculture,PMMA,0.0
East,2045,Agriculture,"PA (PA6, PA66)",0.0
East,2045,Agriculture,PC,0.0
East,2045,Agriculture,Other Thermoplastics,0.0
East,2045,Agriculture,PUR,0.0
East,2045,Agriculture,Other Plastics,0.0
East,2050,Agriculture,"PE-LD, -LLD",0.0
East,2050,Agriculture,"PE-HD, -MD",0.0
East,2050,Agriculture,PP,0.0
East,2050,Agriculture,PS,0.0
East,2050,Agriculture,PS-E,0.0
East,2050,Agriculture,PVC,0.0
East,2050,Agriculture,PET,0.0
East,2050,Agriculture,"ABS, SAN",0.0
East,2050,Agriculture,PMMA,0.0
East,2050,Agriculture,"PA (PA6, PA66)",0.0
East,2050,Agriculture,PC,0.0
East,2050,Agriculture,Other Thermoplastics,0.0
East,2050,Agriculture,PUR,0.0
East,2050,Agriculture,Other Plastics,0.0
East,2020,Automotive,"PE-LD, -LLD",0.0
East,2020,Automotive,"PE-HD, -MD",0.0
East,2020,Automotive,PP,0.0
East,2020,Automotive,PS,0.0
East,2020,Automotive,PS-E,0.0
East,2020,Automotive,PVC,0.0
East,2020,Automotive,PET,0.0
East,2020,Automotive,"ABS, SAN",0.0
East,2020,Automotive,PMMA,0.0
East,2020,Automotive,"PA (PA6, PA66)",0.0
East,2020,Automotive,PC,0.0
East,2020,Automotive,Other Thermoplastics,0.0
East,2020,Automotive,PUR,0.0
East,2020,Automotive,Other Plastics,0.0
East,2025,Automotive,"PE-LD, -LLD",0.0
East,2025,Automotive,"PE-HD, -MD",0.0
East,2025,Automotive,PP,0.0
East,2025,Automotive,PS,0.0
East,2025,Automotive,PS-E,0.0
East,2025,Automotive,PVC,0.0
East,2025,Automotive,PET,0.0
East,2025,Automotive,"ABS, SAN",0.0
East,2025,Automotive,PMMA,0.0
East,2025,Automotive,"PA (PA6, PA66)",0.0
East,2025,Automotive,PC,0.0
East,2025,Automotive,Other Thermoplastics,0.0
East,2025,Automotive,PUR,0.0
East,2025,Automotive,Other Plastics,0.0
East,2030,Automotive,"PE-LD, -LLD",0.0
East,2030,Automotive,"PE-HD, -MD",0.0
East,2030,Automotive,PP,0.0
East,2030,Automotive,PS,0.0
East,2030,Automotive,PS-E,0.0
East,2030,Automotive,PVC,0.0
East,2030,Automotive,PET,0.0
East,2030,Automotive,"ABS, SAN",0.0
East,2030,Automotive,PMMA,0.0
East,2030,Automotive,"PA (PA6, PA66)",0.0
East,2030,Automotive,PC,0.0
East,2030,Automotive,Other Thermoplastics,0.0
East,2030,Automotive,PUR,0.0
East,2030,Automotive,Other Plastics,0.0
East,2035,Automotive,"PE-LD, -LLD",0.0
East,2035,Automotive,"PE-HD, -MD",0.0
East,2035,Automotive,PP,0.0
East,2035,Automotive,PS,0.0
East,2035,Automotive,PS-E,0.0
East,2035,Automotive,PVC,0.0
East,2035,Automotive,PET,0.0
East,2035,Automotive,"ABS, SAN",0.0
East,2035,Automotive,PMMA,0.0
East,2035,Automotive,"PA (PA6, PA66)",0.0
East,2035,Automotive,PC,0.0
East,2035,Automotive,Other Thermoplastics,0.0
East,2035,Automotive,PUR,0.0
East,2035,Automotive,Other Plastics,0.0
East,2040,Automotive,"PE-LD, -LLD",0.0
East,2040,Automotive,"PE-HD, -MD",0.0
East,2040,Automotive,PP,0.0
East,2040,Automotive,PS,0.0
East,2040,Automotive,PS-E,0.0
East,2040,Automotive,PVC,0.0
East,2040,Automotive,PET,0.0
East,2040,Automotive,"ABS, SAN",0.0
East,2040,Automotive,PMMA,0.0
East,2040,Automotive,"PA (PA6, PA66)",0.0
East,2040,Automotive,PC,0.0
East,2040,Automotive,Other Thermoplastics,0.0
East,2040,Automotive,PUR,0.0
East,2040,Automotive,Other Plastics,0.0
East,2045,Automotive,"PE-LD, -LLD",0.0
East,2045,Automotive,"PE-HD, -MD",0.0
East,2045,Automotive,PP,0.0
East,2045,Automotive,PS,0.0
East,2045,Automotive,PS-E,0.0
East,2045,Automotive,PVC,0.0
East,2045,Automotive,PET,0.0
East,2045,Automotive,"ABS, SAN",0.0
East,2045,Automotive,PMMA,0.0
East,2045,Automotive,"PA (PA6, PA66)",0.0
East,2045,Automotive,PC,0.0
East,2045,Automotive,Other Thermoplastics,0.0
East,2045,Automotive,PUR,0.0
East,2045,Automotive,Other Plastics,0.0
East,2050,Automotive,"PE-LD, -LLD",0.0
East,2050,Automotive,"PE-HD, -MD",0.0
East,2050,Automotive,PP,0.0
East,2050,Automotive,PS,0.0
East,2050,Automotive,PS-E,0.0
East,2050,Automotive,PVC,0.0
East,2050,Automotive,PET,0.0
East,2050,Automotive,"ABS, SAN",0.0
East,2050,Automotive,PMMA,0.0
East,2050,Automotive,"PA (PA6, PA66)",0.0
East,2050,Automotive,PC,0.0
East,2050,Automotive,Other Thermoplastics,0.0
East,2050,Automotive,PUR,0.0
East,2050,Automotive,Other Plastics,0.0
East,2020,Building and Construction,"PE-LD, -LLD",0.0
East,2020,Building and Construction,"PE-HD, -MD",0.0
East,2020,Building and Construction,PP,0.0
East,2020,Building and Construction,PS,0.0
East,2020,Building and Construction,PS-E,0.0
East,2020,Building and Construction,PVC,0.0
East,2020,Building and Construction,PET,0.0
East,2020,Building and Construction,"ABS, SAN",0.0
East,2020,Building and Construction,PMMA,0.0
East,2020,Building and Construction,"PA (PA6, PA66)",0.0
East,2020,Building and Construction,PC,0.0
East,2020,Building and Construction,Other Thermoplastics,0.0
East,2020,Building and Construction,PUR,0.0
East,2020,Building and Construction,Other Plastics,0.0
East,2025,Building and Construction,"PE-LD, -LLD",0.0
East,2025,Building and Construction,"PE-HD, -MD",0.0
East,2025,Building and Construction,PP,0.0
East,2025,Building and Construction,PS,0.0
East,2025,Building and Construction,PS-E,0.0
East,2025,Building and Construction,PVC,0.0
East,2025,Building and Construction,PET,0.0
East,2025,Building and Construction,"ABS, SAN",0.0
East,2025,Building and Construction,PMMA,0.0
East,2025,Building and Construction,"PA (PA6, PA66)",0.0
East,2025,Building and Construction,PC,0.0
East,2025,Building and Construction,Other Thermoplastics,0.0
East,2025,Building and Construction,PUR,0.0
East,2025,Building and Construction,Other Plastics,0.0
East,2030,Building and Construction,"PE-LD, -LLD",0.0
East,2030,Building and Construction,"PE-HD, -MD",0.0
East,2030,Building and Construction,PP,0.0
East,2030,Building and Construction,PS,0.0
East,2030,Building and Construction,PS-E,0.0
East,2030,Building and Construction,PVC,0.0
East,2030,Building and Construction,PET,0.0
East,2030,Building and Construction,"ABS, SAN",0.0
East,2030,Building and Construction,PMMA,0.0
East,2030,Building and Construction,"PA (PA6, PA66)",0.0
East,2030,Building and Construction,PC,0.0
East,2030,Building and Construction,Other Thermoplastics,0.0
East,2030,Building and Construction,PUR,0.0
East,2030,Building and Construction,Other Plastics,0.0
East,2035,Building and Construction,"PE-LD, -LLD",0.0
East,2035,Building and Construction,"PE-HD, -MD",0.0
East,2035,Building and Construction,PP,0.0
East,2035,Building and Construction,PS,0.0
East,2035,Building and Construction,PS-E,0.0
East,2035,Building and Construction,PVC,0.0
East,2035,Building and Construction,PET,0.0
East,2035,Building and Construction,"ABS, SAN",0.0
East,2035,Building and Construction,PMMA,0.0
East,2035,Building and Construction,"PA (PA6, PA66)",0.0
East,2035,Building and Construction,PC,0.0
East,2035,Building and Construction,Other Thermoplastics,0.0
East,2035,Building and Construction,PUR,0.0
East,2035,Building and Construction,Other Plastics,0.0
East,2040,Building and Construction,"PE-LD, -LLD",0.0
East,2040,Building and Construction,"PE-HD, -MD",0.0
East,2040,Building and Construction,PP,0.0
East,2040,Building and Construction,PS,0.0
East,2040,Building and Construction,PS-E,0.0
East,2040,Building and Construction,PVC,0.0
East,2040,Building and Construction,PET,0.0
East,2040,Building and Construction,"ABS, SAN",0.0
East,2040,Building and Construction,PMMA,0.0
East,2040,Building and Construction,"PA (PA6, PA66)",0.0
East,2040,Building and Construction,PC,0.0
East,2040,Building and Construction,Other Thermoplastics,0.0
East,2040,Building and Construction,PUR,0.0
East,2040,Building and Construction,Other Plastics,0.0
East,2045,Building and Construction,"PE-LD, -LLD",0.0
East,2045,Building and Construction,"PE-HD, -MD",0.0
East,2045,Building and Construction,PP,0.0
East,2045,Building and Construction,PS,0.0
East,2045,Building and Construction,PS-E,0.0
East,2045,Building and Construction,PVC,0.0
East,2045,Building and Construction,PET,0.0
East,2045,Building and Construction,"ABS, SAN",0.0
East,2045,Building and Construction,PMMA,0.0
East,2045,Building and Construction,"PA (PA6, PA66)",0.0
East,2045,Building and Construction,PC,0.0
East,2045,Building and Construction,Other Thermoplastics,0.0
East,2045,Building and Construction,PUR,0.0
East,2045,Building and Construction,Other Plastics,0.0
East,2050,Building and Construction,"PE-LD, -LLD",0.0
East,2050,Building and Construction,"PE-HD, -MD",0.0
East,2050,Building and Construction,PP,0.0
East,2050,Building and Construction,PS,0.0
East,2050,Building and Construction,PS-E,0.0
East,2050,Building and Construction,PVC,0.0
East,2050,Building and Construction,PET,0.0
East,2050,Building and Construction,"ABS, SAN",0.0
East,2050,Building and Construction,PMMA,0.0
East,2050,Building and Construction,"PA (PA6, PA66)",0.0
East,2050,Building and Construction,PC,0.0
East,2050,Building and Construction,Other Thermoplastics,0.0
East,2050,Building and Construction,PUR,0.0
East,2050,Building and Construction,Other Plastics,0.0
East,2020,Commercial & industrial packaging,"PE-LD, -LLD",0.0
East,2020,Commercial & industrial packaging,"PE-HD, -MD",0.0
