"region","time","sector","intermediary_product","product","element","value"
"EU27+1",1946,"Construction","Steel Intermediary","Light Sections","All",544.2927475156738
"EU27+1",1946,"Construction","Steel Intermediary","Heavy Sections","All",994.5327041968383
"EU27+1",1946,"Construction","Steel Intermediary","Rail","All",213.7327370517146
"EU27+1",1946,"Construction","Steel Intermediary","Rebar","All",2158.9499159842976
"EU27+1",1946,"Construction","Steel Intermediary","Wire Rod","All",1954.8425275224683
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Bar","All",50.195319177275
"EU27+1",1946,"Construction","Steel Intermediary","Plate","All",68.02972004060383
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil","All",2764.2123298733245
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil Galvanized","All",200.1700989482935
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Narrow Strip","All",209.0957286688929
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil","All",1266.558223719659
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Welded Tube","All",1439.458119809138
"EU27+1",1946,"Construction","Steel Intermediary","Seamless Tube","All",292.3446891068692
"EU27+1",1946,"Construction","Steel Intermediary","Cast Iron","All",645.9688731855559
"EU27+1",1946,"Construction","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Wire Rod","All",93.48522720999141
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Bar","All",82.63582712725373
"EU27+1",1946,"Automotive","Steel Intermediary","Plate","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil","All",75.70951664359026
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Galvanized","All",1047.6009010058115
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Welded Tube","All",14.297188893599213
"EU27+1",1946,"Automotive","Steel Intermediary","Seamless Tube","All",39.96812416527396
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Iron","All",142.98476668476644
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Wire Rod","All",48.9633938454045
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Bar","All",25.45938930438997
"EU27+1",1946,"Other Transport","Steel Intermediary","Plate","All",759.112471317116
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Welded Tube","All",74.88230082673675
"EU27+1",1946,"Other Transport","Steel Intermediary","Seamless Tube","All",34.88920234014583
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Iron","All",46.8056535108579
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Rail","All",26.255352007199182
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Wire Rod","All",26.681857905935825
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Bar","All",568.822010324578
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Plate","All",413.6668131759433
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Coil","All",1080.4223434542077
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil","All",668.7898018963068
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Welded Tube","All",693.7015351270007
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Seamless Tube","All",57.03702293781577
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Iron","All",229.55427070739117
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Steel","All",57.36341688250675
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Wire Rod","All",76.25380676564113
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Bar","All",19.824762949621324
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Plate","All",17.912335192994924
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil","All",22.055199158031137
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Electrical Sheet","All",158.6481099590248
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Welded Tube","All",58.30948438171343
