"region","time","sector","intermediary_product","product","element","value"
"EU27+1",1946,"Construction","Steel Intermediary","Light Sections","All",5.205884983093604
"EU27+1",1946,"Construction","Steel Intermediary","Heavy Sections","All",9.512202566734919
"EU27+1",1946,"Construction","Steel Intermediary","Rail","All",2.0442455852876744
"EU27+1",1946,"Construction","Steel Intermediary","Rebar","All",20.649264569798813
"EU27+1",1946,"Construction","Steel Intermediary","Wire Rod","All",18.697080578037482
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Bar","All",0.4800928535595479
"EU27+1",1946,"Construction","Steel Intermediary","Plate","All",0.6506698823012391
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil","All",26.43829359081316
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil Galvanized","All",1.9145258079141942
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Narrow Strip","All",1.9998949441725904
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil","All",12.113989148617144
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Welded Tube","All",13.767689251620524
"EU27+1",1946,"Construction","Steel Intermediary","Seamless Tube","All",2.796129167355464
"EU27+1",1946,"Construction","Steel Intermediary","Cast Iron","All",6.178365726553694
"EU27+1",1946,"Construction","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Wire Rod","All",47.3274313745836
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Bar","All",41.834860481882274
"EU27+1",1946,"Automotive","Steel Intermediary","Plate","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil","All",38.32837615406103
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Galvanized","All",530.3539524906402
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Welded Tube","All",7.238033712977459
"EU27+1",1946,"Automotive","Steel Intermediary","Seamless Tube","All",20.23409163197362
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Iron","All",72.38685656380247
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Wire Rod","All",-3.851439649125085
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Bar","All",-2.0026246897638553
"EU27+1",1946,"Other Transport","Steel Intermediary","Plate","All",-59.71146280029511
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Other Transport","Steel Intermediary","Welded Tube","All",-5.890209803111401
"EU27+1",1946,"Other Transport","Steel Intermediary","Seamless Tube","All",-2.744369755974281
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Iron","All",-3.6817127159139558
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Rail","All",5.652341238207647
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Wire Rod","All",5.744160874794768
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Bar","All",122.45793182571657
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Plate","All",89.05559469746188
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Coil","All",232.59698688909816
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil","All",143.9793370858134
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Welded Tube","All",149.34241951626296
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Seamless Tube","All",12.279123767512694
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Iron","All",49.41922204548204
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Cast Steel","All",12.34939096305333
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Wire Rod","All",-15.360496768609815
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Bar","All",-3.993482032471137
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Plate","All",-3.60824434242186
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil","All",-4.44277905284372
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Electrical Sheet","All",-31.957929495392655
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Welded Tube","All",-11.745808955838076
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Seamless Tube","All",-1.3681534247229346
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cast Iron","All",-11.012687740399793
"EU27+1",1946,"Miscellaneous","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Wire Rod","All",-66.88488042804477
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Bar","All",-31.078199958328916
"EU27+1",1946,"Metalware","Steel Intermediary","Plate","All",-22.06300740029984
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Coil","All",-11.524911063600754
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Hot Rolled Narrow Strip","All",-12.32958612858512
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil","All",-7.802822612114796
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil Organic Coated","All",-29.152347667126143
"EU27+1",1946,"Metalware","Steel Intermediary","Cold Rolled Coil Tinned","All",-29.186877637951017
"EU27+1",1946,"Metalware","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Metalware","Steel Intermediary","Welded Tube","All",-2.1763952243140023
"EU27+1",1946,"Metalware","Steel Intermediary","Seamless Tube","All",-1.0140272469580225
"EU27+1",1946,"Metalware","Steel Intermediary","Cast Iron","All",-12.243325816986605
"EU27+1",1946,"Metalware","Steel Intermediary","Cast Steel","All",-3.059490031284995
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Wire Rod","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Bar","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Plate","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Coil","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil","All",-42.78910980008634
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil Organic Coated","All",-37.30197592537639
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Welded Tube","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Seamless Tube","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cast Iron","All",0
"EU27+1",1946,"Domestic appliances","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Light Sections","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Heavy Sections","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Rail","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Rebar","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Wire Rod","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Bar","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Plate","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Narrow Strip","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Organic Coated","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Tinned","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Electrical Sheet","Cu",0
