region,time,sector,product
East,2020,Agriculture,"PE-LD, -LLD"
East,2020,Agriculture,"PE-HD, -MD"
East,2020,Agriculture,PP
East,2020,Agriculture,PS
East,2020,Agriculture,PS-E
East,2020,Agriculture,PVC
East,2020,Agriculture,PET
East,2020,Agriculture,"ABS, SAN"
East,2020,Agriculture,PMMA
East,2020,Agriculture,"PA (PA6, PA66)"
East,2020,Agriculture,PC
East,2020,Agriculture,Other Thermoplastics
East,2020,Agriculture,PUR
East,2020,Agriculture,Other Plastics
East,2025,Agriculture,"PE-LD, -LLD"
East,2025,Agriculture,"PE-HD, -MD"
East,2025,Agriculture,PP
East,2025,Agriculture,PS
East,2025,Agriculture,PS-E
East,2025,Agriculture,PVC
East,2025,Agriculture,PET
East,2025,Agriculture,"ABS, SAN"
East,2025,Agriculture,PMMA
East,2025,Agriculture,"PA (PA6, PA66)"
East,2025,Agriculture,PC
East,2025,Agriculture,Other Thermoplastics
East,2025,Agriculture,PUR
East,2025,Agriculture,Other Plastics
East,2030,Agriculture,"PE-LD, -LLD"
East,2030,Agriculture,"PE-HD, -MD"
East,2030,Agriculture,PP
East,2030,Agriculture,PS
East,2030,Agriculture,PS-E
East,2030,Agriculture,PVC
East,2030,Agriculture,PET
East,2030,Agriculture,"ABS, SAN"
East,2030,Agriculture,PMMA
East,2030,Agriculture,"PA (PA6, PA66)"
East,2030,Agriculture,PC
East,2030,Agriculture,Other Thermoplastics
East,2030,Agriculture,PUR
East,2030,Agriculture,Other Plastics
East,2035,Agriculture,"PE-LD, -LLD"
East,2035,Agriculture,"PE-HD, -MD"
East,2035,Agriculture,PP
East,2035,Agriculture,PS
East,2035,Agriculture,PS-E
East,2035,Agriculture,PVC
East,2035,Agriculture,PET
East,2035,Agriculture,"ABS, SAN"
East,2035,Agriculture,PMMA
East,2035,Agriculture,"PA (PA6, PA66)"
East,2035,Agriculture,PC
East,2035,Agriculture,Other Thermoplastics
East,2035,Agriculture,PUR
East,2035,Agriculture,Other Plastics
