region,time,sector,polymer,element,value
EU27+3,1970,Packaging,"PE-LD, -LLD",All,1324
EU27+3,1971,Packaging,"PE-LD, -LLD",All,1389
EU27+3,1972,Packaging,"PE-LD, -LLD",All,1454
EU27+3,1973,Packaging,"PE-LD, -LLD",All,1518
EU27+3,1974,Packaging,"PE-LD, -LLD",All,1583
EU27+3,1975,Packaging,"PE-LD, -LLD",All,1648
EU27+3,1976,Packaging,"PE-LD, -LLD",All,1712
EU27+3,1977,Packaging,"PE-LD, -LLD",All,1763
EU27+3,1978,Packaging,"PE-LD, -LLD",All,1813
EU27+3,1979,Packaging,"PE-LD, -LLD",All,1864
EU27+3,1980,Packaging,"PE-LD, -LLD",All,1915
EU27+3,1981,Packaging,"PE-LD, -LLD",All,1965
EU27+3,1982,Packaging,"PE-LD, -LLD",All,2016
EU27+3,1983,Packaging,"PE-LD, -LLD",All,2066
EU27+3,1984,Packaging,"PE-LD, -LLD",All,2117
EU27+3,1985,Packaging,"PE-LD, -LLD",All,2167
EU27+3,1986,Packaging,"PE-LD, -LLD",All,2218
EU27+3,1987,Packaging,"PE-LD, -LLD",All,2269
EU27+3,1988,Packaging,"PE-LD, -LLD",All,2319
EU27+3,1989,Packaging,"PE-LD, -LLD",All,2370
EU27+3,1990,Packaging,"PE-LD, -LLD",All,2561
EU27+3,1991,Packaging,"PE-LD, -LLD",All,2752
EU27+3,1992,Packaging,"PE-LD, -LLD",All,2942
EU27+3,1993,Packaging,"PE-LD, -LLD",All,3133
EU27+3,1994,Packaging,"PE-LD, -LLD",All,3324
EU27+3,1995,Packaging,"PE-LD, -LLD",All,3515
EU27+3,1996,Packaging,"PE-LD, -LLD",All,3706
EU27+3,1997,Packaging,"PE-LD, -LLD",All,3897
EU27+3,1998,Packaging,"PE-LD, -LLD",All,4088
EU27+3,1999,Packaging,"PE-LD, -LLD",All,4279
EU27+3,2000,Packaging,"PE-LD, -LLD",All,4470
EU27+3,2001,Packaging,"PE-LD, -LLD",All,4661
EU27+3,2002,Packaging,"PE-LD, -LLD",All,4852
EU27+3,2003,Packaging,"PE-LD, -LLD",All,4993
EU27+3,2004,Packaging,"PE-LD, -LLD",All,5134
EU27+3,2005,Packaging,"PE-LD, -LLD",All,5276
EU27+3,2006,Packaging,"PE-LD, -LLD",All,5448
EU27+3,2007,Packaging,"PE-LD, -LLD",All,5779
EU27+3,2008,Packaging,"PE-LD, -LLD",All,5483
EU27+3,2009,Packaging,"PE-LD, -LLD",All,5368
EU27+3,2010,Packaging,"PE-LD, -LLD",All,5383
EU27+3,2011,Packaging,"PE-LD, -LLD",All,5509
EU27+3,2012,Packaging,"PE-LD, -LLD",All,5380
EU27+3,2013,Packaging,"PE-LD, -LLD",All,5454
EU27+3,2014,Packaging,"PE-LD, -LLD",All,5617
EU27+3,2015,Packaging,"PE-LD, -LLD",All,5816
EU27+3,2016,Packaging,"PE-LD, -LLD",All,5923
EU27+3,2017,Packaging,"PE-LD, -LLD",All,6047
EU27+3,2018,Packaging,"PE-LD, -LLD",All,6077
EU27+3,2019,Packaging,"PE-LD, -LLD",All,5973
EU27+3,2020,Packaging,"PE-LD, -LLD",All,5921
EU27+3,2021,Packaging,"PE-LD, -LLD",All,5980
EU27+3,2022,Packaging,"PE-LD, -LLD",All,6040
EU27+3,2023,Packaging,"PE-LD, -LLD",All,6100
EU27+3,2024,Packaging,"PE-LD, -LLD",All,6161
EU27+3,2025,Packaging,"PE-LD, -LLD",All,6223
EU27+3,2026,Packaging,"PE-LD, -LLD",All,6285
EU27+3,2027,Packaging,"PE-LD, -LLD",All,6348
EU27+3,2028,Packaging,"PE-LD, -LLD",All,6411
EU27+3,2029,Packaging,"PE-LD, -LLD",All,6475
