other_region,region,time,sector,polymer,value
Extra-EU27+3,EU27+3,1970,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1971,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1972,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1973,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1974,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1975,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1976,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1977,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1978,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1979,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1980,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1981,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1982,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1983,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1984,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1985,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1986,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1987,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1988,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1989,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1990,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1991,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1992,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1993,Packaging,"PE-LD, -LLD",0.11
Extra-EU27+3,EU27+3,1994,Packaging,"PE-LD, -LLD",0.11
