region,sector,product
East,Agriculture,"PE-LD, -LLD"
East,Agriculture,"PE-HD, -MD"
East,Agriculture,PP
East,Agriculture,PS
East,Agriculture,PS-E
East,Agriculture,PVC
East,Agriculture,PET
East,Agriculture,"ABS, SAN"
East,Agriculture,PMMA
East,Agriculture,"PA (PA6, PA66)"
East,Agriculture,PC
East,Agriculture,Other Thermoplastics
East,Agriculture,PUR
East,Agriculture,Other Plastics
East,Automotive,"PE-LD, -LLD"
East,Automotive,"PE-HD, -MD"
East,Automotive,PP
East,Automotive,PS
East,Automotive,PS-E
East,Automotive,PVC
East,Automotive,PET
East,Automotive,"ABS, SAN"
East,Automotive,PMMA
East,Automotive,"PA (PA6, PA66)"
East,Automotive,PC
East,Automotive,Other Thermoplastics
East,Automotive,PUR
East,Automotive,Other Plastics
East,Building and Construction,"PE-LD, -LLD"
East,Building and Construction,"PE-HD, -MD"
East,Building and Construction,PP
East,Building and Construction,PS
East,Building and Construction,PS-E
East,Building and Construction,PVC
East,Building and Construction,PET
East,Building and Construction,"ABS, SAN"
East,Building and Construction,PMMA
East,Building and Construction,"PA (PA6, PA66)"
East,Building and Construction,PC
East,Building and Construction,Other Thermoplastics
East,Building and Construction,PUR
East,Building and Construction,Other Plastics
East,Commercial & industrial packaging,"PE-LD, -LLD"
East,Commercial & industrial packaging,"PE-HD, -MD"
East,Commercial & industrial packaging,PP
East,Commercial & industrial packaging,PS
East,Commercial & industrial packaging,PS-E
East,Commercial & industrial packaging,PVC
East,Commercial & industrial packaging,PET
East,Commercial & industrial packaging,"ABS, SAN"
East,Commercial & industrial packaging,PMMA
East,Commercial & industrial packaging,"PA (PA6, PA66)"
East,Commercial & industrial packaging,PC
East,Commercial & industrial packaging,Other Thermoplastics
East,Commercial & industrial packaging,PUR
East,Commercial & industrial packaging,Other Plastics
East,Electrical and Electronics,"PE-LD, -LLD"
East,Electrical and Electronics,"PE-HD, -MD"
East,Electrical and Electronics,PP
East,Electrical and Electronics,PS
East,Electrical and Electronics,PS-E
East,Electrical and Electronics,PVC
East,Electrical and Electronics,PET
East,Electrical and Electronics,"ABS, SAN"
East,Electrical and Electronics,PMMA
East,Electrical and Electronics,"PA (PA6, PA66)"
East,Electrical and Electronics,PC
East,Electrical and Electronics,Other Thermoplastics
East,Electrical and Electronics,PUR
East,Electrical and Electronics,Other Plastics
East,EPS ETICS,"PE-LD, -LLD"
East,EPS ETICS,"PE-HD, -MD"
East,EPS ETICS,PP
East,EPS ETICS,PS
East,EPS ETICS,PS-E
East,EPS ETICS,PVC
East,EPS ETICS,PET
East,EPS ETICS,"ABS, SAN"
East,EPS ETICS,PMMA
East,EPS ETICS,"PA (PA6, PA66)"
East,EPS ETICS,PC
East,EPS ETICS,Other Thermoplastics
East,EPS ETICS,PUR
East,EPS ETICS,Other Plastics
East,EPS flat roof,"PE-LD, -LLD"
East,EPS flat roof,"PE-HD, -MD"
East,EPS flat roof,PP
East,EPS flat roof,PS
East,EPS flat roof,PS-E
East,EPS flat roof,PVC
East,EPS flat roof,PET
East,EPS flat roof,"ABS, SAN"
East,EPS flat roof,PMMA
East,EPS flat roof,"PA (PA6, PA66)"
East,EPS flat roof,PC
East,EPS flat roof,Other Thermoplastics
East,EPS flat roof,PUR
East,EPS flat roof,Other Plastics
East,EPS flooring,"PE-LD, -LLD"
East,EPS flooring,"PE-HD, -MD"
East,EPS flooring,PP
East,EPS flooring,PS
East,EPS flooring,PS-E
East,EPS flooring,PVC
East,EPS flooring,PET
East,EPS flooring,"ABS, SAN"
East,EPS flooring,PMMA
East,EPS flooring,"PA (PA6, PA66)"
East,EPS flooring,PC
East,EPS flooring,Other Thermoplastics
East,EPS flooring,PUR
East,EPS flooring,Other Plastics
East,EPS others in B&C,"PE-LD, -LLD"
East,EPS others in B&C,"PE-HD, -MD"
East,EPS others in B&C,PP
East,EPS others in B&C,PS
East,EPS others in B&C,PS-E
East,EPS others in B&C,PVC
East,EPS others in B&C,PET
East,EPS others in B&C,"ABS, SAN"
East,EPS others in B&C,PMMA
East,EPS others in B&C,"PA (PA6, PA66)"
East,EPS others in B&C,PC
East,EPS others in B&C,Other Thermoplastics
East,EPS others in B&C,PUR
East,EPS others in B&C,Other Plastics
