region,time,sector,polymer,value
EU27+3,2020,Packaging,"PE-LD, -LLD",0.11
EU27+3,2025,Packaging,"PE-LD, -LLD",0.17
EU27+3,2030,Packaging,"PE-LD, -LLD",0.23
EU27+3,2035,Packaging,"PE-LD, -LLD",0.29
EU27+3,2040,Packaging,"PE-LD, -LLD",0.29
EU27+3,2045,Packaging,"PE-LD, -LLD",0.29
EU27+3,2050,Packaging,"PE-LD, -LLD",0.29
EU27+3,2020,Packaging,"PE-HD, -MD",0.11
EU27+3,2025,Packaging,"PE-HD, -MD",0.17
EU27+3,2030,Packaging,"PE-HD, -MD",0.23
EU27+3,2035,Packaging,"PE-HD, -MD",0.29
EU27+3,2040,Packaging,"PE-HD, -MD",0.29
EU27+3,2045,Packaging,"PE-HD, -MD",0.29
EU27+3,2050,Packaging,"PE-HD, -MD",0.29
EU27+3,2020,Packaging,PP,0.05
EU27+3,2025,Packaging,PP,0.09
EU27+3,2030,Packaging,PP,0.13
EU27+3,2035,Packaging,PP,0.17
EU27+3,2040,Packaging,PP,0.17
EU27+3,2045,Packaging,PP,0.17
EU27+3,2050,Packaging,PP,0.17
EU27+3,2020,Packaging,PS,0.02
EU27+3,2025,Packaging,PS,0.04
EU27+3,2030,Packaging,PS,0.06
EU27+3,2035,Packaging,PS,0.08
EU27+3,2040,Packaging,PS,0.08
EU27+3,2045,Packaging,PS,0.08
EU27+3,2050,Packaging,PS,0.08
EU27+3,2020,Packaging,PS-E,0.02
EU27+3,2025,Packaging,PS-E,0.04
EU27+3,2030,Packaging,PS-E,0.06
EU27+3,2035,Packaging,PS-E,0.08
EU27+3,2040,Packaging,PS-E,0.08
EU27+3,2045,Packaging,PS-E,0.08
EU27+3,2050,Packaging,PS-E,0.08
EU27+3,2020,Packaging,PVC,0.02
EU27+3,2025,Packaging,PVC,0.04
EU27+3,2030,Packaging,PVC,0.06
EU27+3,2035,Packaging,PVC,0.08
EU27+3,2040,Packaging,PVC,0.08
EU27+3,2045,Packaging,PVC,0.08
EU27+3,2050,Packaging,PVC,0.08
EU27+3,2020,Packaging,"ABS, SAN",0.02
EU27+3,2025,Packaging,"ABS, SAN",0.04
EU27+3,2030,Packaging,"ABS, SAN",0.06
EU27+3,2035,Packaging,"ABS, SAN",0.08
EU27+3,2040,Packaging,"ABS, SAN",0.08
EU27+3,2045,Packaging,"ABS, SAN",0.08
EU27+3,2050,Packaging,"ABS, SAN",0.08
EU27+3,2020,Packaging,PMMA,0.02
EU27+3,2025,Packaging,PMMA,0.04
EU27+3,2030,Packaging,PMMA,0.06
EU27+3,2035,Packaging,PMMA,0.08
EU27+3,2040,Packaging,PMMA,0.08
EU27+3,2045,Packaging,PMMA,0.08
EU27+3,2050,Packaging,PMMA,0.08
EU27+3,2020,Packaging,"PA (PA6, PA66)",0.02
EU27+3,2025,Packaging,"PA (PA6, PA66)",0.04
EU27+3,2030,Packaging,"PA (PA6, PA66)",0.06
EU27+3,2035,Packaging,"PA (PA6, PA66)",0.08
EU27+3,2040,Packaging,"PA (PA6, PA66)",0.08
EU27+3,2045,Packaging,"PA (PA6, PA66)",0.08
EU27+3,2050,Packaging,"PA (PA6, PA66)",0.08
EU27+3,2020,Packaging,PC,0.02
EU27+3,2025,Packaging,PC,0.04
EU27+3,2030,Packaging,PC,0.06
EU27+3,2035,Packaging,PC,0.08
EU27+3,2040,Packaging,PC,0.08
EU27+3,2045,Packaging,PC,0.08
EU27+3,2050,Packaging,PC,0.08
EU27+3,2020,Packaging,PET,0.22
EU27+3,2025,Packaging,PET,0.28
EU27+3,2030,Packaging,PET,0.34
EU27+3,2035,Packaging,PET,0.41
EU27+3,2040,Packaging,PET,0.41
EU27+3,2045,Packaging,PET,0.41
EU27+3,2050,Packaging,PET,0.41
EU27+3,2020,Packaging,Other Thermoplastics,0.02
EU27+3,2025,Packaging,Other Thermoplastics,0.04
EU27+3,2030,Packaging,Other Thermoplastics,0.06
