"region","time","sector","intermediary_product","product","value"
"EU27+1",1946,"Construction","Steel Intermediary","Light Sections",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Heavy Sections",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Rail",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Rebar",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Wire Rod",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Bar",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Plate",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil Galvanized",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Narrow Strip",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Galvanized",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Organic Coated",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Tinned",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Electrical Sheet",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Welded Tube",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Seamless Tube",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Cast Iron",0.85
"EU27+1",1946,"Construction","Steel Intermediary","Cast Steel",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Light Sections",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Heavy Sections",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Rail",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Rebar",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Wire Rod",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Bar",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Plate",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil Galvanized",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Narrow Strip",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Galvanized",0.85
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Organic Coated",0.85
