"region","sector","intermediary_product","product","value"
"EU27+1","Construction","Steel Intermediary","Light Sections",50
"EU27+1","Construction","Steel Intermediary","Heavy Sections",50
"EU27+1","Construction","Steel Intermediary","Rail",50
"EU27+1","Construction","Steel Intermediary","Rebar",50
"EU27+1","Construction","Steel Intermediary","Wire Rod",50
"EU27+1","Construction","Steel Intermediary","Hot Rolled Bar",50
"EU27+1","Construction","Steel Intermediary","Plate",50
"EU27+1","Construction","Steel Intermediary","Hot Rolled Coil",50
"EU27+1","Construction","Steel Intermediary","Hot Rolled Coil Galvanized",50
"EU27+1","Construction","Steel Intermediary","Hot Rolled Narrow Strip",50
"EU27+1","Construction","Steel Intermediary","Cold Rolled Coil",50
"EU27+1","Construction","Steel Intermediary","Cold Rolled Coil Galvanized",50
"EU27+1","Construction","Steel Intermediary","Cold Rolled Coil Organic Coated",50
"EU27+1","Construction","Steel Intermediary","Cold Rolled Coil Tinned",50
"EU27+1","Construction","Steel Intermediary","Electrical Sheet",50
"EU27+1","Construction","Steel Intermediary","Welded Tube",50
"EU27+1","Construction","Steel Intermediary","Seamless Tube",50
"EU27+1","Construction","Steel Intermediary","Cast Iron",50
"EU27+1","Construction","Steel Intermediary","Cast Steel",50
"EU27+1","Automotive","Steel Intermediary","Light Sections",15
"EU27+1","Automotive","Steel Intermediary","Heavy Sections",15
"EU27+1","Automotive","Steel Intermediary","Rail",15
"EU27+1","Automotive","Steel Intermediary","Rebar",15
"EU27+1","Automotive","Steel Intermediary","Wire Rod",15
"EU27+1","Automotive","Steel Intermediary","Hot Rolled Bar",15
"EU27+1","Automotive","Steel Intermediary","Plate",15
"EU27+1","Automotive","Steel Intermediary","Hot Rolled Coil",15
"EU27+1","Automotive","Steel Intermediary","Hot Rolled Coil Galvanized",15
"EU27+1","Automotive","Steel Intermediary","Hot Rolled Narrow Strip",15
"EU27+1","Automotive","Steel Intermediary","Cold Rolled Coil",15
"EU27+1","Automotive","Steel Intermediary","Cold Rolled Coil Galvanized",15
"EU27+1","Automotive","Steel Intermediary","Cold Rolled Coil Organic Coated",15
"EU27+1","Automotive","Steel Intermediary","Cold Rolled Coil Tinned",15
