"region","time","sector","intermediary_product","product","scrap_type","value"
"EU27+1",1946,"Construction","Steel Intermediary","Light Sections","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Heavy Sections","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Rail","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Rebar","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Wire Rod","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Bar","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Plate","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil Galvanized","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Narrow Strip","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Galvanized","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Organic Coated","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Tinned","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Electrical Sheet","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Welded Tube","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Seamless Tube","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Cast Iron","Construction and Demolition",1
"EU27+1",1946,"Construction","Steel Intermediary","Cast Steel","Construction and Demolition",1
"EU27+1",1946,"Automotive","Steel Intermediary","Light Sections","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Heavy Sections","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Rail","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Rebar","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Wire Rod","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Bar","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Plate","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil Galvanized","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Narrow Strip","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Galvanized","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Organic Coated","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Tinned","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Electrical Sheet","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Welded Tube","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Seamless Tube","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Iron","End of Life Vehicles",1
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Steel","End of Life Vehicles",1
"EU27+1",1946,"Other Transport","Steel Intermediary","Light Sections","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Heavy Sections","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Rail","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Rebar","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Wire Rod","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Bar","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Plate","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil Galvanized","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Narrow Strip","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Galvanized","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Organic Coated","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Tinned","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Electrical Sheet","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Welded Tube","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Seamless Tube","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Iron","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Steel","Industrial Electrical Waste",0.2
"EU27+1",1946,"Other Transport","Steel Intermediary","Light Sections","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Heavy Sections","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Rail","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Rebar","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Wire Rod","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Bar","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Plate","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Coil Galvanized","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Hot Rolled Narrow Strip","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Galvanized","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Organic Coated","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Cold Rolled Coil Tinned","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Electrical Sheet","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Welded Tube","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Seamless Tube","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Iron","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Other Transport","Steel Intermediary","Cast Steel","Industrial Non Electrical Waste",0.8
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Light Sections","Industrial Non Electrical Waste",1
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Heavy Sections","Industrial Non Electrical Waste",1
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Rail","Industrial Non Electrical Waste",1
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Rebar","Industrial Non Electrical Waste",1
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Wire Rod","Industrial Non Electrical Waste",1
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Bar","Industrial Non Electrical Waste",1
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Plate","Industrial Non Electrical Waste",1
"EU27+1",1946,"Mechanical Engineering","Steel Intermediary","Hot Rolled Coil","Industrial Non Electrical Waste",1
