Region,Vehicle size,Time,Value
AUT,light truck,2012,0.1428576510216006
AUT,light truck,2013,0.1428576510216006
AUT,light truck,2014,0.1428576510216006
AUT,light truck,2015,0.1428576510216006
AUT,light truck,2016,0.1354901234051373
AUT,light truck,2017,0.1281461844576701
AUT,light truck,2018,0.1208494228481952
AUT,light truck,2019,0.1136234272457087
AUT,light truck,2020,0.1064917863192069
AUT,light truck,2021,0.09947808873768572
AUT,light truck,2022,0.09260592317014146
AUT,light truck,2023,0.0858988782855702
AUT,light truck,2024,0.0793805427529682
AUT,light truck,2025,0.0730745052413315
AUT,light truck,2026,0.0670043544196562
AUT,light truck,2027,0.0611936789569386
AUT,light truck,2028,0.05644993713804672
AUT,light truck,2029,0.05176244522214566
AUT,light truck,2030,0.047187453112226205
AUT,light truck,2031,0.0427812107112792
AUT,light truck,2032,0.038599967922295454
AUT,light truck,2033,0.034699974648265755
AUT,light truck,2034,0.031137480792180938
AUT,light truck,2035,0.02796873625703182
AUT,light truck,2036,0.0252499909458092
AUT,light truck,2037,0.023037494761503893
AUT,light truck,2038,0.021387497607106724
AUT,light truck,2039,0.020356249385608483
AUT,light truck,2040,0.02
AUT,light truck,2041,0.02
AUT,light truck,2042,0.02
AUT,light truck,2043,0.02
AUT,light truck,2044,0.02
AUT,light truck,2045,0.02
AUT,light truck,2046,0.02
AUT,light truck,2047,0.02
AUT,light truck,2048,0.02
AUT,light truck,2049,0.02
AUT,light truck,2050,0.02
AUT,microcar,2012,0.07714234897839932
AUT,microcar,2013,0.07714234897839932
AUT,microcar,2014,0.07714234897839932
AUT,microcar,2015,0.07714234897839932
AUT,microcar,2016,0.07731371659486266
AUT,microcar,2017,0.07748453554232988
AUT,microcar,2018,0.07765425715180478
AUT,microcar,2019,0.07782233275429125
AUT,microcar,2020,0.07798821368079313
AUT,microcar,2021,0.07815135126231426
AUT,microcar,2022,0.07831119682985851
AUT,microcar,2023,0.0784672017144297
AUT,microcar,2024,0.0786188172470317
AUT,microcar,2025,0.0787654947586685
AUT,microcar,2026,0.0789066855803437
AUT,microcar,2027,0.0790418410430613
AUT,microcar,2028,0.09297102366304559
AUT,microcar,2029,0.10673503810967043
AUT,microcar,2030,0.1201687162095762
AUT,microcar,2031,0.13310688978940355
AUT,microcar,2032,0.14538439067579284
AUT,microcar,2033,0.15683605069538464
AUT,microcar,2034,0.16729670167481947
AUT,microcar,2035,0.17660117544073786
AUT,microcar,2036,0.18458430381978028
AUT,microcar,2037,0.19108091863858714
AUT,microcar,2038,0.19592585172379912
AUT,microcar,2039,0.19895393490205654
AUT,microcar,2040,0.2
AUT,microcar,2041,0.2
AUT,microcar,2042,0.2
AUT,microcar,2043,0.2
AUT,microcar,2044,0.2
AUT,microcar,2045,0.2
AUT,microcar,2046,0.2
AUT,microcar,2047,0.2
AUT,microcar,2048,0.2
AUT,microcar,2049,0.2
AUT,microcar,2050,0.2
AUT,minivan_SUV,2012,0.24
AUT,minivan_SUV,2013,0.24
AUT,minivan_SUV,2014,0.24
AUT,minivan_SUV,2015,0.24
AUT,minivan_SUV,2016,0.24419776
AUT,minivan_SUV,2017,0.24838208
AUT,minivan_SUV,2018,0.25253952
AUT,minivan_SUV,2019,0.25665664
AUT,minivan_SUV,2020,0.26072
AUT,minivan_SUV,2021,0.26471616
AUT,minivan_SUV,2022,0.26863168
AUT,minivan_SUV,2023,0.27245312
AUT,minivan_SUV,2024,0.27616704
AUT,minivan_SUV,2025,0.27976
AUT,minivan_SUV,2026,0.28321856
AUT,minivan_SUV,2027,0.28652928
AUT,minivan_SUV,2028,0.2569881294128357
AUT,minivan_SUV,2029,0.22779726914883938
AUT,minivan_SUV,2030,0.1993069895311789
AUT,minivan_SUV,2031,0.17186758088302231
AUT,minivan_SUV,2032,0.14582933352753757
AUT,minivan_SUV,2033,0.12154253778789258
AUT,minivan_SUV,2034,0.09935748398725534
AUT,minivan_SUV,2035,0.07962446244879381
AUT,minivan_SUV,2036,0.06269376349567593
AUT,minivan_SUV,2037,0.048915677451069645
AUT,minivan_SUV,2038,0.038640494638142925
AUT,minivan_SUV,2039,0.03221850538006372
AUT,minivan_SUV,2040,0.03
AUT,minivan_SUV,2041,0.03
AUT,minivan_SUV,2042,0.03
AUT,minivan_SUV,2043,0.03
AUT,minivan_SUV,2044,0.03
AUT,minivan_SUV,2045,0.03
AUT,minivan_SUV,2046,0.03
AUT,minivan_SUV,2047,0.03
AUT,minivan_SUV,2048,0.03
AUT,minivan_SUV,2049,0.03
AUT,minivan_SUV,2050,0.03
AUT,passenger car,2012,0.54
AUT,passenger car,2013,0.54
AUT,passenger car,2014,0.54
AUT,passenger car,2015,0.54
AUT,passenger car,2016,0.5429984
AUT,passenger car,2017,0.5459872
AUT,passenger car,2018,0.5489568000000002
AUT,passenger car,2019,0.5518976
AUT,passenger car,2020,0.5548
AUT,passenger car,2021,0.5576544
AUT,passenger car,2022,0.5604511999999999
AUT,passenger car,2023,0.5631808
AUT,passenger car,2024,0.5658335999999999
AUT,passenger car,2025,0.5684
AUT,passenger car,2026,0.5708704
AUT,passenger car,2027,0.5732352
AUT,passenger car,2028,0.5935909097860719
AUT,passenger car,2029,0.6137052475193446
AUT,passenger car,2030,0.6333368411470185
AUT,passenger car,2031,0.652244318616295
AUT,passenger car,2032,0.6701863078743742
AUT,passenger car,2033,0.6869214368684569
AUT,passenger car,2034,0.7022083335457441
AUT,passenger car,2035,0.7158056258534365
AUT,passenger car,2036,0.7274719417387348
AUT,passenger car,2037,0.7369659091488392
AUT,passenger car,2038,0.7440461560309514
AUT,passenger car,2039,0.7484713103322712
AUT,passenger car,2040,0.75
AUT,passenger car,2041,0.75
AUT,passenger car,2042,0.75
AUT,passenger car,2043,0.75
AUT,passenger car,2044,0.75
AUT,passenger car,2045,0.75
AUT,passenger car,2046,0.75
AUT,passenger car,2047,0.75
AUT,passenger car,2048,0.75
AUT,passenger car,2049,0.75
AUT,passenger car,2050,0.75
BEL,light truck,2012,0.1428576510216006
BEL,light truck,2013,0.1428576510216006
BEL,light truck,2014,0.1428576510216006
BEL,light truck,2015,0.1428576510216006
BEL,light truck,2016,0.1354901234051373
BEL,light truck,2017,0.1281461844576701
BEL,light truck,2018,0.1208494228481952
BEL,light truck,2019,0.1136234272457087
BEL,light truck,2020,0.1064917863192069
BEL,light truck,2021,0.09947808873768572
BEL,light truck,2022,0.09260592317014146
BEL,light truck,2023,0.0858988782855702
BEL,light truck,2024,0.0793805427529682
BEL,light truck,2025,0.0730745052413315
BEL,light truck,2026,0.0670043544196562
BEL,light truck,2027,0.0611936789569386
BEL,light truck,2028,0.05644993713804672
BEL,light truck,2029,0.05176244522214566
BEL,light truck,2030,0.047187453112226205
BEL,light truck,2031,0.0427812107112792
BEL,light truck,2032,0.038599967922295454
BEL,light truck,2033,0.034699974648265755
BEL,light truck,2034,0.031137480792180938
BEL,light truck,2035,0.02796873625703182
BEL,light truck,2036,0.0252499909458092
BEL,light truck,2037,0.023037494761503893
BEL,light truck,2038,0.021387497607106724
BEL,light truck,2039,0.020356249385608483
BEL,light truck,2040,0.02
BEL,light truck,2041,0.02
BEL,light truck,2042,0.02
BEL,light truck,2043,0.02
BEL,light truck,2044,0.02
BEL,light truck,2045,0.02
BEL,light truck,2046,0.02
BEL,light truck,2047,0.02
BEL,light truck,2048,0.02
BEL,light truck,2049,0.02
BEL,light truck,2050,0.02
BEL,microcar,2012,0.07714234897839932
BEL,microcar,2013,0.07714234897839932
BEL,microcar,2014,0.07714234897839932
BEL,microcar,2015,0.07714234897839932
BEL,microcar,2016,0.07731371659486266
BEL,microcar,2017,0.07748453554232988
BEL,microcar,2018,0.07765425715180478
BEL,microcar,2019,0.07782233275429125
BEL,microcar,2020,0.07798821368079313
BEL,microcar,2021,0.07815135126231426
BEL,microcar,2022,0.07831119682985851
BEL,microcar,2023,0.0784672017144297
BEL,microcar,2024,0.0786188172470317
BEL,microcar,2025,0.0787654947586685
BEL,microcar,2026,0.0789066855803437
BEL,microcar,2027,0.0790418410430613
BEL,microcar,2028,0.09297102366304559
BEL,microcar,2029,0.10673503810967043
BEL,microcar,2030,0.1201687162095762
BEL,microcar,2031,0.13310688978940355
BEL,microcar,2032,0.14538439067579284
BEL,microcar,2033,0.15683605069538464
BEL,microcar,2034,0.16729670167481947
BEL,microcar,2035,0.17660117544073786
BEL,microcar,2036,0.18458430381978028
BEL,microcar,2037,0.19108091863858714
BEL,microcar,2038,0.19592585172379912
BEL,microcar,2039,0.19895393490205654
BEL,microcar,2040,0.2
BEL,microcar,2041,0.2
BEL,microcar,2042,0.2
BEL,microcar,2043,0.2
BEL,microcar,2044,0.2
BEL,microcar,2045,0.2
BEL,microcar,2046,0.2
BEL,microcar,2047,0.2
BEL,microcar,2048,0.2
BEL,microcar,2049,0.2
BEL,microcar,2050,0.2
BEL,minivan_SUV,2012,0.24
BEL,minivan_SUV,2013,0.24
BEL,minivan_SUV,2014,0.24
BEL,minivan_SUV,2015,0.24
BEL,minivan_SUV,2016,0.24419776
BEL,minivan_SUV,2017,0.24838208
BEL,minivan_SUV,2018,0.25253952
BEL,minivan_SUV,2019,0.25665664
BEL,minivan_SUV,2020,0.26072
BEL,minivan_SUV,2021,0.26471616
BEL,minivan_SUV,2022,0.26863168
BEL,minivan_SUV,2023,0.27245312
BEL,minivan_SUV,2024,0.27616704
BEL,minivan_SUV,2025,0.27976
BEL,minivan_SUV,2026,0.28321856
BEL,minivan_SUV,2027,0.28652928
BEL,minivan_SUV,2028,0.2569881294128357
BEL,minivan_SUV,2029,0.22779726914883938
BEL,minivan_SUV,2030,0.1993069895311789
BEL,minivan_SUV,2031,0.17186758088302231
BEL,minivan_SUV,2032,0.14582933352753757
BEL,minivan_SUV,2033,0.12154253778789258
BEL,minivan_SUV,2034,0.09935748398725534
BEL,minivan_SUV,2035,0.07962446244879381
BEL,minivan_SUV,2036,0.06269376349567593
BEL,minivan_SUV,2037,0.048915677451069645
BEL,minivan_SUV,2038,0.038640494638142925
BEL,minivan_SUV,2039,0.03221850538006372
BEL,minivan_SUV,2040,0.03
BEL,minivan_SUV,2041,0.03
BEL,minivan_SUV,2042,0.03
BEL,minivan_SUV,2043,0.03
BEL,minivan_SUV,2044,0.03
BEL,minivan_SUV,2045,0.03
BEL,minivan_SUV,2046,0.03
BEL,minivan_SUV,2047,0.03
BEL,minivan_SUV,2048,0.03
BEL,minivan_SUV,2049,0.03
BEL,minivan_SUV,2050,0.03
BEL,passenger car,2012,0.54
BEL,passenger car,2013,0.54
BEL,passenger car,2014,0.54
BEL,passenger car,2015,0.54
BEL,passenger car,2016,0.5429984
BEL,passenger car,2017,0.5459872
BEL,passenger car,2018,0.5489568000000002
BEL,passenger car,2019,0.5518976
BEL,passenger car,2020,0.5548
BEL,passenger car,2021,0.5576544
BEL,passenger car,2022,0.5604511999999999
BEL,passenger car,2023,0.5631808
BEL,passenger car,2024,0.5658335999999999
BEL,passenger car,2025,0.5684
BEL,passenger car,2026,0.5708704
BEL,passenger car,2027,0.5732352
BEL,passenger car,2028,0.5935909097860719
BEL,passenger car,2029,0.6137052475193446
BEL,passenger car,2030,0.6333368411470185
BEL,passenger car,2031,0.652244318616295
BEL,passenger car,2032,0.6701863078743742
BEL,passenger car,2033,0.6869214368684569
BEL,passenger car,2034,0.7022083335457441
BEL,passenger car,2035,0.7158056258534365
BEL,passenger car,2036,0.7274719417387348
BEL,passenger car,2037,0.7369659091488392
BEL,passenger car,2038,0.7440461560309514
BEL,passenger car,2039,0.7484713103322712
BEL,passenger car,2040,0.75
BEL,passenger car,2041,0.75
BEL,passenger car,2042,0.75
BEL,passenger car,2043,0.75
BEL,passenger car,2044,0.75
BEL,passenger car,2045,0.75
BEL,passenger car,2046,0.75
BEL,passenger car,2047,0.75
BEL,passenger car,2048,0.75
BEL,passenger car,2049,0.75
BEL,passenger car,2050,0.75
BGR,light truck,2012,0.1428576510216006
BGR,light truck,2013,0.1428576510216006
BGR,light truck,2014,0.1428576510216006
BGR,light truck,2015,0.1428576510216006
BGR,light truck,2016,0.1354901234051373
BGR,light truck,2017,0.1281461844576701
BGR,light truck,2018,0.1208494228481952
BGR,light truck,2019,0.1136234272457087
BGR,light truck,2020,0.1064917863192069
BGR,light truck,2021,0.09947808873768572
BGR,light truck,2022,0.09260592317014146
BGR,light truck,2023,0.0858988782855702
BGR,light truck,2024,0.0793805427529682
BGR,light truck,2025,0.0730745052413315
BGR,light truck,2026,0.0670043544196562
BGR,light truck,2027,0.0611936789569386
BGR,light truck,2028,0.05644993713804672
BGR,light truck,2029,0.05176244522214566
BGR,light truck,2030,0.047187453112226205
BGR,light truck,2031,0.0427812107112792
BGR,light truck,2032,0.038599967922295454
BGR,light truck,2033,0.034699974648265755
BGR,light truck,2034,0.031137480792180938
BGR,light truck,2035,0.02796873625703182
BGR,light truck,2036,0.0252499909458092
BGR,light truck,2037,0.023037494761503893
BGR,light truck,2038,0.021387497607106724
BGR,light truck,2039,0.020356249385608483
BGR,light truck,2040,0.02
BGR,light truck,2041,0.02
BGR,light truck,2042,0.02
BGR,light truck,2043,0.02
BGR,light truck,2044,0.02
BGR,light truck,2045,0.02
BGR,light truck,2046,0.02
BGR,light truck,2047,0.02
BGR,light truck,2048,0.02
BGR,light truck,2049,0.02
