Time,Region,Vehicle type,Glass product,value
2020,AUT,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,AUT,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,AUT,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,AUT,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,AUT,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,AUT,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,AUT,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,AUT,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,AUT,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,AUT,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,AUT,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,AUT,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,AUT,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,AUT,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,AUT,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,AUT,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,AUT,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,AUT,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,AUT,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,AUT,Internal Combustion Engine – Methanol,Container glass,0.0
2020,AUT,Internal Combustion Engine – Methanol,Other glass,0.0
2020,AUT,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,AUT,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,AUT,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,AUT,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,AUT,Plug in Hybrid – Gasoline,Container glass,0.0
2020,AUT,Plug in Hybrid – Gasoline,Other glass,0.0
2020,AUT,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,AUT,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,AUT,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,AUT,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,AUT,Conventional Hybrid – Gasoline,Container glass,0.0
2020,AUT,Conventional Hybrid – Gasoline,Other glass,0.0
2020,AUT,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,AUT,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,AUT,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,BEL,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,BEL,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,BEL,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,BEL,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,BEL,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,BEL,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,BEL,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,BEL,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,BEL,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,BEL,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,BEL,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,BEL,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,BEL,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,BEL,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,BEL,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,BEL,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,BEL,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,BEL,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,BEL,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,BEL,Internal Combustion Engine – Methanol,Container glass,0.0
2020,BEL,Internal Combustion Engine – Methanol,Other glass,0.0
2020,BEL,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,BEL,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,BEL,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,BEL,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,BEL,Plug in Hybrid – Gasoline,Container glass,0.0
2020,BEL,Plug in Hybrid – Gasoline,Other glass,0.0
2020,BEL,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,BEL,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,BEL,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,BEL,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,BEL,Conventional Hybrid – Gasoline,Container glass,0.0
2020,BEL,Conventional Hybrid – Gasoline,Other glass,0.0
2020,BEL,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,BEL,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,BEL,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,BGR,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,BGR,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,BGR,Internal Combustion Engine – Gasoline,Other glass,0.0
2020,BGR,Internal Combustion Engine – Liquified Petroleum Gas,Flat glass,3200.0
2020,BGR,Internal Combustion Engine – Liquified Petroleum Gas,Container glass,0.0
2020,BGR,Internal Combustion Engine – Liquified Petroleum Gas,Other glass,0.0
2020,BGR,Internal Combustion Engine – Diesel Oil,Flat glass,3200.0
2020,BGR,Internal Combustion Engine – Diesel Oil,Container glass,0.0
2020,BGR,Internal Combustion Engine – Diesel Oil,Other glass,0.0
2020,BGR,Internal Combustion Engine – Natural Gas,Flat glass,3200.0
2020,BGR,Internal Combustion Engine – Natural Gas,Container glass,0.0
2020,BGR,Internal Combustion Engine – Natural Gas,Other glass,0.0
2020,BGR,Internal Combustion Engine – Ethanol,Flat glass,3200.0
2020,BGR,Internal Combustion Engine – Ethanol,Container glass,0.0
2020,BGR,Internal Combustion Engine – Ethanol,Other glass,0.0
2020,BGR,Internal Combustion Engine – Biodiesel,Flat glass,3200.0
2020,BGR,Internal Combustion Engine – Biodiesel,Container glass,0.0
2020,BGR,Internal Combustion Engine – Biodiesel,Other glass,0.0
2020,BGR,Internal Combustion Engine – Methanol,Flat glass,3200.0
2020,BGR,Internal Combustion Engine – Methanol,Container glass,0.0
2020,BGR,Internal Combustion Engine – Methanol,Other glass,0.0
2020,BGR,Electric Vehicle/Pure Electric Engine,Flat glass,3200.0
2020,BGR,Electric Vehicle/Pure Electric Engine,Container glass,0.0
2020,BGR,Electric Vehicle/Pure Electric Engine,Other glass,0.0
2020,BGR,Plug in Hybrid – Gasoline,Flat glass,3200.0
2020,BGR,Plug in Hybrid – Gasoline,Container glass,0.0
2020,BGR,Plug in Hybrid – Gasoline,Other glass,0.0
2020,BGR,Plug in Hybrid – Diesel Oil,Flat glass,3200.0
2020,BGR,Plug in Hybrid – Diesel Oil,Container glass,0.0
2020,BGR,Plug in Hybrid – Diesel Oil,Other glass,0.0
2020,BGR,Conventional Hybrid – Gasoline,Flat glass,3200.0
2020,BGR,Conventional Hybrid – Gasoline,Container glass,0.0
2020,BGR,Conventional Hybrid – Gasoline,Other glass,0.0
2020,BGR,Conventional Hybrid – Diesel Oil,Flat glass,3200.0
2020,BGR,Conventional Hybrid – Diesel Oil,Container glass,0.0
2020,BGR,Conventional Hybrid – Diesel Oil,Other glass,0.0
2020,CYP,Internal Combustion Engine – Gasoline,Flat glass,3200.0
2020,CYP,Internal Combustion Engine – Gasoline,Container glass,0.0
2020,CYP,Internal Combustion Engine – Gasoline,Other glass,0.0
