region,time,sector,polymer,value
East,2000,Agriculture,"PE-LD, -LLD",0.957
East,2000,Agriculture,"PE-HD, -MD",0.957
East,2000,Agriculture,PP,0.957
East,2000,Agriculture,PS,0.957
East,2000,Agriculture,PS-E,0.957
East,2000,Agriculture,PVC,0.957
East,2000,Agriculture,PET,0.957
East,2000,Agriculture,"ABS, SAN",0.957
East,2000,Agriculture,PMMA,0.957
East,2000,Agriculture,"PA (PA6, PA66)",0.957
East,2000,Agriculture,PC,0.957
East,2000,Agriculture,Other Thermoplastics,0.957
East,2000,Agriculture,PUR,0.957
East,2000,Agriculture,Other Plastics,0.957
East,2000,Automotive,"PE-LD, -LLD",0.957
East,2000,Automotive,"PE-HD, -MD",0.957
East,2000,Automotive,PP,0.957
East,2000,Automotive,PS,0.957
East,2000,Automotive,PS-E,0.957
East,2000,Automotive,PVC,0.957
East,2000,Automotive,PET,0.957
East,2000,Automotive,"ABS, SAN",0.957
East,2000,Automotive,PMMA,0.957
East,2000,Automotive,"PA (PA6, PA66)",0.957
East,2000,Automotive,PC,0.957
East,2000,Automotive,Other Thermoplastics,0.957
East,2000,Automotive,PUR,0.957
East,2000,Automotive,Other Plastics,0.957
East,2000,Building and Construction,"PE-LD, -LLD",0.957
East,2000,Building and Construction,"PE-HD, -MD",0.957
East,2000,Building and Construction,PP,0.957
East,2000,Building and Construction,PS,0.957
East,2000,Building and Construction,PS-E,0.957
East,2000,Building and Construction,PVC,0.957
East,2000,Building and Construction,PET,0.957
East,2000,Building and Construction,"ABS, SAN",0.957
East,2000,Building and Construction,PMMA,0.957
East,2000,Building and Construction,"PA (PA6, PA66)",0.957
East,2000,Building and Construction,PC,0.957
East,2000,Building and Construction,Other Thermoplastics,0.957
East,2000,Building and Construction,PUR,0.957
East,2000,Building and Construction,Other Plastics,0.957
East,2000,Commercial & industrial packaging,"PE-LD, -LLD",0.952
East,2000,Commercial & industrial packaging,"PE-HD, -MD",0.952
East,2000,Commercial & industrial packaging,PP,0.952
East,2000,Commercial & industrial packaging,PS,0.952
