region,time,sector,polymer,value
East,2000,Agriculture,"PE-LD, -LLD",1
East,2000,Agriculture,"PE-HD, -MD",1
East,2000,Agriculture,PP,1
East,2000,Agriculture,PS,1
East,2000,Agriculture,PS-E,1
East,2000,Agriculture,PVC,1
East,2000,Agriculture,PET,1
East,2000,Agriculture,"ABS, SAN",1
East,2000,Agriculture,PMMA,1
East,2000,Agriculture,"PA (PA6, PA66)",1
East,2000,Agriculture,PC,1
East,2000,Agriculture,Other Thermoplastics,1
East,2000,Agriculture,PUR,1
East,2000,Agriculture,Other Plastics,1
East,2000,Automotive,"PE-LD, -LLD",1
East,2000,Automotive,"PE-HD, -MD",1
East,2000,Automotive,PP,1
East,2000,Automotive,PS,1
East,2000,Automotive,PS-E,1
East,2000,Automotive,PVC,1
East,2000,Automotive,PET,1
East,2000,Automotive,"ABS, SAN",1
East,2000,Automotive,PMMA,1
East,2000,Automotive,"PA (PA6, PA66)",1
East,2000,Automotive,PC,1
East,2000,Automotive,Other Thermoplastics,1
East,2000,Automotive,PUR,1
East,2000,Automotive,Other Plastics,1
East,2000,Building and Construction,"PE-LD, -LLD",1
East,2000,Building and Construction,"PE-HD, -MD",1
East,2000,Building and Construction,PP,1
East,2000,Building and Construction,PS,1
East,2000,Building and Construction,PS-E,1
East,2000,Building and Construction,PVC,1
East,2000,Building and Construction,PET,1
East,2000,Building and Construction,"ABS, SAN",1
East,2000,Building and Construction,PMMA,1
East,2000,Building and Construction,"PA (PA6, PA66)",1
East,2000,Building and Construction,PC,1
East,2000,Building and Construction,Other Thermoplastics,1
East,2000,Building and Construction,PUR,1
East,2000,Building and Construction,Other Plastics,1
East,2000,Commercial & industrial packaging,"PE-LD, -LLD",1
East,2000,Commercial & industrial packaging,"PE-HD, -MD",1
East,2000,Commercial & industrial packaging,PP,1
East,2000,Commercial & industrial packaging,PS,1
East,2000,Commercial & industrial packaging,PS-E,1
East,2000,Commercial & industrial packaging,PVC,1
East,2000,Commercial & industrial packaging,PET,1
East,2000,Commercial & industrial packaging,"ABS, SAN",1
East,2000,Commercial & industrial packaging,PMMA,1
East,2000,Commercial & industrial packaging,"PA (PA6, PA66)",1
East,2000,Commercial & industrial packaging,PC,1
East,2000,Commercial & industrial packaging,Other Thermoplastics,1
East,2000,Commercial & industrial packaging,PUR,1
East,2000,Commercial & industrial packaging,Other Plastics,1
East,2000,Electrical and Electronics,"PE-LD, -LLD",1
East,2000,Electrical and Electronics,"PE-HD, -MD",1
East,2000,Electrical and Electronics,PP,1
East,2000,Electrical and Electronics,PS,1
East,2000,Electrical and Electronics,PS-E,1
East,2000,Electrical and Electronics,PVC,1
East,2000,Electrical and Electronics,PET,1
East,2000,Electrical and Electronics,"ABS, SAN",1
East,2000,Electrical and Electronics,PMMA,1
East,2000,Electrical and Electronics,"PA (PA6, PA66)",1
East,2000,Electrical and Electronics,PC,1
East,2000,Electrical and Electronics,Other Thermoplastics,1
East,2000,Electrical and Electronics,PUR,1
East,2000,Electrical and Electronics,Other Plastics,1
East,2000,EPS ETICS,"PE-LD, -LLD",1
East,2000,EPS ETICS,"PE-HD, -MD",1
East,2000,EPS ETICS,PP,1
East,2000,EPS ETICS,PS,1
East,2000,EPS ETICS,PS-E,1
East,2000,EPS ETICS,PVC,1
East,2000,EPS ETICS,PET,1
East,2000,EPS ETICS,"ABS, SAN",1
East,2000,EPS ETICS,PMMA,1
East,2000,EPS ETICS,"PA (PA6, PA66)",1
East,2000,EPS ETICS,PC,1
East,2000,EPS ETICS,Other Thermoplastics,1
East,2000,EPS ETICS,PUR,1
East,2000,EPS ETICS,Other Plastics,1
East,2000,EPS flat roof,"PE-LD, -LLD",1
East,2000,EPS flat roof,"PE-HD, -MD",1
East,2000,EPS flat roof,PP,1
East,2000,EPS flat roof,PS,1
East,2000,EPS flat roof,PS-E,1
East,2000,EPS flat roof,PVC,1
East,2000,EPS flat roof,PET,1
East,2000,EPS flat roof,"ABS, SAN",1
East,2000,EPS flat roof,PMMA,1
East,2000,EPS flat roof,"PA (PA6, PA66)",1
East,2000,EPS flat roof,PC,1
East,2000,EPS flat roof,Other Thermoplastics,1
East,2000,EPS flat roof,PUR,1
East,2000,EPS flat roof,Other Plastics,1
East,2000,EPS flooring,"PE-LD, -LLD",1
East,2000,EPS flooring,"PE-HD, -MD",1
East,2000,EPS flooring,PP,1
East,2000,EPS flooring,PS,1
East,2000,EPS flooring,PS-E,1
East,2000,EPS flooring,PVC,1
East,2000,EPS flooring,PET,1
East,2000,EPS flooring,"ABS, SAN",1
East,2000,EPS flooring,PMMA,1
East,2000,EPS flooring,"PA (PA6, PA66)",1
East,2000,EPS flooring,PC,1
East,2000,EPS flooring,Other Thermoplastics,1
East,2000,EPS flooring,PUR,1
East,2000,EPS flooring,Other Plastics,1
East,2000,EPS others in B&C,"PE-LD, -LLD",1
East,2000,EPS others in B&C,"PE-HD, -MD",1
East,2000,EPS others in B&C,PP,1
East,2000,EPS others in B&C,PS,1
East,2000,EPS others in B&C,PS-E,1
East,2000,EPS others in B&C,PVC,1
East,2000,EPS others in B&C,PET,1
East,2000,EPS others in B&C,"ABS, SAN",1
East,2000,EPS others in B&C,PMMA,1
East,2000,EPS others in B&C,"PA (PA6, PA66)",1
East,2000,EPS others in B&C,PC,1
East,2000,EPS others in B&C,Other Thermoplastics,1
East,2000,EPS others in B&C,PUR,1
East,2000,EPS others in B&C,Other Plastics,1
East,2000,EPS perimeter,"PE-LD, -LLD",1
East,2000,EPS perimeter,"PE-HD, -MD",1
East,2000,EPS perimeter,PP,1
East,2000,EPS perimeter,PS,1
East,2000,EPS perimeter,PS-E,1
East,2000,EPS perimeter,PVC,1
East,2000,EPS perimeter,PET,1
East,2000,EPS perimeter,"ABS, SAN",1
East,2000,EPS perimeter,PMMA,1
East,2000,EPS perimeter,"PA (PA6, PA66)",1
East,2000,EPS perimeter,PC,1
East,2000,EPS perimeter,Other Thermoplastics,1
East,2000,EPS perimeter,PUR,1
East,2000,EPS perimeter,Other Plastics,1
East,2000,Household packaging,"PE-LD, -LLD",1
East,2000,Household packaging,"PE-HD, -MD",1
East,2000,Household packaging,PP,1
East,2000,Household packaging,PS,1
East,2000,Household packaging,PS-E,1
East,2000,Household packaging,PVC,1
East,2000,Household packaging,PET,1
East,2000,Household packaging,"ABS, SAN",1
East,2000,Household packaging,PMMA,1
East,2000,Household packaging,"PA (PA6, PA66)",1
East,2000,Household packaging,PC,1
East,2000,Household packaging,Other Thermoplastics,1
East,2000,Household packaging,PUR,1
East,2000,Household packaging,Other Plastics,1
East,2000,"Household, Leisure, Sports","PE-LD, -LLD",1
East,2000,"Household, Leisure, Sports","PE-HD, -MD",1
East,2000,"Household, Leisure, Sports",PP,1
East,2000,"Household, Leisure, Sports",PS,1
East,2000,"Household, Leisure, Sports",PS-E,1
East,2000,"Household, Leisure, Sports",PVC,1
East,2000,"Household, Leisure, Sports",PET,1
East,2000,"Household, Leisure, Sports","ABS, SAN",1
East,2000,"Household, Leisure, Sports",PMMA,1
East,2000,"Household, Leisure, Sports","PA (PA6, PA66)",1
East,2000,"Household, Leisure, Sports",PC,1
East,2000,"Household, Leisure, Sports",Other Thermoplastics,1
East,2000,"Household, Leisure, Sports",PUR,1
East,2000,"Household, Leisure, Sports",Other Plastics,1
East,2000,Others,"PE-LD, -LLD",1
East,2000,Others,"PE-HD, -MD",1
East,2000,Others,PP,1
East,2000,Others,PS,1
East,2000,Others,PS-E,1
East,2000,Others,PVC,1
East,2000,Others,PET,1
East,2000,Others,"ABS, SAN",1
East,2000,Others,PMMA,1
East,2000,Others,"PA (PA6, PA66)",1
East,2000,Others,PC,1
