region,time,sector,polymer,waste_category,value
Germany,2020,Packaging,"PE-LD, -LLD",Mechanical recycling,0.49
Germany,2025,Packaging,"PE-LD, -LLD",Mechanical recycling,0.57
Germany,2030,Packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2035,Packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2040,Packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2045,Packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2050,Packaging,"PE-LD, -LLD",Mechanical recycling,0.6
Germany,2020,Packaging,"PE-HD, -MD",Mechanical recycling,0.49
Germany,2025,Packaging,"PE-HD, -MD",Mechanical recycling,0.57
Germany,2030,Packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2035,Packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2040,Packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2045,Packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2050,Packaging,"PE-HD, -MD",Mechanical recycling,0.6
Germany,2020,Packaging,PP,Mechanical recycling,0.49
Germany,2025,Packaging,PP,Mechanical recycling,0.57
Germany,2030,Packaging,PP,Mechanical recycling,0.6
Germany,2035,Packaging,PP,Mechanical recycling,0.6
Germany,2040,Packaging,PP,Mechanical recycling,0.6
Germany,2045,Packaging,PP,Mechanical recycling,0.6
Germany,2050,Packaging,PP,Mechanical recycling,0.6
Germany,2020,Packaging,PS,Mechanical recycling,0.49
Germany,2025,Packaging,PS,Mechanical recycling,0.57
Germany,2030,Packaging,PS,Mechanical recycling,0.6
Germany,2035,Packaging,PS,Mechanical recycling,0.6
Germany,2040,Packaging,PS,Mechanical recycling,0.6
Germany,2045,Packaging,PS,Mechanical recycling,0.6
Germany,2050,Packaging,PS,Mechanical recycling,0.6
Germany,2020,Packaging,PS-E,Mechanical recycling,0.1
Germany,2025,Packaging,PS-E,Mechanical recycling,0.24
Germany,2030,Packaging,PS-E,Mechanical recycling,0.38
Germany,2035,Packaging,PS-E,Mechanical recycling,0.4
Germany,2040,Packaging,PS-E,Mechanical recycling,0.4
Germany,2045,Packaging,PS-E,Mechanical recycling,0.4
Germany,2050,Packaging,PS-E,Mechanical recycling,0.4
Germany,2020,Packaging,PVC,Mechanical recycling,0.1
Germany,2025,Packaging,PVC,Mechanical recycling,0.24
Germany,2030,Packaging,PVC,Mechanical recycling,0.38
Germany,2035,Packaging,PVC,Mechanical recycling,0.4
Germany,2040,Packaging,PVC,Mechanical recycling,0.4
Germany,2045,Packaging,PVC,Mechanical recycling,0.4
Germany,2050,Packaging,PVC,Mechanical recycling,0.4
Germany,2020,Packaging,PET,Mechanical recycling,0.83
Germany,2025,Packaging,PET,Mechanical recycling,0.86
Germany,2030,Packaging,PET,Mechanical recycling,0.88
Germany,2035,Packaging,PET,Mechanical recycling,0.91
Germany,2040,Packaging,PET,Mechanical recycling,0.91
Germany,2045,Packaging,PET,Mechanical recycling,0.91
Germany,2050,Packaging,PET,Mechanical recycling,0.91
Germany,2020,Packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2025,Packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2030,Packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2035,Packaging,"ABS, SAN",Mechanical recycling,0.0
Germany,2040,Packaging,"ABS, SAN",Mechanical recycling,0.0
