"region","time","sector","polymer","element","value"
"Germany",2021,"Agriculture","PE-HD, -MD","All",0.01
"Germany",2021,"Agriculture","PP","All",0.01
"Germany",2021,"Agriculture","PS-E","All",0.01
"Germany",2021,"Agriculture","PVC","All",0.01
"Germany",2021,"Agriculture","PET","All",0.01
"Germany",2021,"Agriculture","PS","All",0.01
"West",2021,"Agriculture","PP","All",0.01
"West",2021,"Agriculture","PS","All",0.01
"Germany",2021,"Agriculture","Other Plastics","All",0.01
"West",2021,"Agriculture","PE-HD, -MD","All",0.01
"West",2021,"Agriculture","PET","All",0.01
"West",2021,"Agriculture","ABS, SAN","All",0.01
"West",2021,"Agriculture","PS-E","All",0.01
"West",2021,"Agriculture","PVC","All",0.01
"Germany",2021,"Agriculture","PC","All",0.01
"Germany",2021,"Agriculture","Other Thermoplastics","All",0.01
"Germany",2021,"Agriculture","PE-LD, -LLD","All",0.01
"EU27+3",2021,"Agriculture","PE-LD, -LLD","All",0.01
"EU27+3",2021,"Agriculture","PE-HD, -MD","All",0.01
"EU27+3",2021,"Agriculture","PP","All",0.01
"EU27+3",2021,"Agriculture","PS","All",0.01
"EU27+3",2021,"Agriculture","PS-E","All",0.01
"EU27+3",2021,"Agriculture","PVC","All",0.01
"EU27+3",2021,"Agriculture","PET","All",0.01
"EU27+3",2021,"Agriculture","ABS, SAN","All",0.01
"EU27+3",2021,"Agriculture","PMMA","All",0.01
"EU27+3",2021,"Agriculture","PA (PA6, PA66)","All",0.01
"EU27+3",2021,"Agriculture","PC","All",0.01
"West",2021,"Agriculture","Other Thermoplastics","All",0.01
"West",2021,"Agriculture","PUR","All",0.01
"EU27+3",2021,"Agriculture","Other Plastics","All",0.01
"South",2021,"Agriculture","PE-HD, -MD","All",0.01
"South",2021,"Agriculture","PP","All",0.01
"South",2021,"Agriculture","PS","All",0.01
"South",2021,"Agriculture","PS-E","All",0.01
"South",2021,"Agriculture","PVC","All",0.01
"South",2021,"Agriculture","PET","All",0.01
"South",2021,"Agriculture","ABS, SAN","All",0.01
"Germany",2021,"Agriculture","ABS, SAN","All",0.01
"Germany",2021,"Agriculture","PMMA","All",0.01
"Germany",2021,"Agriculture","PA (PA6, PA66)","All",0.01
"East",2021,"Agriculture","PE-LD, -LLD","All",0.01
"East",2021,"Agriculture","PE-HD, -MD","All",0.01
"Germany",2021,"Agriculture","PUR","All",0.01
"West",2021,"Agriculture","PE-LD, -LLD","All",0.01
"East",2021,"Agriculture","PP","All",0.01
"East",2021,"Agriculture","PS","All",0.01
"East",2021,"Agriculture","PS-E","All",0.01
"East",2021,"Agriculture","PVC","All",0.01
"East",2021,"Agriculture","PET","All",0.01
"East",2021,"Agriculture","ABS, SAN","All",0.01
"East",2021,"Agriculture","PMMA","All",0.01
"West",2021,"Agriculture","PMMA","All",0.01
"West",2021,"Agriculture","PA (PA6, PA66)","All",0.01
"West",2021,"Agriculture","PC","All",0.01
"North",2021,"Agriculture","PE-LD, -LLD","All",0.01
"North",2021,"Agriculture","PE-HD, -MD","All",0.01
"West",2021,"Agriculture","Other Plastics","All",0.01
"North",2021,"Agriculture","Other Plastics","All",0.01
"North",2021,"Agriculture","PP","All",0.01
"North",2021,"Agriculture","PS","All",0.01
"North",2021,"Agriculture","PS-E","All",0.01
"North",2021,"Agriculture","PVC","All",0.01
"North",2021,"Agriculture","PET","All",0.01
"North",2021,"Agriculture","ABS, SAN","All",0.01
"North",2021,"Agriculture","PMMA","All",0.01
"North",2021,"Agriculture","PA (PA6, PA66)","All",0.01
"North",2021,"Agriculture","PC","All",0.01
"EU27+3",2021,"Agriculture","Other Thermoplastics","All",0.01
"EU27+3",2021,"Agriculture","PUR","All",0.01
"South",2021,"Agriculture","PE-LD, -LLD","All",0.01
"South",2021,"Agriculture","PA (PA6, PA66)","All",0.01
"South",2021,"Agriculture","PC","All",0.01
"South",2021,"Agriculture","Other Thermoplastics","All",0.01
"South",2021,"Agriculture","PMMA","All",0.01
"South",2021,"Agriculture","Other Plastics","All",0.01
"East",2021,"Agriculture","PA (PA6, PA66)","All",0.01
"East",2021,"Agriculture","PC","All",0.01
"South",2021,"Agriculture","PUR","All",0.01
"East",2021,"Agriculture","PUR","All",0.01
"East",2021,"Agriculture","Other Plastics","All",0.01
"North",2021,"Agriculture","PUR","All",0.01
"East",2021,"Agriculture","Other Thermoplastics","All",0.01
"North",2021,"Agriculture","Other Thermoplastics","All",0.01
"EU27+3",2021,"Automotive","PE-HD, -MD","All",0.008333333
"EU27+3",2021,"Automotive","PS","All",0.008333333
"EU27+3",2021,"Automotive","PVC","All",0.008333333
"EU27+3",2021,"Automotive","PP","All",0.008333333
"EU27+3",2021,"Automotive","ABS, SAN","All",0.008333333
"EU27+3",2021,"Automotive","PE-LD, -LLD","All",0.008333333
"North",2021,"Automotive","PE-LD, -LLD","All",0.008333333
"EU27+3",2021,"Automotive","PET","All",0.008333333
"South",2021,"Automotive","PE-LD, -LLD","All",0.008333333
"EU27+3",2021,"Automotive","PS-E","All",0.008333333
"Germany",2021,"Automotive","PE-LD, -LLD","All",0.008333333
"Germany",2021,"Automotive","PE-HD, -MD","All",0.008333333
"Germany",2021,"Automotive","PP","All",0.008333333
"Germany",2021,"Automotive","PS","All",0.008333333
"Germany",2021,"Automotive","PS-E","All",0.008333333
"Germany",2021,"Automotive","PVC","All",0.008333333
"Germany",2021,"Automotive","PET","All",0.008333333
"Germany",2021,"Automotive","ABS, SAN","All",0.008333333
"Germany",2021,"Automotive","PMMA","All",0.008333333
"Germany",2021,"Automotive","PA (PA6, PA66)","All",0.008333333
"Germany",2021,"Automotive","PC","All",0.008333333
"Germany",2021,"Automotive","Other Thermoplastics","All",0.008333333
"Germany",2021,"Automotive","PUR","All",0.008333333
"Germany",2021,"Automotive","Other Plastics","All",0.008333333
"East",2021,"Automotive","PS-E","All",0.008333333
"East",2021,"Automotive","PVC","All",0.008333333
"East",2021,"Automotive","PET","All",0.008333333
"East",2021,"Automotive","ABS, SAN","All",0.008333333
"East",2021,"Automotive","PMMA","All",0.008333333
"East",2021,"Automotive","PA (PA6, PA66)","All",0.008333333
"East",2021,"Automotive","PC","All",0.008333333
"East",2021,"Automotive","Other Thermoplastics","All",0.008333333
"East",2021,"Automotive","PUR","All",0.008333333
"East",2021,"Automotive","Other Plastics","All",0.008333333
"West",2021,"Automotive","PC","All",0.008333333
"North",2021,"Automotive","PE-HD, -MD","All",0.008333333
"North",2021,"Automotive","PP","All",0.008333333
"North",2021,"Automotive","PS","All",0.008333333
"North",2021,"Automotive","PS-E","All",0.008333333
"North",2021,"Automotive","PVC","All",0.008333333
"North",2021,"Automotive","PET","All",0.008333333
"North",2021,"Automotive","ABS, SAN","All",0.008333333
"North",2021,"Automotive","PMMA","All",0.008333333
"North",2021,"Automotive","PA (PA6, PA66)","All",0.008333333
"North",2021,"Automotive","PC","All",0.008333333
"EU27+3",2021,"Automotive","PMMA","All",0.008333333
"EU27+3",2021,"Automotive","PA (PA6, PA66)","All",0.008333333
"EU27+3",2021,"Automotive","PC","All",0.008333333
"EU27+3",2021,"Automotive","Other Thermoplastics","All",0.008333333
"EU27+3",2021,"Automotive","PUR","All",0.008333333
"EU27+3",2021,"Automotive","Other Plastics","All",0.008333333
"South",2021,"Automotive","PP","All",0.008333333
"South",2021,"Automotive","PS","All",0.008333333
"South",2021,"Automotive","PS-E","All",0.008333333
"South",2021,"Automotive","PVC","All",0.008333333
"South",2021,"Automotive","PET","All",0.008333333
"South",2021,"Automotive","ABS, SAN","All",0.008333333
"South",2021,"Automotive","PMMA","All",0.008333333
"South",2021,"Automotive","PA (PA6, PA66)","All",0.008333333
"South",2021,"Automotive","PC","All",0.008333333
"East",2021,"Automotive","PE-LD, -LLD","All",0.008333333
"East",2021,"Automotive","PE-HD, -MD","All",0.008333333
"East",2021,"Automotive","PP","All",0.008333333
"East",2021,"Automotive","PS","All",0.008333333
"West",2021,"Automotive","PE-LD, -LLD","All",0.008333333
"West",2021,"Automotive","PE-HD, -MD","All",0.008333333
"West",2021,"Automotive","PP","All",0.008333333
"West",2021,"Automotive","PS","All",0.008333333
"West",2021,"Automotive","PS-E","All",0.008333333
"West",2021,"Automotive","PVC","All",0.008333333
"West",2021,"Automotive","PET","All",0.008333333
"West",2021,"Automotive","ABS, SAN","All",0.008333333
"West",2021,"Automotive","PMMA","All",0.008333333
"West",2021,"Automotive","PA (PA6, PA66)","All",0.008333333
"North",2021,"Automotive","Other Plastics","All",0.008333333
"West",2021,"Automotive","Other Thermoplastics","All",0.008333333
"West",2021,"Automotive","PUR","All",0.008333333
"West",2021,"Automotive","Other Plastics","All",0.008333333
"North",2021,"Automotive","PUR","All",0.008333333
"South",2021,"Automotive","Other Thermoplastics","All",0.008333333
"South",2021,"Automotive","PUR","All",0.008333333
"North",2021,"Automotive","Other Thermoplastics","All",0.008333333
"South",2021,"Automotive","PE-HD, -MD","All",0.008333333
"South",2021,"Automotive","Other Plastics","All",0.008333333
"Germany",2021,"Building and Construction","PE-LD, -LLD","All",0.016
"Germany",2021,"Building and Construction","PE-HD, -MD","All",0.016
"Germany",2021,"Building and Construction","PP","All",0.016
"Germany",2021,"Building and Construction","PS","All",0.016
"Germany",2021,"Building and Construction","PS-E","All",0.016
"Germany",2021,"Building and Construction","PVC","All",0.016
"Germany",2021,"Building and Construction","PET","All",0.016
"Germany",2021,"Building and Construction","ABS, SAN","All",0.016
"Germany",2021,"Building and Construction","PMMA","All",0.016
"Germany",2021,"Building and Construction","PA (PA6, PA66)","All",0.016
"Germany",2021,"Building and Construction","PC","All",0.016
"Germany",2021,"Building and Construction","Other Thermoplastics","All",0.016
"Germany",2021,"Building and Construction","PUR","All",0.016
"Germany",2021,"Building and Construction","Other Plastics","All",0.016
"East",2021,"Building and Construction","PVC","All",0.016
"East",2021,"Building and Construction","PET","All",0.016
"East",2021,"Building and Construction","ABS, SAN","All",0.016
"East",2021,"Building and Construction","PMMA","All",0.016
"East",2021,"Building and Construction","PA (PA6, PA66)","All",0.016
"East",2021,"Building and Construction","PC","All",0.016
"East",2021,"Building and Construction","Other Thermoplastics","All",0.016
"East",2021,"Building and Construction","PUR","All",0.016
"East",2021,"Building and Construction","Other Plastics","All",0.016
"North",2021,"Building and Construction","PE-LD, -LLD","All",0.016
"North",2021,"Building and Construction","PE-HD, -MD","All",0.016
"North",2021,"Building and Construction","PP","All",0.016
"North",2021,"Building and Construction","PS","All",0.016
"North",2021,"Building and Construction","PS-E","All",0.016
"North",2021,"Building and Construction","PVC","All",0.016
"North",2021,"Building and Construction","PET","All",0.016
"North",2021,"Building and Construction","ABS, SAN","All",0.016
"North",2021,"Building and Construction","PMMA","All",0.016
"North",2021,"Building and Construction","PA (PA6, PA66)","All",0.016
"North",2021,"Building and Construction","PC","All",0.016
"North",2021,"Building and Construction","Other Thermoplastics","All",0.016
"North",2021,"Building and Construction","PUR","All",0.016
"North",2021,"Building and Construction","Other Plastics","All",0.016
"EU27+3",2021,"Building and Construction","PC","All",0.016
"South",2021,"Building and Construction","PE-LD, -LLD","All",0.016
"South",2021,"Building and Construction","PE-HD, -MD","All",0.016
"South",2021,"Building and Construction","PP","All",0.016
"South",2021,"Building and Construction","PS","All",0.016
"South",2021,"Building and Construction","PS-E","All",0.016
"South",2021,"Building and Construction","PVC","All",0.016
"South",2021,"Building and Construction","PET","All",0.016
"South",2021,"Building and Construction","ABS, SAN","All",0.016
"South",2021,"Building and Construction","PMMA","All",0.016
"South",2021,"Building and Construction","PA (PA6, PA66)","All",0.016
"South",2021,"Building and Construction","PC","All",0.016
"East",2021,"Building and Construction","PE-LD, -LLD","All",0.016
"East",2021,"Building and Construction","PE-HD, -MD","All",0.016
"East",2021,"Building and Construction","PP","All",0.016
"East",2021,"Building and Construction","PS","All",0.016
"East",2021,"Building and Construction","PS-E","All",0.016
"West",2021,"Building and Construction","PE-HD, -MD","All",0.016
"West",2021,"Building and Construction","PP","All",0.016
"West",2021,"Building and Construction","PS","All",0.016
"West",2021,"Building and Construction","PS-E","All",0.016
"West",2021,"Building and Construction","PVC","All",0.016
"West",2021,"Building and Construction","PET","All",0.016
"West",2021,"Building and Construction","ABS, SAN","All",0.016
"West",2021,"Building and Construction","PMMA","All",0.016
"West",2021,"Building and Construction","PA (PA6, PA66)","All",0.016
"West",2021,"Building and Construction","PC","All",0.016
"West",2021,"Building and Construction","Other Thermoplastics","All",0.016
"West",2021,"Building and Construction","PUR","All",0.016
"West",2021,"Building and Construction","Other Plastics","All",0.016
"EU27+3",2021,"Building and Construction","PE-LD, -LLD","All",0.016
"EU27+3",2021,"Building and Construction","PE-HD, -MD","All",0.016
"EU27+3",2021,"Building and Construction","PP","All",0.016
"EU27+3",2021,"Building and Construction","PS","All",0.016
"EU27+3",2021,"Building and Construction","PS-E","All",0.016
"EU27+3",2021,"Building and Construction","PVC","All",0.016
"EU27+3",2021,"Building and Construction","PET","All",0.016
"EU27+3",2021,"Building and Construction","ABS, SAN","All",0.016
"EU27+3",2021,"Building and Construction","PMMA","All",0.016
"EU27+3",2021,"Building and Construction","PA (PA6, PA66)","All",0.016
"South",2021,"Building and Construction","PUR","All",0.016
"EU27+3",2021,"Building and Construction","Other Thermoplastics","All",0.016
"EU27+3",2021,"Building and Construction","PUR","All",0.016
"EU27+3",2021,"Building and Construction","Other Plastics","All",0.016
"South",2021,"Building and Construction","Other Thermoplastics","All",0.016
"South",2021,"Building and Construction","Other Plastics","All",0.016
"West",2021,"Building and Construction","PE-LD, -LLD","All",0.016
"North",2021,"Commercial & industrial packaging","PVC","All",0.01
"North",2021,"Commercial & industrial packaging","PET","All",0.01
"North",2021,"Commercial & industrial packaging","PS-E","All",0.01
"South",2021,"Commercial & industrial packaging","PS-E","All",0.01
"North",2021,"Commercial & industrial packaging","ABS, SAN","All",0.01
"North",2021,"Commercial & industrial packaging","PMMA","All",0.01
"South",2021,"Commercial & industrial packaging","ABS, SAN","All",0.01
"South",2021,"Commercial & industrial packaging","PMMA","All",0.01
"South",2021,"Commercial & industrial packaging","PVC","All",0.01
"South",2021,"Commercial & industrial packaging","PET","All",0.01
"West",2021,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"West",2021,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"West",2021,"Commercial & industrial packaging","PP","All",0.01
"West",2021,"Commercial & industrial packaging","PS","All",0.01
"West",2021,"Commercial & industrial packaging","PS-E","All",0.01
"West",2021,"Commercial & industrial packaging","PVC","All",0.01
"West",2021,"Commercial & industrial packaging","PET","All",0.01
"West",2021,"Commercial & industrial packaging","ABS, SAN","All",0.01
"North",2021,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"North",2021,"Commercial & industrial packaging","PP","All",0.01
"North",2021,"Commercial & industrial packaging","PS","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PP","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PS","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PS-E","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PVC","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PET","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","ABS, SAN","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PMMA","All",0.01
"North",2021,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"South",2021,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"South",2021,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"South",2021,"Commercial & industrial packaging","PP","All",0.01
"South",2021,"Commercial & industrial packaging","PS","All",0.01
"Germany",2021,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"Germany",2021,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"Germany",2021,"Commercial & industrial packaging","PP","All",0.01
"Germany",2021,"Commercial & industrial packaging","PS","All",0.01
"Germany",2021,"Commercial & industrial packaging","PS-E","All",0.01
"Germany",2021,"Commercial & industrial packaging","PVC","All",0.01
"Germany",2021,"Commercial & industrial packaging","PET","All",0.01
"Germany",2021,"Commercial & industrial packaging","ABS, SAN","All",0.01
"Germany",2021,"Commercial & industrial packaging","PMMA","All",0.01
"East",2021,"Commercial & industrial packaging","PE-LD, -LLD","All",0.01
"East",2021,"Commercial & industrial packaging","PE-HD, -MD","All",0.01
"East",2021,"Commercial & industrial packaging","PP","All",0.01
"East",2021,"Commercial & industrial packaging","PS","All",0.01
"East",2021,"Commercial & industrial packaging","PS-E","All",0.01
"East",2021,"Commercial & industrial packaging","PVC","All",0.01
"East",2021,"Commercial & industrial packaging","PET","All",0.01
"East",2021,"Commercial & industrial packaging","ABS, SAN","All",0.01
"East",2021,"Commercial & industrial packaging","PMMA","All",0.01
"East",2021,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"East",2021,"Commercial & industrial packaging","PC","All",0.01
"East",2021,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"East",2021,"Commercial & industrial packaging","PUR","All",0.01
"East",2021,"Commercial & industrial packaging","Other Plastics","All",0.01
"West",2021,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"West",2021,"Commercial & industrial packaging","PC","All",0.01
"West",2021,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"West",2021,"Commercial & industrial packaging","PUR","All",0.01
"West",2021,"Commercial & industrial packaging","Other Plastics","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PUR","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","Other Plastics","All",0.01
"Germany",2021,"Commercial & industrial packaging","Other Plastics","All",0.01
"North",2021,"Commercial & industrial packaging","PC","All",0.01
"North",2021,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"North",2021,"Commercial & industrial packaging","PUR","All",0.01
"North",2021,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PC","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"Germany",2021,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"North",2021,"Commercial & industrial packaging","Other Plastics","All",0.01
"South",2021,"Commercial & industrial packaging","PUR","All",0.01
"South",2021,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"South",2021,"Commercial & industrial packaging","PC","All",0.01
"Germany",2021,"Commercial & industrial packaging","PUR","All",0.01
"South",2021,"Commercial & industrial packaging","Other Plastics","All",0.01
"Germany",2021,"Commercial & industrial packaging","PC","All",0.01
"South",2021,"Commercial & industrial packaging","Other Thermoplastics","All",0.01
"EU27+3",2021,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"West",2021,"Commercial & industrial packaging","PMMA","All",0.01
"Germany",2021,"Commercial & industrial packaging","PA (PA6, PA66)","All",0.01
"West",2021,"Electrical and Electronics","PE-HD, -MD","All",0.01
"West",2021,"Electrical and Electronics","PP","All",0.01
"West",2021,"Electrical and Electronics","PE-LD, -LLD","All",0.01
"West",2021,"Electrical and Electronics","PVC","All",0.01
