"region","sector","product","polymer","value"
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103100 - Synthetic staple fibres, carded, combed or otherwise processed for spinning","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103100 - Synthetic staple fibres, carded, combed or otherwise processed for spinning","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103100 - Synthetic staple fibres, carded, combed or otherwise processed for spinning","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103100 - Synthetic staple fibres, carded, combed or otherwise processed for spinning","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103100 - Synthetic staple fibres, carded, combed or otherwise processed for spinning","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103100 - Synthetic staple fibres, carded, combed or otherwise processed for spinning","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103100 - Synthetic staple fibres, carded, combed or otherwise processed for spinning","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103100 - Synthetic staple fibres, carded, combed or otherwise processed for spinning","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103200 - Artificial staple fibres, carded, combed or otherwise processed for spinning","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103200 - Artificial staple fibres, carded, combed or otherwise processed for spinning","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103200 - Artificial staple fibres, carded, combed or otherwise processed for spinning","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103200 - Artificial staple fibres, carded, combed or otherwise processed for spinning","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103200 - Artificial staple fibres, carded, combed or otherwise processed for spinning","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103200 - Artificial staple fibres, carded, combed or otherwise processed for spinning","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103200 - Artificial staple fibres, carded, combed or otherwise processed for spinning","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13103200 - Artificial staple fibres, carded, combed or otherwise processed for spinning","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108210 - Yarn (other than sewing thread) containing >= 85 % by weight of synthetic staple fibres, n.p.r.s.","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108210 - Yarn (other than sewing thread) containing >= 85 % by weight of synthetic staple fibres, n.p.r.s.","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108210 - Yarn (other than sewing thread) containing >= 85 % by weight of synthetic staple fibres, n.p.r.s.","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108210 - Yarn (other than sewing thread) containing >= 85 % by weight of synthetic staple fibres, n.p.r.s.","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108210 - Yarn (other than sewing thread) containing >= 85 % by weight of synthetic staple fibres, n.p.r.s.","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108210 - Yarn (other than sewing thread) containing >= 85 % by weight of synthetic staple fibres, n.p.r.s.","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108210 - Yarn (other than sewing thread) containing >= 85 % by weight of synthetic staple fibres, n.p.r.s.","Thermosets",5
