"region","time","sector","polymer","element","value"
"EU27+3",2022,"PET single-use beverage bottles","PET","All",3072.68
"EU27+3",2023,"PET single-use beverage bottles","PET","All",3093.9967415635374
"EU27+3",2024,"PET single-use beverage bottles","PET","All",3116.557483127074
"EU27+3",2025,"PET single-use beverage bottles","PET","All",3140.387104690611
"EU27+3",2026,"PET single-use beverage bottles","PET","All",3165.510983854148
"EU27+3",2027,"PET single-use beverage bottles","PET","All",3191.9550057696847
"EU27+3",2028,"PET single-use beverage bottles","PET","All",3219.7455732922617
"EU27+3",2029,"PET single-use beverage bottles","PET","All",3248.90961733402
"EU27+3",2030,"PET single-use beverage bottles","PET","All",3279.474607425342
"EU27+3",2031,"PET single-use beverage bottles","PET","All",3277.744281923798
"EU27+3",2032,"PET single-use beverage bottles","PET","All",3277.4715006922215
"EU27+3",2033,"PET single-use beverage bottles","PET","All",3278.6854146160103
"EU27+3",2034,"PET single-use beverage bottles","PET","All",3281.415757598273
"EU27+3",2035,"PET single-use beverage bottles","PET","All",3285.692858220179
"EU27+3",2036,"PET single-use beverage bottles","PET","All",3291.5476516345198
"EU27+3",2037,"PET single-use beverage bottles","PET","All",3299.011691697146
"EU27+3",2038,"PET single-use beverage bottles","PET","All",3308.1171633410218
"EU27+3",2039,"PET single-use beverage bottles","PET","All",3318.896895197773
"EU27+3",2040,"PET single-use beverage bottles","PET","All",3331.384372471657
"EU27+3",2022,"PET reusable beverage bottles","PET","All",37.32
"EU27+3",2023,"PET reusable beverage bottles","PET","All",78.20325843646309
"EU27+3",2024,"PET reusable beverage bottles","PET","All",119.08651687292618
"EU27+3",2025,"PET reusable beverage bottles","PET","All",159.96977530938926
"EU27+3",2026,"PET reusable beverage bottles","PET","All",200.85303374585234
"EU27+3",2027,"PET reusable beverage bottles","PET","All",241.73629218231542
"EU27+3",2028,"PET reusable beverage bottles","PET","All",282.61955061877853
"EU27+3",2029,"PET reusable beverage bottles","PET","All",323.5028090552416
"EU27+3",2030,"PET reusable beverage bottles","PET","All",364.3860674917047
"EU27+3",2031,"PET reusable beverage bottles","PET","All",438.9936064915895
"EU27+3",2032,"PET reusable beverage bottles","PET","All",513.6011454914742
"EU27+3",2033,"PET reusable beverage bottles","PET","All",588.208684491359
"EU27+3",2034,"PET reusable beverage bottles","PET","All",662.8162234912438
"EU27+3",2035,"PET reusable beverage bottles","PET","All",737.4237624911286
"EU27+3",2036,"PET reusable beverage bottles","PET","All",812.0313014910134
"EU27+3",2037,"PET reusable beverage bottles","PET","All",886.6388404908981
"EU27+3",2038,"PET reusable beverage bottles","PET","All",961.2463794907829
"EU27+3",2039,"PET reusable beverage bottles","PET","All",1035.8539184906676
"EU27+3",2040,"PET reusable beverage bottles","PET","All",1110.4614574905524
